Site,Stream Type,Sample Type,Date,station (m),Trial,RHYAC,BRACHY,NATARSIA,ORTHO,OTHCHIR,CHIPUPA,BLACK,BLKPUPA,BAETIS,BAETSP3,EPHEM,CINYG,NEMOURA,TIPULA,SNAILS
1,tundra,benthic,9-Jul-88,-1000,1,0,9,,18,40,,928,,264,,2,0,0,,
1,tundra,benthic,9-Jul-88,-500,1,0,4,,21,303,,376,,224,,0,1,0,,
1,tundra,benthic,9-Jul-88,-400,1,0,4,,15,373,,320,,376,,2,8,0,,
1,tundra,benthic,9-Jul-88,-100,1,0,0,,2,506,,12,,88,,0,3,0,,
1,tundra,benthic,9-Jul-88,140,1,0,2,,13,95,,196,,236,,4,2,0,,
1,tundra,benthic,9-Jul-88,340,1,0,9,,15,613,,488,,408,,0,2,0,,
1,tundra,benthic,9-Jul-88,590,1,0,12,,33,407,,568,,248,,0,1,0,,
1,tundra,benthic,9-Jul-88,740,1,0,7,,32,664,,400,,344,,0,0,0,,
1,tundra,benthic,9-Jul-88,1000,1,0,4,,11,77,,156,,120,,2,1,0,,
1,tundra,benthic,9-Jul-88,1400,1,0,5,,6,204,,76,,216,,1,0,0,,
1,tundra,benthic,9-Jul-88,2000,1,0,48,,12,240,,136,,176,,0,0,0,,
1,tundra,benthic,9-Jul-88,2500,1,0,57,,9,61,,304,,328,,0,0,0,,
1,tundra,benthic,9-Jul-88,3000,1,0,41,,13,342,,184,,296,,0,1,1,,
1,tundra,benthic,9-Jul-88,-1000,2,0,6,,5,223,,1088,,296,,5,3,0,,
1,tundra,benthic,9-Jul-88,-500,2,0,6,,35,593,,296,,264,,7,0,0,,
1,tundra,benthic,9-Jul-88,-400,2,0,10,,32,264,,150,,84,,3,0,0,,
1,tundra,benthic,9-Jul-88,-100,2,0,6,,21,403,,960,,240,,0,0,0,,
1,tundra,benthic,9-Jul-88,140,2,0,11,,30,442,,152,,120,,1,2,0,,
1,tundra,benthic,9-Jul-88,340,2,0,23,,28,452,,704,,360,,1,3,0,,
1,tundra,benthic,9-Jul-88,590,2,0,5,,38,410,,256,,240,,0,2,0,,
1,tundra,benthic,9-Jul-88,740,2,0,10,,33,159,,120,,120,,0,0,0,,
1,tundra,benthic,9-Jul-88,1000,2,0,28,,48,61,,488,,240,,0,0,0,,
1,tundra,benthic,9-Jul-88,1400,2,0,30,,2,332,,74,,258,,0,0,0,,
1,tundra,benthic,9-Jul-88,2000,2,0,1,,12,202,,3,,50,,1,0,0,,
1,tundra,benthic,9-Jul-88,2500,2,1,46,,6,130,,416,,216,,0,0,0,,
1,tundra,benthic,9-Jul-88,3000,2,0,14,,11,669,,216,,224,,1,2,0,,
1,tundra,benthic,9-Jul-88,-1000,3,0,6,,30,355,,984,,280,,0,8,0,,
1,tundra,benthic,9-Jul-88,-500,3,0,9,,19,489,,824,,280,,1,2,0,,
1,tundra,benthic,9-Jul-88,-400,3,2,5,,25,447,,520,,216,,3,0,0,,
1,tundra,benthic,9-Jul-88,-100,3,0,1,,16,372,,736,,240,,1,0,0,,
1,tundra,benthic,9-Jul-88,140,3,0,1,,28,260,,640,,264,,5,0,1,,
1,tundra,benthic,9-Jul-88,340,3,0,46,,112,1344,,512,,352,,9,2,0,,
1,tundra,benthic,9-Jul-88,590,3,0,4,,44,292,,600,,232,,1,0,0,,
1,tundra,benthic,9-Jul-88,740,3,0,14,,18,78,,256,,304,,3,0,1,,
1,tundra,benthic,9-Jul-88,1000,3,0,6,,3,163,,14,,74,,0,0,0,,
1,tundra,benthic,9-Jul-88,1400,3,0,50,,5,179,,256,,544,,0,0,0,,
1,tundra,benthic,9-Jul-88,2000,3,0,10,,2,152,,136,,90,,0,1,0,,
1,tundra,benthic,9-Jul-88,2500,3,0,39,,14,66,,248,,200,,0,0,0,,
1,tundra,benthic,9-Jul-88,3000,3,0,10,,3,382,,168,,240,,1,1,0,,
1,tundra,benthic,20-Jul-93,-0.05,A,0,0,0,1,129,1,219,0,86,0,0,2,0,0,0
1,tundra,benthic,20-Jul-93,-0.11,A,0,2,0,1,48,0,441,0,69,0,0,1,0,0,0
1,tundra,benthic,20-Jul-93,0.34K,A,0,1,0,0,73,7,804,4,89,0,3,10,0,0,0
1,tundra,benthic,20-Jul-93,0.55,A,0,2,0,3,118,0,256,0,104,0,0,1,0,0,0
1,tundra,benthic,20-Jul-93,1.0K,A,2,10,13,0,277,1,46,1,2,0,22,0,0,0,0
1,tundra,benthic,20-Jul-93,2.1K,A,5,9,2,0,702,0,81,1,1,1,12,3,0,0,0
1,tundra,benthic,20-Jul-93,2.5k,A,1,5,2,0,985,0,66,1,15,0,35,2,0,0,0
1,tundra,benthic,20-Jul-93,3.0k,A,0,4,0,0,61,0,0,3,0,0,8,0,0,0,0
1,tundra,Benthic,19-Jul-94,1.6k,A,0,4,0,0,396,13,28,0,1,0,3,1,0,0,0
1,tundra,Benthic,19-Jul-94,2.0k,A,8,3,5,0,1019,21,222,3,1,0,15,1,0,0,0
1,tundra,Benthic,19-Jul-94,2.5K,A,2,20,8,0,309,8,54,2,0,0,17,0,0,3,0
1,tundra,Benthic,19-Jul-94,3.0K,A,1,2,0,0,198,3,35,2,0,0,10,0,0,2,0
1,Tundra,Benthic,19-Jul-96,3.0 K ,A,2,28,2,0,1579,114,377,9,14,0,22,0,3,0,0
1,Tundra,Benthic,19-Jul-96,3.0 K,B,0,17,4,1,943,31,159,3,124,1,26,0,2,1,0
1,Tundra,Benthic,19-Jul-96,2.6 K,A,2,6,3,1,663,25,404,9,42,1,43,0,0,0,0
1,Tundra,Benthic,19-Jul-96,2.6 K,B,0,5,2,1,1139,12,180,3,5,0,3,0,0,1,0
1,Tundra,Benthic,19-Jul-96,2.05 K,A,2,20,3,2,2572,59,602,78,91,3,24,0,4,0,0
1,Tundra,Benthic,19-Jul-96,2.05 K,B,1,6,8,1,1037,45,278,21,49,5,16,1,1,2,0
1,Tundra,Benthic,19-Jul-96,1.4 K,A,1,4,2,1,1126,36,97,6,29,0,65,1,0,0,0
1,Tundra,Benthic,19-Jul-96,1.4 K,B,0,7,0,0,674,11,48,1,2,0,17,0,1,0,0
1,Tundra,Benthic,19-Jul-96,1.2 K,A,0,1,4,0,985,22,2,0,2,0,41,0,0,0,0
1,Tundra,Benthic,19-Jul-96,1.2 K,B,1,7,3,0,1432,22,38,42,15,1,90,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.74 K,A,0,14,0,0,2039,104,373,44,18,0,91,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.74 K,B,0,5,5,0,1761,54,296,38,6,0,101,0,5,1,0
1,Tundra,Benthic,19-Jul-96,.59K,A,0,10,0,8,156,8,893,3,70,0,5,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.59K,B,0,0,0,11,78,2,329,3,89,2,0,1,0,0,0
1,Tundra,Benthic,19-Jul-96,.34K,A,0,0,0,3,20,2,29,0,53,0,0,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.34K,B,0,0,0,0,44,5,430,6,85,0,0,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.14K,A,0,0,0,3,44,2,796,0,73,0,1,0,0,0,0
1,Tundra,Benthic,19-Jul-96,.14K,B,0,1,0,6,28,2,381,0,76,0,2,3,0,0,0
1,Tundra,Benthic,5-Aug-96,3.0 K ,A,1,2,0,0,1486,3,272,2,0,0,30,0,0,0,0
1,Tundra,Benthic,5-Aug-96,3.0 K,B,0,3,0,0,873,9,458,3,22,1,25,0,1,1,0
1,Tundra,Benthic,5-Aug-96,2.6 K,A,4,1,0,0,3413,16,64,8,27,1,18,0,0,0,0
1,Tundra,Benthic,5-Aug-96,2.6 K,B,4,6,1,0,1983,4,20,0,7,0,43,2,2,3,1
1,Tundra,Benthic,5-Aug-96,2.05 K,A,1,7,0,0,2706,16,131,9,18,0,9,1,2,0,0
1,Tundra,Benthic,5-Aug-96,2.05 K,B,0,8,0,0,2398,16,129,7,28,0,17,0,3,0,0
1,Tundra,Benthic,5-Aug-96,1.4 K,A,2,5,0,0,11033,3,12,0,23,2,61,0,0,2,0
1,Tundra,Benthic,5-Aug-96,1.4 K,B,1,4,0,0,4811,1,651,1,9,0,27,0,1,1,0
1,Tundra,Benthic,5-Aug-96,1.2 K,A,0,9,0,0,2489,0,8,0,0,0,62,0,3,0,0
1,Tundra,Benthic,5-Aug-96,1.2 K,B,0,17,0,0,5589,0,20,0,8,1,118,0,3,1,0
1,Tundra,Benthic,5-Aug-96,.74 K,A,2,4,0,0,3213,0,0,0,2,1,65,0,2,0,0
1,Tundra,Benthic,5-Aug-96,.74 K,B,0,6,0,0,3900,0,58,2,1,0,135,0,0,0,0
1,Tundra,Benthic,5-Aug-96,.59K,A,0,1,0,0,200,0,80,4,69,0,0,0,0,0,0
1,Tundra,Benthic,5-Aug-96,.59K,B,0,0,0,0,123,0,60,1,29,0,1,0,0,0,0
1,Tundra,Benthic,5-Aug-96,.34K,A,0,0,0,0,82,1,4,0,2,0,0,0,0,0,0
1,Tundra,Benthic,5-Aug-96,.34K,B,0,0,0,0,69,0,0,0,17,0,0,2,0,0,0
1,Tundra,Benthic,5-Aug-96,.14K,A,0,0,0,0,275,0,366,0,53,0,1,1,0,0,0
1,Tundra,Benthic,5-Aug-96,.14K,B,0,0,0,0,136,0,44,1,24,1,0,0,0,0,0
1,Tundra,Benthic,18-Jul-97,0.14K,B,0,0,0,23,174,6,427,0,25,0,0,2,0,0,0
1,Tundra,Benthic,18-Jul-97,0.34K,B,0,0,0,2,194,3,1,0,9,4,4,2,1,0,0
1,Tundra,Benthic,18-Jul-97,0.59K,B,0,0,0,19,329,5,13,0,62,1,1,2,1,0,0
1,Tundra,Benthic,18-Jul-97,0.74K,B,0,4,0,3,1992,3,132,8,87,0,102,5,5,1,0
1,Tundra,Benthic,18-Jul-97,1.2K,B,0,19,0,0,417,3,24,2,3,8,130,1,4,1,1
1,Tundra,Benthic,18-Jul-97,1.4K,B,0,0,0,1,501,5,119,13,27,4,43,1,2,0,0
1,Tundra,Benthic,18-Jul-97,2.05K,B,0,5,0,1,3261,3,10,4,7,0,8,2,8,2,0
1,Tundra,Benthic,18-Jul-97,2.6K,B,0,17,0,0,1211,4,344,9,19,2,58,1,14,3,3
1,Tundra,Benthic,18-Jul-97,3.0K,B,0,9,3,0,345,3,0,1,8,3,30,1,13,10,0
1,Tundra,Benthic,24-Jul-98,0.14K,A,0,0,0,0,138,0,95,0,118,0,0,7,0,0,0
1,Tundra,Benthic,24-Jul-98,0.34K,A,0,0,0,1,94,0,265,0,145,0,0,40,0,0,0
1,Tundra,Benthic,24-Jul-98,0.59K,A,0,0,9,0,114,0,0,0,10,12,2,2,6,0,0
1,Tundra,Benthic,24-Jul-98,0.74K,A,0,25,1,0,2104,0,22,0,9,18,37,2,33,0,0
1,Tundra,Benthic,24-Jul-98,1.2K,A,2,11,1,0,1238,0,5,0,26,52,35,1,3,0,0
1,Tundra,Benthic,24-Jul-98,1.4K,A,2,21,0,0,931,1,127,0,123,8,13,4,1,2,0
1,Tundra,Benthic,24-Jul-98,2.05K,A,0,12,3,0,1624,25,1,0,2,19,3,1,14,2,3
1,Tundra,Benthic,24-Jul-98,2.6K,A,3,67,11,0,2180,10,306,1,45,0,9,5,4,2,2
1,Tundra,Benthic,24-Jul-98,3.0K,A,0,12,0,0,760,0,0,0,5,15,0,6,3,5,0
