"dataset_id","year","month","day","site","block","plot","subplot","treatment","treatment_type","design","timepoint","time_since_disturbance_days","species","metric","value","unit","comment"
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Helictotrichon pratense","count",9,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Hypericum pulchrum","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Koeleria macrantha","count",4,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Linum catharticum","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Lotus corniculatus","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Plantago lanceolata","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Potentilla erecta","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Sanguisorba minor","count",11,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Scabiosa columbaria","count",9,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A6",NA,NA,"dry","manipulated climate","AI","T1",NA,"Viola riviniana","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Agrostis","count",84,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Anthoxanthum odoratum","count",6,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Campanula rotundifolia","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Carex caryophyllea","count",2,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Carex flacca","count",41,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Carex panicea","count",20,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Cirsium palustre","count",2,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Danthonia decumbens","count",2,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Festuca ovina","count",74,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Galium verum","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Helianthemum nummularium","count",2,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Helictotrichon pratense","count",21,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Holcus lanatus","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Lotus corniculatus","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Plantago lanceolata","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A7",NA,NA,"warm wet","manipulated climate","AI","T1",NA,"Potentilla erecta","count",13,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Agrostis","count",61,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Anthoxanthum odoratum","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Campanula rotundifolia","count",8,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Carex flacca","count",31,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Carex panicea","count",6,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Danthonia decumbens","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Festuca ovina","count",56,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Helianthemum nummularium","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Helictotrichon pratense","count",9,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Koeleria macrantha","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Linum catharticum","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Lotus corniculatus","count",12,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Potentilla erecta","count",4,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Sanguisorba minor","count",11,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Scabiosa columbaria","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A8",NA,NA,"warm dry","manipulated climate","AI","T1",NA,"Viola riviniana","count",6,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Agrostis","count",11,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Anthoxanthum odoratum","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Briza media","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Campanula rotundifolia","count",3,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Carex caryophyllea","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Carex flacca","count",75,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Carex panicea","count",26,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Carex pulicaris","count",7,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Centaurea nigra","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Cirsium palustre","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Festuca ovina","count",84,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Galium verum","count",11,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Helianthemum nummularium","count",15,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Helictotrichon pratense","count",5,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Helictotrichon pubescens","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Hypericum pulchrum","count",6,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Koeleria macrantha","count",7,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Lotus corniculatus","count",16,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Plantago lanceolata","count",1,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Potentilla erecta","count",11,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Sanguisorba minor","count",10,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"A","A9",NA,NA,"wet","manipulated climate","AI","T1",NA,"Scabiosa columbaria","count",2,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"B","B1",NA,NA,"wet","manipulated climate","AI","T1",NA,"Agrostis","count",50,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"B","B1",NA,NA,"wet","manipulated climate","AI","T1",NA,"Anthoxanthum odoratum","count",21,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
"fridley_2009",1994,NA,NA,"B","B1",NA,NA,"wet","manipulated climate","AI","T1",NA,"Briza media","count",4,"count","Artificial temperature increase in winter began in November 1993 (warm treatment). Artificial drought began in summer 1994. Artificial increase of water input began in summer 1994. See metadata for full setup."
