lakeid,lakename,year4,daynum,sampledate,old_taxon_code,taxon_code,division,taxon_name,concentration,class,gal_dimension,mean_individ_vol,mean_individ_biovol,total_vol,total_biovol
"W","West Long Lake",1994,151,1994-05-31,,2031,"Chlorophyte","Ankistrodesmus falcatus",1.461,"C",33.000,66.923,66.923,0.000,0.000
"W","West Long Lake",1994,144,1994-05-24,,1128,"Chrysophyte","Dinobryon divergens",34.725,"Y",162.250,8339.500,1339.000,0.290,0.046
"W","West Long Lake",1994,144,1994-05-24,,1221,"Diatom","Nitzschia acicularis",138.898,"T",44.000,110.335,110.335,0.015,0.015
"W","West Long Lake",1994,144,1994-05-24,,1326,"Chrysophyte","Synura sphagnicola",17.362,"Y",33.000,445.512,445.512,0.008,0.008
"W","West Long Lake",1994,144,1994-05-24,,1470,"Chrysophyte","Chrysococcus sp.",104.174,"Y",5.060,67.757,67.757,0.007,0.007
"W","West Long Lake",1994,144,1994-05-24,,1570,"Chrysophyte","Ochromonas sp.",260.434,"Y",6.600,150.360,150.360,0.039,0.039
"W","West Long Lake",1994,144,1994-05-24,,1630,"Chrysophyte","Uroglena sp. (single)",4323.208,"Y",4.400,44.636,44.636,0.193,0.193
"W","West Long Lake",1994,144,1994-05-24,,2031,"Chlorophyte","Ankistrodesmus falcatus",34.725,"C",30.250,23.963,23.963,0.001,0.001
"W","West Long Lake",1994,144,1994-05-24,,2080,"Chlorophyte","Chlamydomonas sp.",86.811,"C",6.600,66.827,66.827,0.006,0.006
"W","West Long Lake",1994,144,1994-05-24,,2082,"Chlorophyte","Chlamydomonas globosa",69.449,"C",11.550,805.838,805.838,0.056,0.056
"W","West Long Lake",1994,144,1994-05-24,,2331,"Chlorophyte","Micractinium pusillum",17.362,"C",33.000,22.276,22.276,0.000,0.000
"W","West Long Lake",1993,242,1993-08-30,,1321,"Chrysophyte","Synura uvella/sphagnicola",8.681,"Y",16.500,445.512,445.512,0.004,0.004
"W","West Long Lake",1993,236,1993-08-24,,1127,"Chrysophyte","Dinobryon cyst",8.681,"Y",44.000,1283.000,206.000,0.011,0.002
"W","West Long Lake",1993,236,1993-08-24,,1321,"Chrysophyte","Synura uvella/sphagnicola",8.681,"Y",16.500,445.512,445.512,0.004,0.004
"W","West Long Lake",1993,229,1993-08-17,,2480,"Chlorophyte","Scenedesmus sp.",17.362,"C",15.950,1515.011,1515.011,0.026,0.026
"W","West Long Lake",1993,222,1993-08-10,,1322,"Chrysophyte","Synura uvella/spahgnicola (colonial)",3.288,"Y",154.000,129700.000,129700.000,0.426,0.426
"W","West Long Lake",1993,222,1993-08-10,,2231,"Chlorophyte","Elakatothrix gelatinosa",3.288,"C",44.000,1300.844,356.921,0.004,0.001
"W","West Long Lake",1993,208,1993-07-27,,1127,"Chrysophyte","Dinobryon cyst",8.681,"Y",44.000,1283.000,206.000,0.011,0.002
"W","West Long Lake",1993,208,1993-07-27,,2211,"Chlorophyte","Dictyosphaerium pulchellum",43.406,"C",35.200,22810.231,1209.673,0.990,0.053
"W","West Long Lake",1993,208,1993-07-27,,2231,"Chlorophyte","Elakatothrix gelatinosa",17.362,"C",27.500,442.925,50.192,0.008,0.001
"W","West Long Lake",1993,208,1993-07-27,,2480,"Chlorophyte","Scenedesmus sp.",8.681,"C",15.400,601.825,601.825,0.005,0.005
"W","West Long Lake",1993,194,1993-07-13,,2080,"Chlorophyte","Chlamydomonas sp.",8.681,"C",11.000,445.512,445.512,0.004,0.004
"W","West Long Lake",1993,194,1993-07-13,,2363,"Chlorophyte","Oocystis parva",8.681,"C",13.200,534.615,534.615,0.005,0.005
"W","West Long Lake",1993,201,1993-07-20,,1128,"Chrysophyte","Dinobryon divergens",17.362,"Y",220.000,28226.000,4532.000,0.490,0.079
"W","West Long Lake",1993,187,1993-07-06,,1211,"Diatom","Navicula sp. 1",8.681,"T",27.500,620.632,620.632,0.005,0.005
"W","West Long Lake",1993,173,1993-06-22,,1400,"Chrysophyte","Diceras sp.",10.417,"Y",77.000,153.000,153.000,0.002,0.002
"W","West Long Lake",1993,173,1993-06-22,,1630,"Chrysophyte","Uroglena sp. (single)",20.835,"Y",4.950,63.555,63.555,0.001,0.001
"W","West Long Lake",1993,180,1993-06-29,,2231,"Chlorophyte","Elakatothrix gelatinosa",69.449,"C",38.500,676.323,70.583,0.047,0.005
"W","West Long Lake",1993,159,1993-06-08,,1322,"Chrysophyte","Synura uvella/spahgnicola (colonial)",17.362,"Y",22.000,712.820,712.820,0.012,0.012
"W","West Long Lake",1995,213,1995-08-01,,2085,"Chlorophyte","Chlamydomonas platystigma",52.087,"C",6.600,,66.827,,0.003
"W","West Long Lake",1995,213,1995-08-01,,2191,"Chlorophyte","Crucigenia truncata",17.362,"C",11.000,,116.160,,0.002
"W","West Long Lake",1995,213,1995-08-01,,2192,"Chlorophyte","Crucigenia rectangularis",4.384,"C",44.000,,1603.844,,0.007
"W","West Long Lake",1995,213,1995-08-01,,2231,"Chlorophyte","Elakatothrix gelatinosa",17.362,"C",11.000,,26.769,,0.000
"W","West Long Lake",1995,213,1995-08-01,,2363,"Chlorophyte","Oocystis parva",34.725,"C",11.000,,111.378,,0.004
"W","West Long Lake",1995,206,1995-07-25,,1184,"Chrysophyte","Mallomonaas acaroides",34.725,"Y",38.500,,679.406,,0.024
"W","West Long Lake",1995,206,1995-07-25,,2192,"Chlorophyte","Crucigenia rectangularis",677.129,"C",33.900,,1344.637,,0.910
"W","West Long Lake",1995,206,1995-07-25,,2231,"Chlorophyte","Elakatothrix gelatinosa",156.261,"C",22.000,,25.654,,0.004
"W","West Long Lake",1995,206,1995-07-25,,2362,"Chlorophyte","Oocystis sp. 2",17.362,"C",4.400,,11.138,,0.000
"W","West Long Lake",1995,206,1995-07-25,,2363,"Chlorophyte","Oocystis parva",104.174,"C",15.400,,623.717,,0.065
"W","West Long Lake",1995,199,1995-07-18,,1127,"Chrysophyte","Dinobryon cyst",4.384,"Y",48.400,,206.000,,0.001
"W","West Long Lake",1995,199,1995-07-18,,1128,"Chrysophyte","Dinobryon divergens",4.384,"Y",44.000,,412.000,,0.002
"W","West Long Lake",1995,199,1995-07-18,,1184,"Chrysophyte","Mallomonaas acaroides",13.151,"Y",30.800,,1247.434,,0.016
"W","West Long Lake",1995,199,1995-07-18,,1185,"Chrysophyte","Mallomonaas caudata",8.768,"Y",35.200,,1425.639,,0.013
"W","West Long Lake",1995,199,1995-07-18,,1326,"Chrysophyte","Synura sphagnicola",4.384,"Y",13.200,,534.615,,0.002
"W","West Long Lake",1995,199,1995-07-18,,1630,"Chrysophyte","Uroglena sp. (single)",26.043,"Y",4.400,,44.636,,0.001
"W","West Long Lake",1995,199,1995-07-18,,2085,"Chlorophyte","Chlamydomonas platystigma",26.043,"C",6.600,,66.827,,0.002
"W","West Long Lake",1995,199,1995-07-18,,2192,"Chlorophyte","Crucigenia rectangularis",197.272,"C",38.775,,1670.671,,0.330
"W","West Long Lake",1995,199,1995-07-18,,2231,"Chlorophyte","Elakatothrix gelatinosa",8.768,"C",66.000,,285.537,,0.003
"W","West Long Lake",1995,199,1995-07-18,,2363,"Chlorophyte","Oocystis parva",21.919,"C",14.300,,579.166,,0.013
"W","West Long Lake",1995,192,1995-07-11,,1128,"Chrysophyte","Dinobryon divergens",21.919,"Y",156.200,,2008.500,,0.044
"W","West Long Lake",1995,192,1995-07-11,,1326,"Chrysophyte","Synura sphagnicola",8.768,"Y",13.200,,534.615,,0.005
"W","West Long Lake",1995,192,1995-07-11,,1630,"Chrysophyte","Uroglena sp. (single)",52.087,"Y",4.400,,44.636,,0.002
"W","West Long Lake",1995,192,1995-07-11,,2192,"Chlorophyte","Crucigenia rectangularis",8.768,"C",46.200,,2138.459,,0.019
"W","West Long Lake",1995,192,1995-07-11,,2363,"Chlorophyte","Oocystis parva",8.768,"C",15.400,,768.509,,0.007
"W","West Long Lake",1995,192,1995-07-11,,2367,"Chlorophyte","Oocystis pusilla",4.384,"C",8.800,,89.102,,0.000
"W","West Long Lake",1995,192,1995-07-11,,2488,"Chlorophyte","Scenedesmus denticulatus",13.151,"C",19.800,,713.274,,0.009
"W","West Long Lake",1995,185,1995-07-04,,1128,"Chrysophyte","Dinobryon divergens",6.576,"Y",242.000,,6077.000,,0.040
"W","West Long Lake",1995,185,1995-07-04,,1180,"Chrysophyte","Mallomonas sp.",4.384,"Y",15.400,,623.717,,0.003
"W","West Long Lake",1995,185,1995-07-04,,1184,"Chrysophyte","Mallomonaas acaroides",2.192,"Y",22.000,,222.756,,0.000
"W","West Long Lake",1995,185,1995-07-04,,1570,"Chrysophyte","Ochromonas sp.",78.130,"Y",6.600,,150.360,,0.012
"W","West Long Lake",1995,185,1995-07-04,,1630,"Chrysophyte","Uroglena sp. (single)",1953.257,"Y",4.400,,44.636,,0.087
"W","West Long Lake",1995,185,1995-07-04,,1631,"Chrysophyte","Uroglena sp. (colonial)",4.384,"Y",198.000,,870.410,,0.004
"W","West Long Lake",1995,185,1995-07-04,,2082,"Chlorophyte","Chlamydomonas globosa",52.087,"C",6.600,,150.360,,0.008
"W","West Long Lake",1995,185,1995-07-04,,2192,"Chlorophyte","Crucigenia rectangularis",4.384,"C",35.200,,1269.710,,0.006
"W","West Long Lake",1995,185,1995-07-04,,2363,"Chlorophyte","Oocystis parva",46.030,"C",17.050,,835.336,,0.038
"W","West Long Lake",1995,185,1995-07-04,,2488,"Chlorophyte","Scenedesmus denticulatus",2.192,"C",22.000,,936.172,,0.002
"W","West Long Lake",1995,178,1995-06-27,,1128,"Chrysophyte","Dinobryon divergens",4.384,"Y",177.100,,5768.000,,0.025
"W","West Long Lake",1995,178,1995-06-27,,1184,"Chrysophyte","Mallomonaas acaroides",30.687,"Y",24.200,,1230.728,,0.038
"W","West Long Lake",1995,178,1995-06-27,,1418,"Chrysophyte","Dinobryon sp. 4",39.065,"Y",22.000,,89.600,,0.004
"W","West Long Lake",1995,178,1995-06-27,,1570,"Chrysophyte","Ochromonas sp.",338.564,"Y",4.950,,65.783,,0.022
"W","West Long Lake",1995,178,1995-06-27,,2035,"Chlorophyte","Ankistrodesmus convolutus",1.096,"C",22.000,,44.615,,0.000
"W","West Long Lake",1995,171,1995-06-20,,1570,"Chrysophyte","Ochromonas sp.",208.347,"Y",7.700,,175.420,,0.037
"W","West Long Lake",1995,171,1995-06-20,,2041,"Chlorophyte","Botryococcus braunii",1.461,"C",44.000,,14361.732,,0.021
"W","West Long Lake",1995,171,1995-06-20,,2082,"Chlorophyte","Chlamydomonas globosa",1.461,"C",8.800,,356.410,,0.001
"W","West Long Lake",1995,171,1995-06-20,,2083,"Chlorophyte","Chlamydomonas incerta",1.461,"C",17.600,,2851.279,,0.004
"W","West Long Lake",1995,171,1995-06-20,,2185,"Chlorophyte","Cosmarium tenue",1.461,"C",13.200,,462.236,,0.001
"W","West Long Lake",1995,178,1995-06-27,,2085,"Chlorophyte","Chlamydomonas platystigma",13.022,"C",6.600,,37.590,,0.000
"W","West Long Lake",1995,178,1995-06-27,,2192,"Chlorophyte","Crucigenia rectangularis",2.192,"C",44.000,,1782.049,,0.004
"W","West Long Lake",1995,178,1995-06-27,,2363,"Chlorophyte","Oocystis parva",13.151,"C",19.800,,1559.293,,0.021
"W","West Long Lake",1995,178,1995-06-27,,2480,"Chlorophyte","Scenedesmus sp.",1.096,"C",22.000,,401.217,,0.000
"W","West Long Lake",1995,178,1995-06-27,,2483,"Chlorophyte","Scenedesmus bijuga",1.096,"C",22.000,,802.433,,0.001
"W","West Long Lake",1995,178,1995-06-27,,2488,"Chlorophyte","Scenedesmus denticulatus",6.576,"C",24.750,,1671.736,,0.011
"W","West Long Lake",1995,164,1995-06-13,,1013,"Diatom","Achnanthes deflexa",26.043,"T",11.000,,27.584,,0.001
"W","West Long Lake",1995,164,1995-06-13,,1121,"Chrysophyte","Dinobryon bavaricum",1.461,"Y",198.000,,1127.000,,0.002
"W","West Long Lake",1995,164,1995-06-13,,1126,"Chrysophyte","Dinobryon cylindricum",1.461,"Y",13.200,,1202.883,,0.002
"W","West Long Lake",1995,164,1995-06-13,,1184,"Chrysophyte","Mallomonaas acaroides",1.461,"Y",66.000,,1670.671,,0.002
"W","West Long Lake",1995,164,1995-06-13,,1326,"Chrysophyte","Synura sphagnicola",1.461,"Y",13.200,,534.615,,0.001
"W","West Long Lake",1995,164,1995-06-13,,1418,"Chrysophyte","Dinobryon sp. 4",26.043,"Y",33.000,,89.600,,0.002
"W","West Long Lake",1995,164,1995-06-13,,1470,"Chrysophyte","Chrysococcus sp.",1.461,"Y",6.600,,150.360,,0.000
"W","West Long Lake",1995,164,1995-06-13,,1630,"Chrysophyte","Uroglena sp. (single)",78.130,"Y",3.300,,18.831,,0.001
"W","West Long Lake",1995,164,1995-06-13,,2031,"Chlorophyte","Ankistrodesmus falcatus",1.461,"C",44.000,,89.230,,0.000
"W","West Long Lake",1995,164,1995-06-13,,2080,"Chlorophyte","Chlamydomonas sp.",2.923,"C",17.600,,712.820,,0.002
"W","West Long Lake",1995,164,1995-06-13,,2082,"Chlorophyte","Chlamydomonas globosa",1.461,"C",8.800,,356.410,,0.001
"W","West Long Lake",1995,171,1995-06-20,,1182,"Chrysophyte","Mallomonas sp. 3",1.461,"Y",33.000,,3007.208,,0.004
"W","West Long Lake",1995,171,1995-06-20,,1184,"Chrysophyte","Mallomonaas acaroides",2.923,"Y",27.500,,1113.781,,0.003
"W","West Long Lake",1995,171,1995-06-20,,1421,"Chrysophyte","Dinobryon sp. 6",190.985,"Y",25.667,,89.600,,0.017
"W","West Long Lake",1995,171,1995-06-20,,1470,"Chrysophyte","Chrysococcus sp.",86.811,"Y",5.500,,97.456,,0.008
"W","West Long Lake",1995,171,1995-06-20,,1564,"Chrysophyte","Kephyrion sp. 4",52.087,"Y",4.400,,44.551,,0.002
"W","West Long Lake",1995,157,1995-06-06,,1128,"Chrysophyte","Dinobryon divergens",2.192,"Y",154.000,,1854.000,,0.004
"W","West Long Lake",1995,157,1995-06-06,,1184,"Chrysophyte","Mallomonaas acaroides",2.192,"Y",44.000,,3007.208,,0.007
"W","West Long Lake",1995,157,1995-06-06,,1630,"Chrysophyte","Uroglena sp. (single)",1041.737,"Y",4.400,,44.636,,0.046
"W","West Long Lake",1995,157,1995-06-06,,2061,"Chlorophyte","Carteria platyrhyncha",4.384,"C",15.400,,623.717,,0.003
"W","West Long Lake",1995,143,1995-05-23,,1327,"Chrysophyte","Synura sphagnicola",4.384,"Y",67.467,,20315.362,,0.089
"W","West Long Lake",1995,143,1995-05-23,,1570,"Chrysophyte","Ochromonas sp.",17.362,"Y",9.900,,359.194,,0.006
"W","West Long Lake",1995,150,1995-05-30,,1128,"Chrysophyte","Dinobryon divergens",1.461,"Y",158.400,,2678.000,,0.004
"W","West Long Lake",1995,150,1995-05-30,,1180,"Chrysophyte","Mallomonas sp.",1.461,"Y",22.000,,2004.805,,0.003
"W","West Long Lake",1995,150,1995-05-30,,1326,"Chrysophyte","Synura sphagnicola",1.461,"Y",13.200,,534.615,,0.001
"W","West Long Lake",1994,248,1994-09-05,,2080,"Chlorophyte","Chlamydomonas sp.",104.174,"C",8.800,272.876,272.876,0.028,0.028
"W","West Long Lake",1994,248,1994-09-05,,2363,"Chlorophyte","Oocystis parva",21.919,"C",24.640,3602.591,2052.921,0.079,0.045
"W","West Long Lake",1995,143,1995-05-23,,1123,"Chrysophyte","Dinobryon bavaricum",17.362,"Y",13.200,,300.721,,0.005
"W","West Long Lake",1995,143,1995-05-23,,1125,"Chrysophyte","Dinobryon cylindricum",99.367,"Y",239.250,,1107.250,,0.110
"W","West Long Lake",1995,143,1995-05-23,,1326,"Chrysophyte","Synura sphagnicola",1.461,"Y",13.200,,534.615,,0.001
"W","West Long Lake",1994,248,1994-09-05,,1121,"Chrysophyte","Dinobryon bavaricum",4.384,"Y",66.000,1938.000,161.000,0.008,0.001
"W","West Long Lake",1994,248,1994-09-05,,1125,"Chrysophyte","Dinobryon cylindricum",17.535,"Y",181.500,20848.750,3347.500,0.366,0.059
"W","West Long Lake",1994,248,1994-09-05,,1126,"Chrysophyte","Dinobryon cylindricum",13.151,"Y",13.200,1202.883,1202.883,0.016,0.016
"W","West Long Lake",1994,248,1994-09-05,,1127,"Chrysophyte","Dinobryon cyst",21.919,"Y",44.000,1283.000,206.000,0.028,0.005
"W","West Long Lake",1994,248,1994-09-05,,1128,"Chrysophyte","Dinobryon divergens",65.757,"Y",154.440,15909.200,2554.400,1.046,0.168
"W","West Long Lake",1994,248,1994-09-05,,1183,"Chrysophyte","Mallomonaas akrokomos",26.043,"Y",44.000,89.230,89.230,0.002,0.002
"W","West Long Lake",1994,248,1994-09-05,,1326,"Chrysophyte","Synura sphagnicola",26.303,"Y",17.600,1113.781,1113.781,0.029,0.029
"W","West Long Lake",1994,248,1994-09-05,,1327,"Chrysophyte","Synura sphagnicola",4.384,"Y",57.200,3207.689,3207.689,0.014,0.014
"W","West Long Lake",1994,242,1994-08-30,,1013,"Diatom","Achnanthes deflexa",52.087,"T",11.000,27.584,27.584,0.001,0.001
"W","West Long Lake",1994,242,1994-08-30,,1127,"Chrysophyte","Dinobryon cyst",162.202,"Y",44.000,1283.000,206.000,0.208,0.033
"W","West Long Lake",1994,242,1994-08-30,,1128,"Chrysophyte","Dinobryon divergens",13.151,"Y",146.667,14968.333,2403.333,0.197,0.032
"W","West Long Lake",1994,242,1994-08-30,,1326,"Chrysophyte","Synura sphagnicola",13.151,"Y",22.000,534.615,534.615,0.007,0.007
"W","West Long Lake",1994,242,1994-08-30,,1327,"Chrysophyte","Synura sphagnicola",4.384,"Y",110.000,32076.887,32076.887,0.141,0.141
"W","West Long Lake",1994,242,1994-08-30,,2363,"Chlorophyte","Oocystis parva",4.384,"C",26.400,6682.685,1202.883,0.029,0.005
"W","West Long Lake",1994,235,1994-08-23,,1126,"Chrysophyte","Dinobryon cylindricum",4.384,"Y",13.200,1202.883,1202.883,0.005,0.005
"W","West Long Lake",1994,235,1994-08-23,,1183,"Chrysophyte","Mallomonaas akrokomos",39.454,"Y",44.000,204.951,204.951,0.008,0.008
"W","West Long Lake",1994,235,1994-08-23,,1327,"Chrysophyte","Synura sphagnicola",4.384,"Y",44.000,1603.844,1603.844,0.007,0.007
"W","West Long Lake",1994,235,1994-08-23,,2031,"Chlorophyte","Ankistrodesmus falcatus",4.384,"C",66.000,301.152,301.152,0.001,0.001
"W","West Long Lake",1994,235,1994-08-23,,2231,"Chlorophyte","Elakatothrix gelatinosa",4.384,"C",44.000,1300.844,107.076,0.006,0.000
"W","West Long Lake",1994,235,1994-08-23,,2480,"Chlorophyte","Scenedesmus sp.",4.384,"C",22.000,2139.822,2139.822,0.009,0.009
"W","West Long Lake",1994,235,1994-08-23,,2488,"Chlorophyte","Scenedesmus denticulatus",13.151,"C",17.600,713.274,713.274,0.009,0.009
"W","West Long Lake",1994,228,1994-08-16,,2041,"Chlorophyte","Botryococcus braunii",4.384,"C",88.000,140400.000,140400.000,0.616,0.616
"W","West Long Lake",1994,228,1994-08-16,,2080,"Chlorophyte","Chlamydomonas sp.",416.695,"C",8.800,200.481,200.481,0.084,0.084
"W","West Long Lake",1994,228,1994-08-16,,2363,"Chlorophyte","Oocystis parva",8.768,"C",33.000,8353.356,1804.325,0.073,0.016
"W","West Long Lake",1994,228,1994-08-16,,2488,"Chlorophyte","Scenedesmus denticulatus",4.384,"C",22.000,1337.389,1337.389,0.006,0.006
"W","West Long Lake",1994,221,1994-08-09,,1210,"Diatom","Navicula sp.",4.384,"T",35.200,794.409,794.409,0.003,0.003
"W","West Long Lake",1994,221,1994-08-09,,2231,"Chlorophyte","Elakatothrix gelatinosa",4.384,"C",110.000,2456.136,481.843,0.011,0.002
"W","West Long Lake",1994,221,1994-08-09,,2363,"Chlorophyte","Oocystis parva",8.768,"C",13.200,534.615,534.615,0.005,0.005
"W","West Long Lake",1994,221,1994-08-09,,2370,"Chlorophyte","Pandorina sp.",4.384,"C",22.000,891.025,2851.279,0.004,0.013
"W","West Long Lake",1994,221,1994-08-09,,2488,"Chlorophyte","Scenedesmus denticulatus",4.384,"C",17.600,1069.911,1069.911,0.005,0.005
"W","West Long Lake",1994,207,1994-07-26,,2020,"Chlorophyte","Actinastrum sp.",13.151,"C",44.000,913.066,913.066,0.012,0.012
"W","West Long Lake",1994,207,1994-07-26,,2211,"Chlorophyte","Dictyosphaerium pulchellum",26.303,"C",88.000,356400.000,1069.230,9.374,0.028
"W","West Long Lake",1994,207,1994-07-26,,2363,"Chlorophyte","Oocystis parva",6.576,"C",22.000,891.025,891.025,0.006,0.006
"W","West Long Lake",1994,207,1994-07-26,,2488,"Chlorophyte","Scenedesmus denticulatus",26.303,"C",17.600,869.303,869.303,0.023,0.023
"W","West Long Lake",1994,200,1994-07-19,,1326,"Chrysophyte","Synura sphagnicola",6.576,"Y",17.600,1603.844,1603.844,0.011,0.011
"W","West Long Lake",1994,200,1994-07-19,,2211,"Chlorophyte","Dictyosphaerium pulchellum",73.977,"C",83.600,305600.000,2278.742,22.607,0.169
"W","West Long Lake",1994,200,1994-07-19,,2363,"Chlorophyte","Oocystis parva",32.879,"C",19.067,1372.838,735.095,0.045,0.024
"W","West Long Lake",1994,200,1994-07-19,,2480,"Chlorophyte","Scenedesmus sp.",8.220,"C",8.800,267.478,267.478,0.002,0.002
"W","West Long Lake",1994,200,1994-07-19,,2488,"Chlorophyte","Scenedesmus denticulatus",16.439,"C",17.600,802.433,802.433,0.013,0.013
"W","West Long Lake",1994,193,1994-07-12,,2031,"Chlorophyte","Ankistrodesmus falcatus",6.576,"C",17.600,35.692,35.692,0.000,0.000
"W","West Long Lake",1994,193,1994-07-12,,2211,"Chlorophyte","Dictyosphaerium pulchellum",26.303,"C",71.500,191200.000,2349.381,5.029,0.062
"W","West Long Lake",1994,193,1994-07-12,,2231,"Chlorophyte","Elakatothrix gelatinosa",19.727,"C",29.333,654.970,111.538,0.013,0.002
"W","West Long Lake",1994,193,1994-07-12,,2363,"Chlorophyte","Oocystis parva",13.151,"C",22.000,2352.862,1353.244,0.031,0.018
"W","West Long Lake",1994,193,1994-07-12,,2488,"Chlorophyte","Scenedesmus denticulatus",6.576,"C",22.000,2089.670,2089.670,0.014,0.014
"W","West Long Lake",1994,186,1994-07-05,,2211,"Chlorophyte","Dictyosphaerium pulchellum",197.272,"C",66.000,150400.000,1653.268,29.670,0.326
"W","West Long Lake",1994,193,1994-07-12,,1470,"Chrysophyte","Chrysococcus sp.",6.576,"Y",8.800,356.410,356.410,0.002,0.002
"W","West Long Lake",1994,179,1994-06-28,,2211,"Chlorophyte","Dictyosphaerium pulchellum",56.364,"C",61.600,122200.000,739.051,6.888,0.042
"W","West Long Lake",1994,179,1994-06-28,,2360,"Chlorophyte","Oocystis sp.",156.261,"C",7.150,72.396,18.795,0.011,0.003
"W","West Long Lake",1994,179,1994-06-28,,2488,"Chlorophyte","Scenedesmus denticulatus",9.394,"C",22.000,2089.670,2089.670,0.020,0.020
"W","West Long Lake",1992,175,1992-06-23,"DD2",1128,"Chrysophyte","Dinobryon divergens",1.457,"Y",55.000,2566.000,412.000,0.004,0.001
"W","West Long Lake",1992,175,1992-06-23,"AFM",2032,"Chlorophyte","Ankistrodesmus falcatus v. mirabilis",18.940,"C",88.000,431.750,431.750,0.008,0.008
"W","West Long Lake",1992,175,1992-06-23,"URO2",1631,"Chrysophyte","Uroglena sp. (colonial)",2.914,"Y",46.200,425.100,425.100,0.001,0.001
"W","West Long Lake",1992,175,1992-06-23,"STO",1611,"Chrysophyte","Stichogloea olivacea",8.742,"Y",17.600,481.400,481.400,0.004,0.004
"W","West Long Lake",1992,168,1992-06-16,"DD2",1128,"Chrysophyte","Dinobryon divergens",8.742,"Y",191.400,3464.100,556.200,0.030,0.005
"W","West Long Lake",1992,168,1992-06-16,"URO2",1631,"Chrysophyte","Uroglena sp. (colonial)",32.052,"Y",46.200,425.100,425.100,0.014,0.014
"W","West Long Lake",1992,168,1992-06-16,"STO",1611,"Chrysophyte","Stichogloea olivacea",8.742,"Y",22.000,361.050,361.050,0.003,0.003
"W","West Long Lake",1992,168,1992-06-16,"MS3",1182,"Chrysophyte","Mallomonas sp. 3",13.112,"Y",28.000,3306.668,3306.668,0.043,0.043
"W","West Long Lake",1992,168,1992-06-16,"DC2",1125,"Chrysophyte","Dinobryon cylindricum",1.457,"Y",171.600,5132.000,824.000,0.007,0.001
"W","West Long Lake",1992,168,1992-06-16,"SY1",1321,"Chrysophyte","Synura uvella/sphagnicola",4.371,"Y",13.200,230.000,230.000,0.001,0.001
