"lakeid","lakename","year4","daynum","sampledate","standard_taxon_code","group_code","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_measured","net_efficiency_mean","abundance_raw","abundance","biomass"
"R","Peter Lake",1984,156,1984-06-04,"CCOL","ROT","colonial Conochilus sp.",3,0.18,2.91,NA,0.142,42.4413181578388,298.882522238301,0.000869748139713456
"R","Peter Lake",1984,156,1984-06-04,"COPD","OCOP","Copepodite",5610,0.51,1.403,NA,0.172107014230769,79365.2649551585,461139.049502897,0.646978086452564
"R","Peter Lake",1984,156,1984-06-04,"DT-CYV","OCOP","Cyclops varicans rubellus",1186,0.79,4.288,NA,0.239530295888889,16778.4677783989,70047.3721544684,0.30036313179836
"R","Peter Lake",1984,156,1984-06-04,"DPUL","CLAD","Daphnia pulex",1106,1.25,12.826,NA,0.17723005627381,15646.6992941899,88284.6827629321,1.13233934111737
"R","Peter Lake",1984,156,1984-06-04,"FDIAPT","OCOP","Diaptomus oregonensis",2410,0.79,2.033,NA,0.168478539375,34094.5255867971,202367.17218274,0.41141246104751
"R","Peter Lake",1984,156,1984-06-04,"EPSH","CCOP","Epischura lacustris",11,1.71,11.674,NA,0.092263018,155.618166578742,1686.67977649227,0.0196902997107707
"R","Peter Lake",1984,156,1984-06-04,"GSTYL","ROT","Gastropus stylifer",5293,0.11,0.027,NA,0.17723005627381,74880.6323364802,422505.267508318,0.0114076422227246
"R","Peter Lake",1984,156,1984-06-04,"HGIB","CLAD","Holopedium gibberum",127,1.1,12.045,NA,0.157585475384615,1796.68246868184,11401.3202314282,0.137328902187552
"R","Peter Lake",1984,156,1984-06-04,"KBOST","ROT","Kellicotia bostoniensis",179,0.12,0.005,NA,0.17723005627381,2532.33198341771,14288.3889824275,7.14419449121377e-05
"R","Peter Lake",1984,156,1984-06-04,"KCOCH","ROT","Keratella cochlearis",730,0.11,0.003,NA,0.17723005627381,10327.3874184074,58271.0835596207,0.000174813250678862
"R","Peter Lake",1984,156,1984-06-04,"KTEST","ROT","Keratella testudo",100,0.12,0.003,NA,0.17723005627381,1414.71060526129,7982.34021364667,2.394702064094e-05
"R","Peter Lake",1984,156,1984-06-04,"NAUP","OCOP","Nauplii",4800,0.23,1.008,NA,0.143749885772727,67906.109052542,472390.699216996,0.476169824810732
"R","Peter Lake",1984,156,1984-06-04,"ORTH","OCOP","Orthocyclops modestus",99,0.91,6.153,NA,0.239530295888889,1400.56349920868,5847.1246570762,0.0359773580149898
"R","Peter Lake",1984,156,1984-06-04,"PVULG","ROT","Polyarthra vulgaris",2132,0.12,0.048,NA,0.17723005627381,30161.6301041707,170183.493354947,0.00816880768103745
"R","Peter Lake",1984,156,1984-06-04,"FDIAPT","OCOP","Skistodiaptomus sp.",80,1.11,4.39,NA,0.168478539375,1131.76848420903,6717.5824790951,0.0294901870832275
"R","Peter Lake",1984,156,1984-06-04,"SYNCH","ROT","Synchaeta sp.",789,0.21,0.111,NA,0.17723005627381,11162.0666755116,62980.6642856722,0.00699085373570962
"T","Tuesday Lake",1984,157,1984-06-05,"BOS","CLAD","Bosmina longirostris",202,0.22,0.327,NA,0.0827637966666667,2857.71542262781,34528.5685012413,0.0112908418999059
"T","Tuesday Lake",1984,157,1984-06-05,"COPD","OCOP","Copepodite",3282,0.41,0.804,NA,0.2591370242,46430.8020646756,179174.7134861,0.144056469642825
"T","Tuesday Lake",1984,157,1984-06-05,"MSBR","ROT","Gastropus hyptopus",2726,0.11,0.027,NA,0.202,38565.0110994228,190915.896531796,0.00515472920635849
"T","Tuesday Lake",1984,157,1984-06-05,"GSTYL","ROT","Gastropus stylifer",202,0.11,0.027,NA,0.202,2857.71542262781,14147.1060526129,0.000381971863420549
"T","Tuesday Lake",1984,157,1984-06-05,"KBOST","ROT","Kellicotia bostoniensis",606,0.11,0.004,NA,0.103333333333333,8573.14626788343,82965.9316246783,0.000331863726498713
"T","Tuesday Lake",1984,157,1984-06-05,"KCOCH","ROT","Keratella cochlearis",8937,0.1,0.002,NA,0.157,126432.686792202,805303.737529947,0.00161060747505989
"T","Tuesday Lake",1984,157,1984-06-05,"NAUP","OCOP","Nauplii",2524,0.17,0.875,NA,0.11984711325,35707.295676795,297940.390122788,0.26069784135744
"T","Tuesday Lake",1984,157,1984-06-05,"ORTH","OCOP","Orthocyclops modestus",202,0.83,4.865,NA,0.16208691575,2857.71542262781,17630.7594564604,0.0857736447556797
"T","Tuesday Lake",1984,157,1984-06-05,"PVULG","ROT","Polyarthra vulgaris",3635,0.14,0.077,NA,0.3135,51424.730501248,164034.228074156,0.01263063556171
"T","Tuesday Lake",1984,157,1984-06-05,"MSBR","ROT","single Conochilus sp.",353,0.11,0.01,NA,0.1621,4993.92843657236,30807.7016444933,0.000308077016444933
"T","Tuesday Lake",1984,157,1984-06-05,"SYNCH","ROT","Synchaeta sp.",505,0.2,0.096,NA,0.100666666666667,7144.28855656952,70969.7538732072,0.00681309637182789
"T","Tuesday Lake",1984,157,1984-06-05,"TMULT","ROT","Trichocerca multicrinis",959,0.15,0.05,NA,0.0596666666666667,13567.0747044558,227381.140298142,0.0113690570149071
"T","Tuesday Lake",1984,157,1984-06-05,"TROP","OCOP","Tropocyclops prasinus mexicanus",51,0.5,1.334,NA,0.16208691575,721.502408683259,4451.3303578192,0.00593807469733082
"L","Paul Lake",1984,162,1984-06-10,"ASPLG","PROT","Asplanchna sp.",150,0.52,3.234,NA,0.136313053125,2122.06590789194,15567.5913585912,0.050345590453684
"L","Paul Lake",1984,162,1984-06-10,"CCOL","ROT","colonial Conochilus sp.",343,0.18,2.91,NA,0.2166,4852.45737604623,22402.8503049226,0.0651922943873247
"L","Paul Lake",1984,162,1984-06-10,"COPD","OCOP","Copepodite",1129,0.46,1.078,NA,0.195779391571429,15972.0827334,81582.0429576353,0.0879454423083308
"L","Paul Lake",1984,162,1984-06-10,"DT-CYV","OCOP","Cyclops varicans rubellus",118,0.72,3.384,NA,0.195567789555556,1669.35851420832,8535.95839070475,0.0288856831941449
"L","Paul Lake",1984,162,1984-06-10,"DPUL","CLAD","Daphnia pulex",639,1.26,13.107,NA,0.1437983365,9040.00076761965,62865.8229827273,0.823982341834607
"L","Paul Lake",1984,162,1984-06-10,"EPSH","CCOP","Epischura lacustris",51,1.82,13.444,0.137,0.255047885,721.502408683259,2828.88998935733,0.0380315970169199
"L","Paul Lake",1984,162,1984-06-10,"FIL","ROT","Filinia longispina",4339,0.14,0.036,NA,0.1437983365,61384.2931622875,426877.630550945,0.015367594699834
"L","Paul Lake",1984,162,1984-06-10,"MSBR","ROT","Gastropus hyptopus",6847,0.13,0.044,NA,0.1437983365,96865.2351422407,673618.607140429,0.0296392187141789
"L","Paul Lake",1984,162,1984-06-10,"HGIB","CLAD","Holopedium gibberum",167,0.62,3.613,NA,0.181128487363636,2362.56671078636,13043.5954342358,0.0471265103038938
"L","Paul Lake",1984,162,1984-06-10,"KBOST","ROT","Kellicotia bostoniensis",79,0.12,0.005,NA,0.1437983365,1117.62137815642,7772.14399942951,3.88607199971476e-05
"L","Paul Lake",1984,162,1984-06-10,"KCOCH","ROT","Keratella cochlearis",3275,0.1,0.002,NA,0.1437983365,46331.7723223073,322199.640482679,0.000644399280965358
"L","Paul Lake",1984,162,1984-06-10,"KTEST","ROT","Keratella testudo",444,0.11,0.003,NA,0.1437983365,6281.31508736014,43681.4169081861,0.000131044250724558
"L","Paul Lake",1984,162,1984-06-10,"MESO","CCOP","Mesocyclops edax",59,1.25,12.751,NA,0.169252581333333,834.679257104162,4931.55998288918,0.0628823213418199
"L","Paul Lake",1984,162,1984-06-10,"NAUP","OCOP","Nauplii",5275,0.2,0.944,NA,0.184969965304348,74625.9844275331,403449.199467299,0.38085604429713
"L","Paul Lake",1984,162,1984-06-10,"ORTH","OCOP","Orthocyclops modestus",297,0.83,4.865,NA,0.195567789555556,4201.69049762604,21484.5732376213,0.104522448801027
"L","Paul Lake",1984,162,1984-06-10,"PVULG","ROT","Polyarthra vulgaris",1655,0.12,0.048,NA,0.1437983365,23413.4605170744,162821.497709568,0.00781543189005924
"R","Peter Lake",1984,163,1984-06-11,"AEUC","ROT","Ascomorpha ecaudis",230,0.15,0.041,NA,0.17723005627381,3253.83439210097,18359.3824913873,0.000752734682146881
"R","Peter Lake",1984,163,1984-06-11,"ASPLG","PROT","Asplanchna sp.",29,0.38,1.262,NA,0.125464151,410.266075525775,3269.98646430704,0.00412672291795549
"R","Peter Lake",1984,163,1984-06-11,"CCOL","ROT","colonial Conochilus sp.",7,0.18,2.91,NA,0.142,99.0297423682904,697.392551889369,0.00202941232599806
"R","Peter Lake",1984,163,1984-06-11,"COPD","OCOP","Copepodite",5773,0.51,1.403,NA,0.172107014230769,81671.2432417344,474537.563775441,0.665776201976944
"R","Peter Lake",1984,163,1984-06-11,"DT-CYV","OCOP","Cyclops varicans rubellus",59,0.91,6.153,NA,0.239530295888889,834.679257104162,3484.65004815652,0.0214410517463071
"R","Peter Lake",1984,163,1984-06-11,"DPUL","CLAD","Daphnia pulex",446,1.41,17.798,NA,0.17723005627381,6309.60929946536,35601.2373528641,0.633630822406276
"R","Peter Lake",1984,163,1984-06-11,"FDIAPT","OCOP","Diaptomus oregonensis",3887,0.69,1.497,NA,0.168478539375,54989.8012265064,326390.538703033,0.48860663643844
"R","Peter Lake",1984,163,1984-06-11,"EPSH","CCOP","Epischura lacustris",18,1.81,13.277,NA,0.092263018,254.647908947033,2760.02145244189,0.036644804824071
"R","Peter Lake",1984,163,1984-06-11,"FIL","ROT","Filinia longispina",20,0.14,0.036,NA,0.17723005627381,282.942121052258,1596.46804272933,5.7472849538256e-05
"R","Peter Lake",1984,163,1984-06-11,"GSTYL","ROT","Gastropus stylifer",2556,0.11,0.027,NA,0.17723005627381,36160.0030704786,204028.615860809,0.00550877262824184
"R","Peter Lake",1984,163,1984-06-11,"HGIB","CLAD","Holopedium gibberum",199,1.11,12.276,NA,0.157585475384615,2815.27410446997,17865.0608350725,0.21931148681135
"R","Peter Lake",1984,163,1984-06-11,"KBOST","ROT","Kellicotia bostoniensis",410,0.14,0.008,NA,0.17723005627381,5800.3134815713,32727.5948759513,0.000261820759007611
"R","Peter Lake",1984,163,1984-06-11,"KCOCH","ROT","Keratella cochlearis",822,0.11,0.003,NA,0.17723005627381,11628.9211752478,65614.8365561756,0.000196844509668527
"R","Peter Lake",1984,163,1984-06-11,"KTEST","ROT","Keratella testudo",140,0.12,0.003,NA,0.17723005627381,1980.59484736581,11175.2762991053,3.3525828897316e-05
"R","Peter Lake",1984,163,1984-06-11,"NAUP","OCOP","Nauplii",3738,0.23,1.008,NA,0.143749885772727,52881.8824246671,367874.257015236,0.370817251071358
"R","Peter Lake",1984,163,1984-06-11,"ORTH","OCOP","Orthocyclops modestus",194,0.98,7.434,NA,0.239530295888889,2744.53857420691,11458.0018532604,0.085178785777138
"R","Peter Lake",1984,163,1984-06-11,"PVULG","ROT","Polyarthra vulgaris",4140,0.13,0.062,NA,0.17723005627381,58569.0190578175,330468.884844972,0.0204890708603883
"R","Peter Lake",1984,163,1984-06-11,"SYNCH","ROT","Synchaeta sp.",1193,0.2,0.096,NA,0.17723005627381,16877.4975207672,95229.3187488048,0.00914201459988526
"T","Tuesday Lake",1984,164,1984-06-12,"AEUC","ROT","Ascomorpha ecaudis",40,0.12,0.021,NA,0.088,565.884242104517,6430.50275118769,0.000135040557774942
"T","Tuesday Lake",1984,164,1984-06-12,"BOS","CLAD","Bosmina longirostris",26,0.17,0.17,NA,0.0827637966666667,367.824757367936,4444.27119322908,0.000755526102848944
"T","Tuesday Lake",1984,164,1984-06-12,"COPD","OCOP","Copepodite",1861,0.43,0.908,NA,0.2591370242,26327.7643639126,101597.849420363,0.0922508472736899
"T","Tuesday Lake",1984,164,1984-06-12,"DPUL","CLAD","Daphnia pulex",13,1.17,10.714,NA,0.132,183.912378683968,1393.27559609067,0.0149275547365154
"T","Tuesday Lake",1984,164,1984-06-12,"FIL","ROT","Filinia longispina",13,0.14,0.036,NA,0.0978235294117647,183.912378683968,1880.04235575914,6.76815248073291e-05
"T","Tuesday Lake",1984,164,1984-06-12,"MSBR","ROT","Gastropus hyptopus",2983,0.11,0.027,NA,0.202,42200.8173549443,208914.937400715,0.00564070330981929
"T","Tuesday Lake",1984,164,1984-06-12,"GSTYL","ROT","Gastropus stylifer",66,0.11,0.027,NA,0.202,933.708999472453,4622.3217795666,0.000124802688048298
"T","Tuesday Lake",1984,164,1984-06-12,"KBOST","ROT","Kellicotia bostoniensis",436,0.09,0.002,NA,0.103333333333333,6168.13823893923,59691.6603768313,0.000119383320753663
"T","Tuesday Lake",1984,164,1984-06-12,"KCOCH","ROT","Keratella cochlearis",3986,0.1,0.002,NA,0.157,56390.3647257151,359174.29761602,0.000718348595232039
"T","Tuesday Lake",1984,164,1984-06-12,"KTEST","ROT","Keratella testudo",66,0.12,0.003,NA,0.1325,933.708999472453,7046.860373377,2.1140581120131e-05
"T","Tuesday Lake",1984,164,1984-06-12,"NAUP","OCOP","Nauplii",2442,0.17,0.875,NA,0.11984711325,34547.2329804807,288260.868732112,0.252228260140598
"T","Tuesday Lake",1984,164,1984-06-12,"ORTH","OCOP","Orthocyclops modestus",442,0.82,4.716,NA,0.16208691575,6253.02087525491,38578.1964344331,0.181934774384787
"T","Tuesday Lake",1984,164,1984-06-12,"PVULG","ROT","Polyarthra vulgaris",1993,0.12,0.048,NA,0.3135,28195.1823628575,89936.7858464356,0.00431696572062891
"T","Tuesday Lake",1984,164,1984-06-12,"SYNCH","ROT","Synchaeta sp.",158,0.18,0.07,NA,0.100666666666667,2235.24275631284,22204.3982415183,0.00155430787690628
"T","Tuesday Lake",1984,164,1984-06-12,"TMULT","ROT","Trichocerca multicrinis",264,0.15,0.05,NA,0.0596666666666667,3734.83599788981,62595.0167244102,0.00312975083622051
"T","Tuesday Lake",1984,164,1984-06-12,"TROP","OCOP","Tropocyclops prasinus mexicanus",594,0.44,0.962,NA,0.16208691575,8403.38099525207,51844.9065204825,0.0498748000727042
"L","Paul Lake",1984,169,1984-06-17,"ASPLG","PROT","Asplanchna sp.",257,0.61,5.221,NA,0.136313053125,3635.80625552152,26672.4731943863,0.139256982547891
"L","Paul Lake",1984,169,1984-06-17,"CCOL","ROT","colonial Conochilus sp.",167,0.19,2.35,NA,0.2166,2362.56671078636,10907.5102067699,0.0256326489859092
"L","Paul Lake",1984,169,1984-06-17,"COPD","OCOP","Copepodite",1762,0.46,1.078,NA,0.195779391571429,24927.200864704,127322.904952483,0.137254091538777
"L","Paul Lake",1984,169,1984-06-17,"DPUL","CLAD","Daphnia pulex",554,1.26,13.107,NA,0.1437983365,7837.49675314756,54503.3895656196,0.714375927036576
"L","Paul Lake",1984,169,1984-06-17,"EPSH","CCOP","Epischura lacustris",43,1.82,13.444,0.137,0.255047885,608.325560262355,2385.14254004637,0.0320658563083835
"L","Paul Lake",1984,169,1984-06-17,"FIL","ROT","Filinia longispina",1248,0.14,0.036,NA,0.1437983365,17655.5883536609,122780.198877064,0.00442008715957429
"L","Paul Lake",1984,169,1984-06-17,"MSBR","ROT","Gastropus hyptopus",2712,0.13,0.044,NA,0.1437983365,38366.9516146862,266810.816790542,0.0117396759387839
"L","Paul Lake",1984,169,1984-06-17,"HGIB","CLAD","Holopedium gibberum",435,0.97,9.249,NA,0.181128487363636,6153.99113288662,33975.8324185183,0.314242474038876
"L","Paul Lake",1984,169,1984-06-17,"KBOST","ROT","Kellicotia bostoniensis",60,0.12,0.005,NA,0.1437983365,848.826363156775,5902.89417678191,2.95144708839095e-05
"L","Paul Lake",1984,169,1984-06-17,"KCOCH","ROT","Keratella cochlearis",1485,0.11,0.003,NA,0.1437983365,21008.4524881302,146096.630875352,0.000438289892626057
"L","Paul Lake",1984,169,1984-06-17,"KTEST","ROT","Keratella testudo",158,0.11,0.003,NA,0.1437983365,2235.24275631284,15544.287998859,4.66328639965771e-05
"L","Paul Lake",1984,169,1984-06-17,"MESO","CCOP","Mesocyclops edax",11,1.5,26.287,NA,0.169252581333333,155.618166578742,919.443386640355,0.024169408304615
"L","Paul Lake",1984,169,1984-06-17,"NAUP","OCOP","Nauplii",3109,0.2,0.944,NA,0.184969965304348,43983.3527175736,237786.457088878,0.224470415491901
"L","Paul Lake",1984,169,1984-06-17,"ORTH","OCOP","Orthocyclops modestus",317,0.86,5.326,NA,0.195567789555556,4484.6326186783,22931.3458462153,0.122132347976943
"L","Paul Lake",1984,169,1984-06-17,"PVULG","ROT","Polyarthra vulgaris",633,0.12,0.048,NA,0.1437983365,8955.11813130398,62275.5335650491,0.00298922561112236
"R","Peter Lake",1984,170,1984-06-18,"AEUC","ROT","Ascomorpha ecaudis",60,0.15,0.041,NA,0.17723005627381,848.826363156775,4789.404128188,0.000196365569255708
"R","Peter Lake",1984,170,1984-06-18,"CCOL","ROT","colonial Conochilus sp.",21,0.19,2.33,NA,0.142,297.089227104871,2092.17765566811,0.00487477393770669
"R","Peter Lake",1984,170,1984-06-18,"COPD","OCOP","Copepodite",2257,0.51,1.403,NA,0.172107014230769,31930.0183607474,185524.212964,0.260290470788492
"R","Peter Lake",1984,170,1984-06-18,"DT-CYV","OCOP","Cyclops varicans rubellus",692,0.68,2.924,NA,0.239530295888889,9789.79738840814,40870.8107343104,0.119506250587124
"R","Peter Lake",1984,170,1984-06-18,"DPUL","CLAD","Daphnia pulex",257,1.27,13.392,NA,0.17723005627381,3635.80625552152,20514.6143490719,0.274731715362771
"R","Peter Lake",1984,170,1984-06-18,"FDIAPT","OCOP","Diaptomus oregonensis",2296,0.74,1.753,NA,0.168478539375,32481.7554967993,192794.617150029,0.337968963864001
"R","Peter Lake",1984,170,1984-06-18,"EPSH","CCOP","Epischura lacustris",7,1.81,13.277,NA,0.092263018,99.0297423682904,1073.34167594963,0.0142507574315832
"R","Peter Lake",1984,170,1984-06-18,"FIL","ROT","Filinia longispina",60,0.15,0.044,NA,0.17723005627381,848.826363156775,4789.404128188,0.000210733781640272
"R","Peter Lake",1984,170,1984-06-18,"GSTYL","ROT","Gastropus stylifer",2416,0.11,0.027,NA,0.17723005627381,34179.4082231128,192853.339561704,0.00520704016816599
"R","Peter Lake",1984,170,1984-06-18,"HGIB","CLAD","Holopedium gibberum",139,0.87,7.36,NA,0.157585475384615,1966.4477413132,12478.6103320356,0.0918425720437817
"R","Peter Lake",1984,170,1984-06-18,"KBOST","ROT","Kellicotia bostoniensis",455,0.14,0.008,NA,0.17723005627381,6436.93325393888,36319.6479720923,0.000290557183776739
"R","Peter Lake",1984,170,1984-06-18,"KCOCH","ROT","Keratella cochlearis",416,0.11,0.003,NA,0.17723005627381,5885.19611788697,33206.5352887701,9.96196058663104e-05
"R","Peter Lake",1984,170,1984-06-18,"KTEST","ROT","Keratella testudo",60,0.12,0.003,NA,0.17723005627381,848.826363156775,4789.404128188,1.4368212384564e-05
"R","Peter Lake",1984,170,1984-06-18,"MESO","CCOP","Mesocyclops edax",1,1.5,26.287,NA,0.231808059111111,14.1471060526129,61.029396936678,0.00160427975727445
"R","Peter Lake",1984,170,1984-06-18,"NAUP","OCOP","Nauplii",2534,0.23,1.008,NA,0.143749885772727,35848.7667373211,249382.923294973,0.251377986681332
"R","Peter Lake",1984,170,1984-06-18,"ORTH","OCOP","Orthocyclops modestus",139,0.9,5.982,NA,0.239530295888889,1966.4477413132,8209.59926599587,0.0491098228091873
"R","Peter Lake",1984,170,1984-06-18,"PVULG","ROT","Polyarthra vulgaris",4752,0.13,0.062,NA,0.17723005627381,67227.0479620166,379320.80695249,0.0235178900310544
"R","Peter Lake",1984,170,1984-06-18,"FDIAPT","OCOP","Skistodiaptomus sp.",7,1.1,4.301,NA,0.168478539375,99.0297423682904,587.788466920821,0.00252807819622645
"T","Tuesday Lake",1984,171,1984-06-19,"AEUC","ROT","Ascomorpha ecaudis",50,0.16,0.049,NA,0.088,707.355302630646,8038.12843898461,0.000393868293510246
"T","Tuesday Lake",1984,171,1984-06-19,"BOS","CLAD","Bosmina longirostris",50,0.21,0.291,NA,0.0827637966666667,707.355302630646,8546.67537159439,0.00248708253313397
"T","Tuesday Lake",1984,171,1984-06-19,"COPD","OCOP","Copepodite",2017,0.41,0.804,NA,0.2591370242,28534.7129081203,110114.380591549,0.0885319619956054
"T","Tuesday Lake",1984,171,1984-06-19,"DPUL","CLAD","Daphnia pulex",2,0.65,2.166,NA,0.132,28.2942121052258,214.350091706256,0.000464282298635751
"T","Tuesday Lake",1984,171,1984-06-19,"DIAPH","CLAD","Diaphanosoma birgei",2,0.38,0.266,NA,0.0986319874,28.2942121052258,286.866490791463,7.63064865505293e-05
"T","Tuesday Lake",1984,171,1984-06-19,"MSBR","ROT","Gastropus hyptopus",4034,0.11,0.027,NA,0.202,57069.4258162405,282521.909981389,0.00762809156949749
"T","Tuesday Lake",1984,171,1984-06-19,"GSTYL","ROT","Gastropus stylifer",50,0.11,0.027,NA,0.202,707.355302630646,3501.75892391409,9.45474909456804e-05
"T","Tuesday Lake",1984,171,1984-06-19,"KBOST","ROT","Kellicotia bostoniensis",656,0.1,0.003,NA,0.103333333333333,9280.50157051407,89811.3055211039,0.000269433916563312
"T","Tuesday Lake",1984,171,1984-06-19,"KCOCH","ROT","Keratella cochlearis",3681,0.1,0.002,NA,0.157,52075.4973796682,331691.066112536,0.000663382132225072
"T","Tuesday Lake",1984,171,1984-06-19,"NAUP","OCOP","Nauplii",3378,0.17,0.875,NA,0.11984711325,47788.9242457264,398749.064118375,0.348905431103578
"T","Tuesday Lake",1984,171,1984-06-19,"ORTH","OCOP","Orthocyclops modestus",202,0.83,4.865,NA,0.16208691575,2857.71542262781,17630.7594564604,0.0857736447556797
"T","Tuesday Lake",1984,171,1984-06-19,"GPLOES","ROT","Ploesoma sp.",151,0.11,0.02,NA,0.2115,2136.21301394455,10100.2979382721,0.000202005958765442
"T","Tuesday Lake",1984,171,1984-06-19,"PVULG","ROT","Polyarthra vulgaris",6051,0.14,0.077,NA,0.3135,85604.1387243608,273059.453666223,0.0210255779322991
"T","Tuesday Lake",1984,171,1984-06-19,"MSBR","ROT","single Conochilus sp.",252,0.1,0.006,NA,0.1621,3565.07072525846,21993.0334685901,0.000131958200811541
"T","Tuesday Lake",1984,171,1984-06-19,"TCYL","ROT","Trichocerca cylindrica",101,0.3,0.028,NA,0.0596666666666667,1428.8577113139,23947.3359438085,0.000670525406426637
"T","Tuesday Lake",1984,171,1984-06-19,"TMULT","ROT","Trichocerca multicrinis",555,0.15,0.05,NA,0.0596666666666667,7851.64385920017,131591.796522908,0.00657958982614539
"T","Tuesday Lake",1984,171,1984-06-19,"TROP","OCOP","Tropocyclops prasinus mexicanus",101,0.51,1.403,NA,0.16208691575,1428.8577113139,8815.37972823019,0.012367977758707
"L","Paul Lake",1984,176,1984-06-24,"AEUC","ROT","Ascomorpha ecaudis",20,0.15,0.041,NA,0.1437983365,282.942121052258,1967.63139226064,8.06728870826861e-05
"L","Paul Lake",1984,176,1984-06-24,"ASPLG","PROT","Asplanchna sp.",198,0.62,5.482,NA,0.136313053125,2801.12699841736,20549.2205933404,0.112650827292692
"L","Paul Lake",1984,176,1984-06-24,"CCOL","ROT","colonial Conochilus sp.",122,0.18,2.91,NA,0.2166,1725.94693841878,7968.36074985584,0.0231879297820805
"L","Paul Lake",1984,176,1984-06-24,"COPD","OCOP","Copepodite",990,0.46,1.078,NA,0.195779391571429,14005.6349920868,71537.841034596,0.0771177926352945
"L","Paul Lake",1984,176,1984-06-24,"DPUL","CLAD","Daphnia pulex",257,1.2,11.478,NA,0.1437983365,3635.80625552152,25284.0633905492,0.290210479596723
"L","Paul Lake",1984,176,1984-06-24,"EPSH","CCOP","Epischura lacustris",59,1.84,13.78,0.137,0.255047885,834.679257104162,3272.63743866828,0.0450969439048489
"L","Paul Lake",1984,176,1984-06-24,"FIL","ROT","Filinia longispina",535,0.14,0.036,NA,0.1437983365,7568.70173814791,52634.139742972,0.00189482903074699
"L","Paul Lake",1984,176,1984-06-24,"MSBR","ROT","Gastropus hyptopus",1742,0.13,0.044,NA,0.1437983365,24644.2587436517,171380.694265901,0.00754075054769966
"L","Paul Lake",1984,176,1984-06-24,"GSTYL","ROT","Gastropus stylifer",20,0.11,0.027,NA,0.1437983365,282.942121052258,1967.63139226064,5.31260475910372e-05
"L","Paul Lake",1984,176,1984-06-24,"HGIB","CLAD","Holopedium gibberum",158,1.06,11.143,NA,0.181128487363636,2235.24275631284,12340.6471773009,0.137511831496664
