"Experiment"	"Location"	"Plot"	"Exclosure"	"Fertilized"	"Burned"	"Date"	"Order"	"Family(Subfamily)"	"Genus"	"Specific.epithet"	"Further.ID"	"Life.stage"	"#Specimens"
e153	Field.B	2	n	y	n	8/15/2003	Araneae	Tetragnathidae	Tetragnatha	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Araneae	Thomisidae	Tibellus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Araneae	Salticidae	Metaphidippus	undet	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	13
e153	Field.B	3	y	y	y	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Hemiptera	Pentatomidae	undet	undet	na	nymphs	1
e153	Field.B	3	y	y	y	8/15/2003	Hemiptera	Nabidae	Nabis	americoferus	na	na	4
e153	Field.B	3	y	y	y	8/15/2003	Hemiptera	Miridae	Adelphocoris	lineolatus	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Hemiptera	Miridae	Lygus	lineolaris	na	na	4
e153	Field.B	3	y	y	y	8/15/2003	Hemiptera	Miridae	Stenodema	vicinum	na	na	8
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	42
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Issidae	Bruchomorpha	tristis	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Issidae	Bruchomorpha	nasuta	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	5
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	10
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	6
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae	Nesosteles	neglectus	na	na	2
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae	Macrosteles	fascifrons	na	na	2
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae	Scleroraccus	osborni	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Cicadellidae	Endria	inimica	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Psyllidae	Aphalara	undet	sp1.green.yellow	na	3
e153	Field.B	3	y	y	y	8/15/2003	Homoptera	Aphididae	undet	undet	na	na	60
e153	Field.B	3	y	y	y	8/15/2003	Neuroptera	Chrysopidae	Chrysopa	undet	na	adults	1
e153	Field.B	3	y	y	y	8/15/2003	Coleoptera	Cantharidae	Chauliognathus	pennsylvanicus	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Coleoptera	Mordellidae	Mordellistena	undet	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Coleoptera	Chrysomelidae	Diabrotica	barberi	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Coleoptera	Curculionidae	Rhinoncus	pyrrhopus	na	na	2
e153	Field.B	3	y	y	y	8/15/2003	Hymenoptera	Pteromalidae	undet	undet	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	45
e153	Field.B	3	y	y	y	8/15/2003	Hymenoptera	Formicidae	Monomorium	minimum	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Hymenoptera	Formicidae	Prenolepis	imparis	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Lepidoptera	Pyralidae	Crambus	undet	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Lepidoptera	Noctuidae	undet	undet	cutworm.small.brown.stripe	larvae	1
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Tephritidae	Euaresta	bella	na	na	2
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Anthomyzidae	Anthomyza	undet	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	35
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	4
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Chloropidae	Thaumatomyia	glabra	na	na	4
e153	Field.B	3	y	y	y	8/15/2003	Diptera	Chloropidae	Diplotoxa	versicolor	na	na	1
e153	Field.B	3	y	y	y	8/15/2003	Araneae	Salticidae	Metaphidippus	undet	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Orthoptera	Acrididae	Spharagemon	collare	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	2
e153	Field.B	4	n	n	y	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	undet	na	nymphs	1
e153	Field.B	4	n	n	y	8/15/2003	Hemiptera	Lygaeidae	Phlegyas	abbreviatus	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	33
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	5
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	10
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cicadellidae	Nesosteles	neglectus	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cicadellidae	Laevicephalus	unicoloratus	na	na	2
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Cicadellidae	Endria	inimica	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Homoptera	Aphididae	undet	undet	na	na	3
e153	Field.B	4	n	n	y	8/15/2003	Coleoptera	Cantharidae	Chauliognathus	pennsylvanicus	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Coleoptera	Chrysomelidae	Diabrotica	barberi	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Hymenoptera	Encyrtidae	undet	undet	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	30
e153	Field.B	4	n	n	y	8/15/2003	Hymenoptera	Platygasteridae	undet	undet	na	na	3
e153	Field.B	4	n	n	y	8/15/2003	Hymenoptera	Tiphiidae	Tiphia	undet	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Hymenoptera	Formicidae	Monomorium	minimum	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Lepidoptera	(Misc.Macrolepidoptera)	undet	undet	misc.	larvae	1
e153	Field.B	4	n	n	y	8/15/2003	Diptera	Pipunculidae	undet	undet	small	na	1
e153	Field.B	4	n	n	y	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	4
e153	Field.B	4	n	n	y	8/15/2003	Diptera	Chamaemyiidae	Pseudodinia	undet	na	na	1
e153	Field.B	4	n	n	y	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	1
e153	Field.B	4	n	n	y	8/15/2003	Araneae	Araneidae	undet	undet	na	spiderlings	1
e153	Field.B	5	n	n	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	6
e153	Field.B	5	n	n	n	8/15/2003	Orthoptera	Tettigoniidae	Neoconocephalus	ensiger	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	2
e153	Field.B	5	n	n	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	fasciatus	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Hemiptera	Alydidae	Protenor	belfragei	na	na	2
e153	Field.B	5	n	n	n	8/15/2003	Hemiptera	Nabidae	Nabis	americoferus	na	na	5
e153	Field.B	5	n	n	n	8/15/2003	Hemiptera	Miridae	Lygus	lineolaris	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	33
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	2
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	5
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cicadellidae	Doratura	stylata	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cicadellidae	Laevicephalus	unicoloratus	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cicadellidae	Quantas	sayi?	na	na	2
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Cicadellidae	Commellus	comma	na	na	4
e153	Field.B	5	n	n	n	8/15/2003	Homoptera	Psyllidae	Aphalara	undet	sp1.green.yellow	na	1
e153	Field.B	5	n	n	n	8/15/2003	Neuroptera	Chrysopidae	undet	undet	na	larvae	2
e153	Field.B	5	n	n	n	8/15/2003	Coleoptera	Cantharidae	Chauliognathus	pennsylvanicus	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Coleoptera	Coccinellidae	Coccinella	septempunctata	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Hymenoptera	Encyrtidae	undet	undet	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	20
e153	Field.B	5	n	n	n	8/15/2003	Hymenoptera	Tiphiidae	Tiphia	undet	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Lepidoptera	Noctuidae	undet	undet	cutworm.green.rugose	larvae	5
e153	Field.B	5	n	n	n	8/15/2003	Diptera	Tephritidae	Euaresta	bella	na	na	1
e153	Field.B	5	n	n	n	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	9
e153	Field.B	5	n	n	n	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	2
e153	Field.B	5	n	n	n	8/15/2003	Diptera	Chloropidae	Diplotoxa	versicolor	na	na	2
e153	Field.B	5	n	n	n	8/15/2003	Diptera	Anthomyiidae	undet	undet	na	pupae/larvae	10
e153	Field.B	5	n	n	n	8/15/2003	Araneae	Araneidae	undet	undet	na	spiderlings	2
e153	Field.B	5	n	n	n	8/15/2003	Araneae	Araneidae	Araneus	pratense	na	na	4
e153	Field.B	5	n	n	n	8/15/2003	Araneae	Salticidae	Phidippus	undet	reg/hairy	na	1
e153	Field.B	5	n	n	n	8/15/2003	Acarina	mites	undet	undet	tiny.brown	na	12
e153	Field.B	6	n	n	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	keeleri-luridus	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	punctulatus	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	fasciatus	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Hemiptera	Pentatomidae	undet	undet	na	nymphs	1
e153	Field.B	6	n	n	n	8/15/2003	Hemiptera	Nabidae	Nabis	americoferus	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	22
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	4
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	8
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae	Empoasca	fabae	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	22
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae	Nesosteles	neglectus	na	na	5
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae	Osbornellus	undet	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Cicadellidae	Laevicephalus	unicoloratus	na	na	3
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Psyllidae	undet	undet	sp6.other	na	2
e153	Field.B	6	n	n	n	8/15/2003	Homoptera	Psyllidae	Aphalara	undet	sp1.green.yellow	na	8
e153	Field.B	6	n	n	n	8/15/2003	Thysanoptera	undet	undet	undet	sp6.orange.pronotum	na	5
e153	Field.B	6	n	n	n	8/15/2003	Neuroptera	Chrysopidae	undet	undet	na	larvae	1
e153	Field.B	6	n	n	n	8/15/2003	Coleoptera	Chrysomelidae	Diabrotica	barberi	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Braconidae	Rogas	undet	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Chalcididae	Spilochalcis	undet	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	35
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Platygasteridae	undet	undet	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Formicidae	Monomorium	minimum	na	na	3
e153	Field.B	6	n	n	n	8/15/2003	Hymenoptera	Formicidae	Paratrechina	parvula	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Lepidoptera	(Misc.Microlepidoptera)	undet	undet	na	adults	1
e153	Field.B	6	n	n	n	8/15/2003	Lepidoptera	Pyralidae	Crambus	undet	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Lepidoptera	Arctiidae	Holomelina	aurantiaca	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Culicidae	undet	undet	na	na	3
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Dolichopodidae	Dolichopus	undet	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	25
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Chamaemyiidae	Pseudodinia	undet	na	na	5
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Sphaeroceridae	Leptocera	undet	na	na	5
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Curtonotidae	Curtonotus	helvum	na	na	4
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	2
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Chloropidae	Incertella?	undet	sp5.pubescent	na	2
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Chloropidae	Malloweia?	undet	yellow.legs	na	1
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Anthomyiidae	Hylemya	undet	na	na	2
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Muscidae	Coenosia	undet	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Diptera	Muscidae	Phaonia	undet	yellow.legs	na	1
e153	Field.B	6	n	n	n	8/15/2003	Araneae	Araneidae	undet	undet	na	spiderlings	2
e153	Field.B	6	n	n	n	8/15/2003	Araneae	Araneidae	Araneus	pratense	na	na	1
e153	Field.B	6	n	n	n	8/15/2003	Acarina	mites	undet	undet	tiny.brown	na	30
e153	Field.B	7	y	n	y	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Orthoptera	Acrididae	Melanoplus	keeleri-luridus	na	na	2
e153	Field.B	7	y	n	y	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	undet	na	nymphs	1
e153	Field.B	7	y	n	y	8/15/2003	Hemiptera	Miridae	Adelphocoris	lineolatus	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Hemiptera	Miridae	Lygus	lineolaris	na	na	2
e153	Field.B	7	y	n	y	8/15/2003	Hemiptera	Miridae	Stenodema	vicinum	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	8
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	3
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	6
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae	Nesosteles	neglectus	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae	Macrosteles	fascifrons	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae	Chlorotettix	undet	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Cicadellidae	Quantas	sayi?	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Homoptera	Psyllidae	Aphalara	undet	sp1.green.yellow	na	1
e153	Field.B	7	y	n	y	8/15/2003	Neuroptera	Chrysopidae	undet	undet	na	larvae	1
e153	Field.B	7	y	n	y	8/15/2003	Coleoptera	Cantharidae	Chauliognathus	pennsylvanicus	na	na	2
e153	Field.B	7	y	n	y	8/15/2003	Coleoptera	Phalacridae	undet	undet	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Coleoptera	Coccinellidae	Coccinella	septempunctata	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Coleoptera	Mordellidae	Mordellistena	undet	na	na	1
e153	Field.B	7	y	n	y	8/15/2003	Coleoptera	Chrysomelidae	Diabrotica	barberi	na	na	1
