Datacode,Rectype,Recyear,Recmonth,Recday,Watershed,Repsite,Spcode,Genus,Species,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Total,Comments
PBG07,2,2011,9,19,c03b,d,21,orphulella,speciosa,3,,1,5,3,3,4,2,2,,23,missing page 10
PBG07,2,2011,9,19,c03b,d,38,pardalopho,apiculata,,2,,,,,,,,,2,missing page 10
PBG07,2,2011,9,19,c03c,a,5,campylacan,olivacea,,,,,,,1,,,,1,
PBG07,2,2011,9,19,c03c,a,9,phoetaliot,nebrascen,,,1,,,,,,,,1,
PBG07,2,2011,9,19,c03c,a,12,melanoplus,femurrubr,,,,,,,1,,,,1,
PBG07,2,2011,9,19,c03c,a,15,melanoplus,keeleri,,,,,,,,,,1,1,
PBG07,2,2011,9,19,c03c,a,20,syrbula,admirabil,,,,,,,,1,,,1,
PBG07,2,2011,9,19,c03c,a,21,orphulella,speciosa,2,2,2,3,3,5,,1,3,2,23,
PBG07,2,2011,9,19,c03c,a,41,unknown,,,,2,,1,,,,,,3,
PBG07,2,2011,9,19,c03c,b,6,hesperotet,speciosus,1,,,,,,,,,,1,
PBG07,2,2011,9,19,c03c,b,9,phoetaliot,nebrascen,,,,1,,,,,,1,2,
PBG07,2,2011,9,19,c03c,b,15,melanoplus,keeleri,,,,,,,,,,1,1,
PBG07,2,2011,9,19,c03c,b,20,syrbula,admirabil,,,,,1,,,,1,1,3,
PBG07,2,2011,9,19,c03c,b,21,orphulella,speciosa,1,2,2,1,2,1,1,2,2,1,15,
PBG07,2,2011,9,19,c03c,b,41,unknown,,,,,,,,,,1,,1,
PBG07,2,2011,9,20,c3sa,a,10,melanoplus,scudderi,1,,,,,,,,,1,2,
PBG07,2,2011,9,20,c3sa,a,15,melanoplus,keeleri,,,,1,,,,,1,,2,
PBG07,2,2011,9,20,c3sa,a,20,syrbula,admirabil,,,,1,,,,,,,1,
PBG07,2,2011,9,20,c3sa,a,21,orphulella,speciosa,2,4,4,2,2,5,1,2,1,3,26,
PBG07,2,2011,9,20,c3sa,a,23,mermiria,bivittata,,,,,,2,,,,,2,
PBG07,2,2011,9,20,c3sa,a,41,unknown,,,,,,1,,,,2,,3,p.9: Unk. spp likely encoptolophus subgracilis but tough to call @ such young instar
PBG07,2,2011,9,20,c3sa,a,49,encoptolop,subgracil,,,1,,1,1,,,,,3,
PBG07,2,2011,9,20,c3sb,b,5,campylacan,olivacea,1,,,,,,,,,,1,
PBG07,2,2011,9,20,c3sb,b,9,phoetaliot,nebrascen,,,,,,1,1,,,1,3,
PBG07,2,2011,9,20,c3sb,b,15,melanoplus,keeleri,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c3sb,b,21,orphulella,speciosa,,3,,1,4,4,1,2,3,3,21,
PBG07,2,2011,9,20,c3sb,b,22,mermiria,picta,2,1,,,,,,,,1,4,
PBG07,2,2011,9,20,c3sb,b,49,encoptolop,subgracil,,,,,,,,,,1,1,
PBG07,2,2011,9,20,c3sb,c,5,campylacan,olivacea,,,,,,,,1,,,1,
PBG07,2,2011,9,20,c3sb,c,21,orphulella,speciosa,1,2,,1,1,3,4,5,2,1,20,
PBG07,2,2011,9,20,c3sb,c,22,mermiria,picta,,,,,1,,1,2,,,4,
PBG07,2,2011,9,20,c3sb,c,33,arphia,xanthopte,,,,,,,,,,1,1,
PBG07,2,2011,9,20,c3sb,c,49,encoptolop,subgracil,,,,,,,,,,1,1,
PBG07,2,2011,9,20,c3sb,d,5,campylacan,olivacea,1,,,,,,,1,,,2,
PBG07,2,2011,9,20,c3sb,d,9,phoetaliot,nebrascen,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c3sb,d,21,orphulella,speciosa,2,,5,2,1,,4,2,1,4,21,
PBG07,2,2011,9,20,c3sb,d,22,mermiria,picta,,,,,,1,,3,,,4,
PBG07,2,2011,9,20,c3sb,d,49,encoptolop,subgracil,,,,1,,,,,,,1,
PBG07,2,2011,9,20,c03c,c,5,campylacan,olivacea,,,,,,,,,1,,1,
PBG07,2,2011,9,20,c03c,c,9,phoetaliot,nebrascen,1,1,1,1,1,1,,,,,6,
PBG07,2,2011,9,20,c03c,c,20,syrbula,admirabil,,,,,,,1,,,,1,
PBG07,2,2011,9,20,c03c,c,21,orphulella,speciosa,2,4,1,2,,,1,2,,,12,
PBG07,2,2011,9,20,c03c,c,22,mermiria,picta,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c03c,d,5,campylacan,olivacea,,,,,,,,1,,1,2,
PBG07,2,2011,9,20,c03c,d,6,hesperotet,speciosus,,,,,,1,,,,,1,
PBG07,2,2011,9,20,c03c,d,9,phoetaliot,nebrascen,2,2,2,,,,1,1,1,,9,
PBG07,2,2011,9,20,c03c,d,20,syrbula,admirabil,,,,,1,,,,,,1,
PBG07,2,2011,9,20,c03c,d,21,orphulella,speciosa,1,,2,1,2,,1,3,1,2,13,
PBG07,2,2011,9,20,c03c,d,41,unknown,,1,,,,,,,,,,1,
PBG07,2,2011,9,20,c03c,d,49,encoptolop,subgracil,,,,,1,,,,,,1,
PBG07,2,2011,9,20,c01a,a,3,paratylota,brunneri,,,,,,,4,,,,4,
PBG07,2,2011,9,20,c01a,a,9,phoetaliot,nebrascen,,,,,,1,,,,,1,
PBG07,2,2011,9,20,c01a,a,15,melanoplus,keeleri,2,,,,,,,,1,1,4,
PBG07,2,2011,9,20,c01a,a,21,orphulella,speciosa,2,12,4,1,,3,,3,3,7,35,
PBG07,2,2011,9,20,c01a,a,41,unknown,,,,2,1,1,,,,,,4,
PBG07,2,2011,9,20,c01a,a,42,schistocer,obscura,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c01a,b,9,phoetaliot,nebrascen,,,,,,,,,,1,1,
PBG07,2,2011,9,20,c01a,b,15,melanoplus,keeleri,,1,,,,,,,,,1,
PBG07,2,2011,9,20,c01a,b,20,syrbula,admirabil,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c01a,b,21,orphulella,speciosa,4,4,1,8,2,6,5,5,6,3,44,
PBG07,2,2011,9,20,c01a,b,22,mermiria,picta,,,,1,,,,,,,1,
PBG07,2,2011,9,20,c01a,b,38,pardalopho,apiculata,,1,,,,,,,,,1,
PBG07,2,2011,9,20,c01a,b,40,arphia,spp.,,,,,1,,,,,,1,
PBG07,2,2011,9,20,c01a,b,41,unknown,,,3,,,,1,,,,,4,
PBG07,2,2011,9,20,c01a,b,49,encoptolop,subgracil,,2,,,,,,,,,2,
PBG07,2,2011,9,20,c01a,c,4,hypochlora,alba,,1,2,,,,1,,,,4,
PBG07,2,2011,9,20,c01a,c,9,phoetaliot,nebrascen,,,,,,1,,,,,1,
PBG07,2,2011,9,20,c01a,c,12,melanoplus,femurrubr,,,,1,,1,,1,5,1,9,
PBG07,2,2011,9,20,c01a,c,15,melanoplus,keeleri,,,,,,,2,,,,2,
PBG07,2,2011,9,20,c01a,c,21,orphulella,speciosa,2,3,3,5,,1,2,4,3,,23,
PBG07,2,2011,9,20,c01a,c,31,chortophag,viridifas,,,,,1,,,,,1,2,
PBG07,2,2011,9,20,c01a,c,41,unknown,,,1,1,,,,,,,,2,
PBG07,2,2011,9,20,c01a,c,49,encoptolop,subgracil,,,2,,,,,,,1,3,
PBG07,2,2011,9,20,c01a,d,9,phoetaliot,nebrascen,,,1,,1,1,1,,1,,5,
PBG07,2,2011,9,20,c01a,d,10,melanoplus,scudderi,,,,,1,,,,,,1,
PBG07,2,2011,9,20,c01a,d,12,melanoplus,femurrubr,1,,,,,,,,,,1,
PBG07,2,2011,9,20,c01a,d,15,melanoplus,keeleri,,,1,,2,,1,1,,1,6,
PBG07,2,2011,9,20,c01a,d,21,orphulella,speciosa,3,6,6,4,6,3,,,3,4,35,
PBG07,2,2011,9,20,c01a,d,22,mermiria,picta,,,,,,,1,,,,1,
PBG07,2,2011,9,20,c01a,d,24,opeia,obscura,,,,,,,5,,,,5,
PBG07,2,2011,9,20,c01a,d,31,chortophag,viridifas,,,1,,,,,,,,1,
PBG07,2,2011,9,20,c01a,d,33,arphia,xanthopte,,,,,1,,,,,,1,
PBG07,2,2011,9,20,c01a,d,38,pardalopho,apiculata,1,1,,,,,,,,,2,
PBG07,2,2011,9,20,c01a,d,41,unknown,,,,,,,1,,,,,1,
PBG07,2,2011,9,21,c3sa,b,2,schistocer,lineata,,,,1,,,,,,,1,
PBG07,2,2011,9,21,c3sa,b,5,campylacan,olivacea,,,1,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,b,21,orphulella,speciosa,3,4,5,3,6,3,3,9,2,3,41,
PBG07,2,2011,9,21,c3sa,b,22,mermiria,picta,,,1,,,1,,,,,2,
PBG07,2,2011,9,21,c3sa,b,31,chortophag,viridifas,,,1,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,b,38,pardalopho,apiculata,,,,,,1,,,,,1,
PBG07,2,2011,9,21,c3sa,b,41,unknown,,,,,,,,2,,,,2,
PBG07,2,2011,9,21,c3sa,c,4,hypochlora,alba,,,1,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,c,5,campylacan,olivacea,,,,,,1,,1,,,2,
PBG07,2,2011,9,21,c3sa,c,10,melanoplus,scudderi,,1,,1,,,,,,,2,
PBG07,2,2011,9,21,c3sa,c,12,melanoplus,femurrubr,1,1,1,,1,1,,,1,,6,
PBG07,2,2011,9,21,c3sa,c,15,melanoplus,keeleri,,1,,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,c,21,orphulella,speciosa,3,2,,,1,,3,,,1,10,
PBG07,2,2011,9,21,c3sa,c,23,mermiria,bivittata,1,,,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,c,41,unknown,,,,,,1,,,,,1,2,
PBG07,2,2011,9,21,c3sa,c,49,encoptolop,subgracil,1,2,,,,,,,,1,4,
PBG07,2,2011,9,21,c3sa,d,9,phoetaliot,nebrascen,,1,,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,d,12,melanoplus,femurrubr,,1,,,,1,,,,,2,
PBG07,2,2011,9,21,c3sa,d,15,melanoplus,keeleri,,,1,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,d,21,orphulella,speciosa,3,1,6,5,5,,4,1,2,5,32,
PBG07,2,2011,9,21,c3sa,d,23,mermiria,bivittata,1,,,,,,,,,,1,
PBG07,2,2011,9,21,c3sa,d,33,arphia,xanthopte,,,,,,,,1,,,1,
PBG07,2,2011,9,21,c3sa,d,49,encoptolop,subgracil,1,,,,,,,,,,1,
PBG07,2,2011,9,21,c3sb,a,4,hypochlora,alba,,,,,1,,,,,,1,missing page 3
PBG07,2,2011,9,21,c3sb,a,9,phoetaliot,nebrascen,,,,,1,,,,,,1,missing page 3
PBG07,2,2011,9,21,c3sb,a,12,melanoplus,femurrubr,,,,,,,,,1,,1,missing page 3
PBG07,2,2011,9,21,c3sb,a,15,melanoplus,keeleri,,,,,,,,1,,,1,missing page 3
PBG07,2,2011,9,21,c3sb,a,20,syrbula,admirabil,,,,,,,,,2,1,3,missing page 3
PBG07,2,2011,9,21,c3sb,a,21,orphulella,speciosa,2,1,,4,1,2,2,,3,1,16,missing page 3
PBG07,2,2011,9,21,c3sb,a,23,mermiria,bivittata,,,,,,,1,,,,1,missing page 3
PBG07,2,2011,9,22,c1sb,a,9,phoetaliot,nebrascen,,,,,1,,,2,,1,4,
PBG07,2,2011,9,22,c1sb,a,10,melanoplus,scudderi,,,,,,1,,,,,1,
PBG07,2,2011,9,22,c1sb,a,15,melanoplus,keeleri,,,,,,,1,,,,1,
PBG07,2,2011,9,22,c1sb,a,20,syrbula,admirabil,,,1,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,a,21,orphulella,speciosa,7,1,3,2,,,,2,5,1,21,
PBG07,2,2011,9,22,c1sb,a,22,mermiria,picta,,,,1,,,2,,,,3,
PBG07,2,2011,9,22,c1sb,a,38,pardalopho,apiculata,,1,,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,a,42,schistocer,obscura,,,,,1,,,,,,1,
PBG07,2,2011,9,22,c1sb,a,49,encoptolop,subgracil,,,,2,2,,,,1,,5,
PBG07,2,2011,9,22,c1sb,b,5,campylacan,olivacea,,,1,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,b,9,phoetaliot,nebrascen,1,,,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,b,10,melanoplus,scudderi,,,,,,,,,1,,1,
PBG07,2,2011,9,22,c1sb,b,15,melanoplus,keeleri,,,,,,,1,,1,,2,
PBG07,2,2011,9,22,c1sb,b,20,syrbula,admirabil,,1,,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,b,21,orphulella,speciosa,5,7,10,4,3,6,2,7,2,1,47,
PBG07,2,2011,9,22,c1sb,b,41,unknown,,1,2,,,,,,,1,,4,
PBG07,2,2011,9,22,c1sb,b,49,encoptolop,subgracil,,,,,,,,,,1,1,
PBG07,2,2011,9,22,c1sb,c,4,hypochlora,alba,1,,,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,c,5,campylacan,olivacea,,,,,,,,2,,,2,
PBG07,2,2011,9,22,c1sb,c,9,phoetaliot,nebrascen,,,1,,,,,,1,1,3,
PBG07,2,2011,9,22,c1sb,c,16,melanoplus,bivittatu,,,,,1,,,,,,1,
PBG07,2,2011,9,22,c1sb,c,20,syrbula,admirabil,2,,,,,1,,,,1,4,
PBG07,2,2011,9,22,c1sb,c,21,orphulella,speciosa,5,2,12,4,2,5,1,2,3,6,42,
PBG07,2,2011,9,22,c1sb,c,22,mermiria,picta,,,1,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,c,38,pardalopho,apiculata,,,,,,3,,,,1,4,
PBG07,2,2011,9,22,c1sb,c,40,arphia,spp.,,1,1,,,,,,,,2,
PBG07,2,2011,9,22,c1sb,c,41,unknown,,,,,,,,,2,,,2,
PBG07,2,2011,9,22,c1sb,c,43,encoptolop,sordidus,,,,,1,,,,,,1,
PBG07,2,2011,9,22,c1sb,c,49,encoptolop,subgracil,,,,,,3,,,,1,4,
PBG07,2,2011,9,22,c1sb,c,52,encoptolop,spp.,,,,,,,,,1,,1,
PBG07,2,2011,9,22,c1sb,d,4,hypochlora,alba,,,3,2,2,,1,,,,8,
PBG07,2,2011,9,22,c1sb,d,5,campylacan,olivacea,,,2,,,,,,,,2,
PBG07,2,2011,9,22,c1sb,d,9,phoetaliot,nebrascen,,,,,,,,,1,,1,
PBG07,2,2011,9,22,c1sb,d,12,melanoplus,femurrubr,,,,2,1,,,,,,3,
PBG07,2,2011,9,22,c1sb,d,13,melanoplus,packardii,,1,,,,,,,,,1,
PBG07,2,2011,9,22,c1sb,d,16,melanoplus,bivittatu,,,,,,1,,,,,1,
PBG07,2,2011,9,22,c1sb,d,20,syrbula,admirabil,1,,,,1,,,,,,2,
PBG07,2,2011,9,22,c1sb,d,21,orphulella,speciosa,5,7,4,11,1,2,3,2,5,5,45,
PBG07,2,2011,9,22,c1sb,d,24,opeia,obscura,,,,,2,,,,,1,3,
PBG07,2,2011,9,22,c1sb,d,38,pardalopho,apiculata,,,,1,,,,,,,1,
PBG07,2,2011,9,22,c1sb,d,41,unknown,,,,,1,,1,,,,,2,
PBG07,2,2011,9,22,c1sb,d,49,encoptolop,subgracil,,,,,1,1,,,2,,4,
PBG07,2,2011,9,22,c3sc,a,4,hypochlora,alba,,,,,,,,1,,,1,
PBG07,2,2011,9,22,c3sc,a,5,campylacan,olivacea,,,1,,,,,,,,1,
