year,quarter,treatment,block,plot,subplot,subplot.t,res.mass,tot.nh4,tot.no3,res.nh4,res.no3,tot.n,res.n,daily.nh4,daily.no3,daily.n
2006,3,hardwood control,valley,8,B,X,1.202,165,0,137.27,0,165,137.27,1.492,0,1.492
2006,4,girdled,valley,1,A,C,1.1,78.3,0,71.182,0,78.3,71.18,0.782,0,0.782
2006,4,girdled,valley,1,A,D,1.1,80.7,0,73.364,0,80.7,73.36,0.806,0,0.806
2006,4,girdled,valley,1,A,X,1.07,108.9,1.884,101.776,1.761,110.78,103.54,1.118,0.019,1.138
2006,4,girdled,valley,1,B,C,1.09,72.9,0,66.881,0,72.9,66.88,0.735,0,0.735
2006,4,girdled,valley,1,B,D,1.12,270.9,0,241.875,0,270.9,241.88,2.658,0,2.658
2006,4,girdled,valley,1,B,X,1.08,72.3,1.41,66.944,1.306,73.71,68.25,0.736,0.014,0.75
2006,4,logged,valley,2,A,C,1.12,78.3,0,69.911,0,78.3,69.91,0.768,0,0.768
2006,4,logged,valley,2,A,D,1.13,171.9,94.2,152.124,83.363,266.1,235.49,1.672,0.916,2.588
2006,4,logged,valley,2,A,X,1.1,97.5,0,88.636,0,97.5,88.64,0.974,0,0.974
2006,4,logged,valley,2,B,C,1.08,83.7,1.908,77.5,1.767,85.61,79.27,0.852,0.019,0.871
2006,4,logged,valley,2,B,D,1.09,86.1,398.4,78.991,365.505,484.5,444.5,0.868,4.017,4.885
2006,4,logged,valley,2,B,X,1.09,92.1,0,84.495,0,92.1,84.5,0.929,0,0.929
2006,4,hemlock control,valley,3,A,C,1.13,105.9,2.076,93.717,1.837,107.98,95.55,1.03,0.02,1.05
2006,4,hemlock control,valley,3,A,D,1.07,117.3,20.64,109.626,19.29,137.94,128.92,1.205,0.212,1.417
2006,4,hemlock control,valley,3,A,X,1.1,83.1,0,75.545,0,83.1,75.55,0.83,0,0.83
2006,4,hemlock control,valley,3,B,C,1.12,85.5,1.65,76.339,1.473,87.15,77.81,0.839,0.016,0.855
2006,4,hemlock control,valley,3,B,D,1.12,93.9,0,83.839,0,93.9,83.84,0.921,0,0.921
2006,4,hemlock control,valley,3,B,X,1.13,81.3,0,71.947,0,81.3,71.95,0.791,0,0.791
2006,4,logged,ridge,4,A,C,1.11,84.9,0.996,76.486,0.897,85.9,77.38,0.841,0.01,0.85
2006,4,logged,ridge,4,A,D,1.12,84.3,600,75.268,535.714,684.3,610.98,0.827,5.887,6.714
2006,4,logged,ridge,4,A,X,1.11,708.3,306,638.108,275.676,1014.3,913.78,7.012,3.029,10.042
2006,4,logged,ridge,4,B,C,1.13,99.9,0.906,88.407,0.802,100.81,89.21,0.972,0.009,0.98
2006,4,logged,ridge,4,B,D,1.1,99.3,0,90.273,0,99.3,90.27,0.992,0,0.992
2006,4,logged,ridge,4,B,X,1.08,86.7,3.192,80.278,2.956,89.89,83.23,0.882,0.032,0.915
2006,4,girdled,ridge,5,A,C,1.11,83.7,0,75.405,0,83.7,75.41,0.829,0,0.829
2006,4,girdled,ridge,5,A,D,1.12,83.1,0,74.196,0,83.1,74.2,0.815,0,0.815
2006,4,girdled,ridge,5,A,X,1.11,93.3,1.314,84.054,1.184,94.61,85.24,0.924,0.013,0.937
2006,4,girdled,ridge,5,B,C,1,85.5,0,85.5,0,85.5,85.5,0.94,0,0.94
2006,4,girdled,ridge,5,B,D,1.15,80.1,0.129,69.652,0.112,80.229,69.764,0.774,0.001,0.891
2006,4,girdled,ridge,5,B,X,1.13,90.3,5.862,79.912,5.188,96.16,85.1,0.878,0.057,0.935
2006,4,hemlock control,ridge,6,A,C,1.07,79.5,2.406,74.299,2.249,81.91,76.55,0.816,0.025,0.841
2006,4,hemlock control,ridge,6,A,D,1.09,83.7,3.486,76.789,3.198,87.19,79.99,0.844,0.035,0.879
2006,4,hemlock control,ridge,6,A,X,1.1,75.9,0,69,0,75.9,69,0.758,0,0.758
2006,4,hemlock control,ridge,6,B,C,1.11,90.9,4.356,81.892,3.924,95.26,85.82,0.9,0.043,0.943
2006,4,hemlock control,ridge,6,B,D,1.09,78.3,0,71.835,0,78.3,71.83,0.789,0,0.789
2006,4,hemlock control,ridge,6,B,X,1.11,94.5,0,85.135,0,94.5,85.14,0.936,0,0.936
2006,4,hardwood control,ridge,7,A,C,1.13,92.7,0,82.035,0,92.7,82.04,0.901,0,0.901
2006,4,hardwood control,ridge,7,A,D,1.13,94.5,0,83.628,0,94.5,83.63,0.919,0,0.919
2006,4,hardwood control,ridge,7,A,X,1.14,97.5,0,85.526,0,97.5,85.53,0.94,0,0.94
2006,4,hardwood control,ridge,7,B,C,1.12,72.3,0,64.554,0,72.3,64.55,0.709,0,0.709
2006,4,hardwood control,ridge,7,B,D,1.1,86.1,0,78.273,0,86.1,78.27,0.86,0,0.86
2006,4,hardwood control,ridge,7,B,X,1.11,99.3,0,89.459,0,99.3,89.46,0.983,0,0.983
2006,4,hardwood control,valley,8,A,C,1.08,89.7,2.628,83.056,2.433,92.33,85.49,0.913,0.027,0.939
2006,4,hardwood control,valley,8,A,D,1.113,99.3,0.948,89.218,0.852,100.25,90.07,0.98,0.009,0.99
2006,4,hardwood control,valley,8,A,X,1.1,87.3,1.908,79.364,1.735,89.21,81.1,0.872,0.019,0.891
2006,4,hardwood control,valley,8,B,C,1.1,77.7,0,70.636,0,77.7,70.64,0.776,0,0.776
2006,4,hardwood control,valley,8,B,D,1.11,89.7,0,80.811,0,89.7,80.81,0.888,0,0.888
2006,4,hardwood control,valley,8,B,X,1.12,86.7,0,77.411,0,86.7,77.41,0.851,0,0.851
2007,1,girdled,valley,1,A,X,1.15,203.4,10.74,176.87,9.339,214.14,186.21,1.944,0.103,2.046
2007,1,girdled,valley,1,A,D,1.12,190.2,2.52,169.821,2.25,192.72,172.07,1.866,0.025,1.891
2007,1,girdled,valley,1,A,C,1.136,235.8,10.5,207.57,9.243,246.3,216.81,2.281,0.102,2.383
2007,1,girdled,valley,1,B,X,1.15,195,2.82,169.565,2.452,197.82,172.02,1.863,0.027,1.89
2007,1,girdled,valley,1,B,D,1.158,234.6,8.46,202.591,7.306,243.06,209.9,2.226,0.08,2.307
2007,1,girdled,valley,1,B,C,1.143,199.2,6.24,174.278,5.459,205.44,179.74,1.915,0.06,1.975
2007,1,logged,valley,2,A,X,1.131,214.2,7.2,189.39,6.366,221.4,195.76,2.081,0.07,2.151
2007,1,logged,valley,2,A,D,1.177,228,53.64,193.713,45.573,281.64,239.29,2.129,0.501,2.63
2007,1,logged,valley,2,A,C,1.192,208.2,7.8,174.664,6.544,216,181.21,1.919,0.072,1.991
2007,1,logged,valley,2,B,X,1.17,203.4,2.46,173.846,2.103,205.86,175.95,1.91,0.023,1.934
2007,1,logged,valley,2,B,D,1.151,196.2,86.4,170.46,75.065,282.6,245.53,1.873,0.825,2.698
2007,1,logged,valley,2,B,C,1.139,194.4,3.36,170.676,2.95,197.76,173.63,1.876,0.032,1.908
2007,1,hemlock control,valley,3,A,X,1.159,201.6,52.08,173.943,44.935,253.68,218.88,1.911,0.494,2.405
2007,1,hemlock control,valley,3,A,D,1.129,228.6,15.96,202.48,14.136,244.56,216.62,2.225,0.155,2.38
2007,1,hemlock control,valley,3,A,C,1.125,774,26.34,688,23.413,800.34,711.41,7.56,0.257,7.818
2007,1,hemlock control,valley,3,B,X,1.178,214.2,3.72,181.834,3.158,217.92,184.99,1.998,0.035,2.033
2007,1,hemlock control,valley,3,B,D,1.187,268.2,25.74,225.948,21.685,293.94,247.63,2.483,0.238,2.721
2007,1,hemlock control,valley,3,B,C,1.147,233.4,9.18,203.487,8.003,242.58,211.49,2.236,0.088,2.324
2007,1,logged,ridge,4,A,X,1.142,519,78,454.466,68.301,597,522.77,4.994,0.751,5.745
2007,1,logged,ridge,4,A,D,1.183,224.4,74.4,189.687,62.891,298.8,252.58,2.084,0.691,2.776
2007,1,logged,ridge,4,A,C,1.153,237,39.06,205.551,33.877,276.06,239.43,2.259,0.372,2.631
2007,1,logged,ridge,4,B,X,1.145,199.2,4.92,173.974,4.297,204.12,178.27,1.912,0.047,1.959
2007,1,logged,ridge,4,B,D,1.178,214.8,2.94,182.343,2.496,217.74,184.84,2.004,0.027,2.031
2007,1,logged,ridge,4,B,C,1.156,248.4,4.98,214.879,4.308,253.38,219.19,2.361,0.047,2.409
2007,1,girdled,ridge,5,A,X,1.188,202.8,9.36,170.707,7.879,212.16,178.59,1.876,0.087,1.962
2007,1,girdled,ridge,5,A,D,1.174,191.4,1.92,163.032,1.635,193.32,164.67,1.792,0.018,1.81
2007,1,girdled,ridge,5,A,C,1.165,192,2.16,164.807,1.854,194.16,166.66,1.811,0.02,1.831
2007,1,girdled,ridge,5,B,X,1.122,198.6,8.52,177.005,7.594,207.12,184.6,1.945,0.083,2.029
2007,1,girdled,ridge,5,B,D,1.153,192.6,12.78,167.042,11.084,205.38,178.13,1.836,0.122,1.957
2007,1,girdled,ridge,5,B,C,1.168,213,15.12,182.363,12.945,228.12,195.31,2.004,0.142,2.146
2007,1,hemlock control,ridge,6,A,X,1.13,197.4,6.24,174.69,5.522,203.64,180.21,1.92,0.061,1.98
2007,1,hemlock control,ridge,6,A,D,1.139,187.2,2.7,164.355,2.371,189.9,166.73,1.806,0.026,1.832
2007,1,hemlock control,ridge,6,A,C,1.184,189,2.1,159.628,1.774,191.1,161.4,1.754,0.019,1.774
2007,1,hemlock control,ridge,6,B,X,1.192,198,2.58,166.107,2.164,200.58,168.27,1.825,0.024,1.849
2007,1,hemlock control,ridge,6,B,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,hemlock control,ridge,6,B,C,1.205,930,17.64,771.784,14.639,947.64,786.42,8.481,0.161,8.642
2007,1,hardwood control,ridge,7,A,X,1.159,205.2,15.6,177.049,13.46,220.8,190.51,1.946,0.148,2.094
2007,1,hardwood control,ridge,7,A,D,1.179,182.4,4.92,154.707,4.173,187.32,158.88,1.7,0.046,1.746
2007,1,hardwood control,ridge,7,A,C,1.14,183.6,2.46,161.053,2.158,186.06,163.21,1.77,0.024,1.794
2007,1,hardwood control,ridge,7,B,X,1.137,181.8,14.7,159.894,12.929,196.5,172.82,1.757,0.142,1.899
2007,1,hardwood control,ridge,7,B,D,1.148,216.6,22.2,188.676,19.338,238.8,208.01,2.073,0.213,2.286
2007,1,hardwood control,ridge,7,B,C,1.191,207.6,24.36,174.307,20.453,231.96,194.76,1.915,0.225,2.14
2007,1,hardwood control,valley,8,A,X,1.17,206.4,10.56,176.41,9.026,216.96,185.44,1.939,0.099,2.038
2007,1,hardwood control,valley,8,A,D,1.203,196.8,0.78,163.591,0.648,197.58,164.24,1.798,0.007,1.805
2007,1,hardwood control,valley,8,A,C,1.159,197.4,21.96,170.319,18.947,219.36,189.27,1.872,0.208,2.08
2007,1,hardwood control,valley,8,B,X,1.157,181.8,1.74,157.131,1.504,183.54,158.63,1.727,0.017,1.743
2007,1,hardwood control,valley,8,B,D,1.151,189,2.4,164.205,2.085,191.4,166.29,1.804,0.023,1.827
2007,1,hardwood control,valley,8,B,C,1.12,183,2.52,163.393,2.25,185.52,165.64,1.796,0.025,1.82
2007,2,girdled,valley,1,A,X,1.21,309,32.88,255.372,27.174,341.88,282.545,2.806,0.299,3.105
2007,2,girdled,valley,1,A,D,1.171,199.2,1.95,170.111,1.665,201.15,171.776,1.869,0.018,1.888
2007,2,girdled,valley,1,A,C,1.154,246.6,11.88,213.692,10.295,258.48,223.986,2.348,0.113,2.461
2007,2,girdled,valley,1,B,X,1.147,185.4,1.512,161.639,1.318,186.912,162.957,1.776,0.014,1.791
2007,2,girdled,valley,1,B,D,1.178,389.4,53.7,330.56,45.586,443.1,376.146,3.633,0.501,4.133
2007,2,girdled,valley,1,B,C,0.937,199.8,2.418,213.234,2.581,202.218,215.814,2.343,0.028,2.372
2007,2,logged,valley,2,A,X,1.162,216,4.164,185.886,3.583,220.164,189.47,2.043,0.039,2.082
2007,2,logged,valley,2,A,D,1.171,249.6,37.02,213.151,31.614,286.62,244.765,2.342,0.347,2.69
2007,2,logged,valley,2,A,C,1.176,202.2,1.23,171.939,1.046,203.43,172.985,1.889,0.011,1.901
2007,2,logged,valley,2,B,X,1.159,190.8,1.86,164.625,1.605,192.66,166.23,1.809,0.018,1.827
2007,2,logged,valley,2,B,D,1.172,195,2.31,166.382,1.971,197.31,168.353,1.828,0.022,1.85
2007,2,logged,valley,2,B,C,1.182,238.8,5.376,202.03,4.548,244.176,206.579,2.22,0.05,2.27
2007,2,hemlock control,valley,3,A,X,1.182,257.4,25.38,217.766,21.472,282.78,239.239,2.393,0.236,2.629
2007,2,hemlock control,valley,3,A,D,1.146,213.6,2.418,186.387,2.11,216.018,188.497,2.048,0.023,2.071
2007,2,hemlock control,valley,3,A,C,1.192,195.6,3.018,164.094,2.532,198.618,166.626,1.803,0.028,1.831
2007,2,hemlock control,valley,3,B,X,1.165,190.8,1.428,163.777,1.226,192.228,165.003,1.8,0.013,1.813
2007,2,hemlock control,valley,3,B,D,1.208,428.4,32.34,354.636,26.772,460.74,381.407,3.897,0.294,4.191
2007,2,hemlock control,valley,3,B,C,1.193,207,5.43,173.512,4.552,212.43,178.064,1.907,0.05,1.957
2007,2,logged,ridge,4,A,X,1.18,549,61.2,465.254,51.864,610.2,517.119,5.113,0.57,5.683
2007,2,logged,ridge,4,A,D,1.168,238.8,44.82,204.452,38.373,283.62,242.825,2.247,0.422,2.668
2007,2,logged,ridge,4,A,C,1.187,247.8,9.72,208.762,8.189,257.52,216.95,2.294,0.09,2.384
2007,2,logged,ridge,4,B,X,1.214,425.4,6.54,350.412,5.387,431.94,355.799,3.851,0.059,3.91
2007,2,logged,ridge,4,B,D,1.184,195,0.684,164.696,0.578,195.684,165.274,1.81,0.006,1.816
2007,2,logged,ridge,4,B,C,1.198,202.8,0.978,169.282,0.816,203.778,170.098,1.86,0.009,1.869
2007,2,girdled,ridge,5,A,X,1.221,255.6,8.58,209.337,7.027,264.18,216.364,2.3,0.077,2.378
2007,2,girdled,ridge,5,A,D,1.254,229.2,1.932,182.775,1.541,231.132,184.316,2.009,0.017,2.025
2007,2,girdled,ridge,5,A,C,1.165,176.4,1.056,151.416,0.906,177.456,152.323,1.664,0.01,1.674
2007,2,girdled,ridge,5,B,X,1.195,184.8,0.086,154.644,0.072,184.886,154.717,1.699,0.001,1.7
2007,2,girdled,ridge,5,B,D,1.168,179.4,2.862,153.596,2.45,182.262,156.046,1.688,0.027,1.715
2007,2,girdled,ridge,5,B,C,1.176,192,3.756,163.265,3.194,195.756,166.459,1.794,0.035,1.829
2007,2,hemlock control,ridge,6,A,X,1.173,183.6,10.38,156.522,8.849,193.98,165.371,1.72,0.097,1.817
2007,2,hemlock control,ridge,6,A,D,1.161,196.2,2.058,168.992,1.773,198.258,170.765,1.857,0.019,1.877
2007,2,hemlock control,ridge,6,A,C,1.195,181.2,0.546,151.632,0.457,181.746,152.089,1.666,0.005,1.671
2007,2,hemlock control,ridge,6,B,X,1.189,196.8,15.6,165.517,13.12,212.4,178.638,1.819,0.144,1.963
2007,2,hemlock control,ridge,6,B,D,1.194,188.4,7.08,157.789,5.93,195.48,163.719,1.734,0.065,1.799
2007,2,hemlock control,ridge,6,B,C,1.179,307.2,15.84,260.56,13.435,323.04,273.995,2.863,0.148,3.011
2007,2,hardwood control,ridge,7,A,X,1.169,312.6,37.14,267.408,31.771,349.74,299.179,2.939,0.349,3.288
2007,2,hardwood control,ridge,7,A,D,1.229,185.4,3.864,150.854,3.144,189.264,153.998,1.658,0.035,1.692
2007,2,hardwood control,ridge,7,A,C,1.184,180.6,3.228,152.534,2.726,183.828,155.26,1.676,0.03,1.706
2007,2,hardwood control,ridge,7,B,X,1.202,181.2,6.96,150.749,5.79,188.16,156.539,1.657,0.064,1.72
2007,2,hardwood control,ridge,7,B,D,1.217,175.2,2.76,143.961,2.268,177.96,146.228,1.582,0.025,1.607
2007,2,hardwood control,ridge,7,B,C,1.176,191.4,4.434,162.755,3.77,195.834,166.526,1.789,0.041,1.83
2007,2,hardwood control,valley,8,A,X,1.136,189.6,5.298,166.901,4.664,194.898,171.565,1.834,0.051,1.885
2007,2,hardwood control,valley,8,A,D,1.217,195,2.514,160.23,2.066,197.514,162.296,1.761,0.023,1.783
2007,2,hardwood control,valley,8,A,C,1.202,221.4,20.4,184.193,16.972,241.8,201.165,2.024,0.187,2.211
2007,2,hardwood control,valley,8,B,X,1.187,178.2,0.702,150.126,0.591,178.902,150.718,1.65,0.006,1.656
2007,2,hardwood control,valley,8,B,D,1.18,226.8,10.38,192.203,8.797,237.18,201,2.112,0.097,2.209
2007,2,hardwood control,valley,8,B,C,1.185,187.2,0.606,157.975,0.511,187.806,158.486,1.736,0.006,1.742
2007,3,girdled,valley,1,A,X,1.13,225.6,34.5,199.646,30.531,260.1,230.177,2.194,0.336,2.529
2007,3,girdled,valley,1,A,D,1.1,185.4,13.14,168.545,11.945,198.54,180.491,1.852,0.131,1.983
2007,3,girdled,valley,1,A,C,1.14,160.2,29.04,140.526,25.474,189.24,166,1.544,0.28,1.824
2007,3,girdled,valley,1,B,X,1.1,102,1.74,92.727,1.582,103.74,94.309,1.019,0.017,1.036
2007,3,girdled,valley,1,B,D,1.1,110.4,12.66,100.364,11.509,123.06,111.873,1.103,0.126,1.229
2007,3,girdled,valley,1,B,C,1.12,109.2,2.34,97.5,2.089,111.54,99.589,1.071,0.023,1.094
2007,3,logged,valley,2,A,X,1.1,171,10.02,155.455,9.109,181.02,164.564,1.708,0.1,1.808
2007,3,logged,valley,2,A,D,1.12,157.2,66,140.357,58.929,223.2,199.286,1.542,0.648,2.19
2007,3,logged,valley,2,A,C,1.15,115.2,3.78,100.174,3.287,118.98,103.461,1.101,0.036,1.137
2007,3,logged,valley,2,B,X,1.1,99,3.3,90,3,102.3,93,0.989,0.033,1.022
2007,3,logged,valley,2,B,D,1.11,109.8,12.84,98.919,11.568,122.64,110.486,1.087,0.127,1.214
2007,3,logged,valley,2,B,C,1.11,87.6,4.38,78.919,3.946,91.98,82.865,0.867,0.043,0.911
2007,3,hemlock control,valley,3,A,X,1.14,98.4,6.84,86.316,6,105.24,92.316,0.949,0.066,1.014
2007,3,hemlock control,valley,3,A,D,1.09,110.4,5.58,101.284,5.119,115.98,106.404,1.113,0.056,1.169
2007,3,hemlock control,valley,3,A,C,1.12,111,10.26,99.107,9.161,121.26,108.268,1.089,0.101,1.19
2007,3,hemlock control,valley,3,B,X,1.12,95.4,6.54,85.179,5.839,101.94,91.018,0.936,0.064,1
2007,3,hemlock control,valley,3,B,D,1.11,132,11.46,118.919,10.324,143.46,129.243,1.307,0.113,1.42
2007,3,hemlock control,valley,3,B,C,1.09,114.6,8.82,105.138,8.092,123.42,113.229,1.155,0.089,1.244
2007,3,logged,ridge,4,A,X,1.1,317.4,408.6,288.545,371.455,726,660,3.171,4.082,7.253
2007,3,logged,ridge,4,A,D,1.11,116.4,382.8,104.865,344.865,499.2,449.73,1.152,3.79,4.942
2007,3,logged,ridge,4,A,C,1.11,282.6,55.2,254.595,49.73,337.8,304.324,2.798,0.546,3.344
2007,3,logged,ridge,4,B,X,1.13,237,12.12,209.735,10.726,249.12,220.46,2.305,0.118,2.423
2007,3,logged,ridge,4,B,D,1.13,142.8,5.22,126.372,4.619,148.02,130.991,1.389,0.051,1.439
2007,3,logged,ridge,4,B,C,1.14,154.8,9.18,135.789,8.053,163.98,143.842,1.492,0.088,1.581
2007,3,girdled,ridge,5,A,X,1.1,122.4,10.2,111.273,9.273,132.6,120.545,1.223,0.102,1.325
2007,3,girdled,ridge,5,A,D,1.11,113.4,8.82,102.162,7.946,122.22,110.108,1.123,0.087,1.21
2007,3,girdled,ridge,5,A,C,1.1,118.8,6.12,108,5.564,124.92,113.564,1.187,0.061,1.248
2007,3,girdled,ridge,5,B,X,1.1,201.6,30,183.273,27.273,231.6,210.545,2.014,0.3,2.314
2007,3,girdled,ridge,5,B,D,1.09,103.2,16.92,94.679,15.523,120.12,110.202,1.04,0.171,1.211
2007,3,girdled,ridge,5,B,C,1.14,111,8.88,97.368,7.789,119.88,105.158,1.07,0.086,1.156
2007,3,hemlock control,ridge,6,A,X,1.11,130.2,49.86,117.297,44.919,180.06,162.216,1.289,0.494,1.783
2007,3,hemlock control,ridge,6,A,D,1.09,108,6.84,99.083,6.275,114.84,105.358,1.089,0.069,1.158
2007,3,hemlock control,ridge,6,A,C,1.13,128.4,12.48,113.628,11.044,140.88,124.673,1.249,0.121,1.37
2007,3,hemlock control,ridge,6,B,X,1.11,153.6,17.7,138.378,15.946,171.3,154.324,1.521,0.175,1.696
2007,3,hemlock control,ridge,6,B,D,1.12,143.4,22.98,128.036,20.518,166.38,148.554,1.407,0.225,1.632
2007,3,hemlock control,ridge,6,B,C,1.12,210,43.56,187.5,38.893,253.56,226.393,2.06,0.427,2.488
2007,3,hardwood control,ridge,7,A,X,1.11,99,32.4,89.189,29.189,131.4,118.378,0.98,0.321,1.301
2007,3,hardwood control,ridge,7,A,D,1.08,46.56,8.52,43.111,7.889,55.08,51,0.474,0.087,0.56
2007,3,hardwood control,ridge,7,A,C,1.14,73.8,25.26,64.737,22.158,99.06,86.895,0.711,0.243,0.955
2007,3,hardwood control,ridge,7,B,X,1.12,56.88,5.88,50.786,5.25,62.76,56.036,0.558,0.058,0.616
2007,3,hardwood control,ridge,7,B,D,1.09,63.6,17.04,58.349,15.633,80.64,73.982,0.641,0.172,0.813
2007,3,hardwood control,ridge,7,B,C,1.12,48.72,8.4,43.5,7.5,57.12,51,0.478,0.082,0.56
2007,3,hardwood control,valley,8,A,X,1.12,68.4,15.48,61.071,13.821,83.88,74.893,0.671,0.152,0.823
2007,3,hardwood control,valley,8,A,D,1.09,73.8,16.32,67.706,14.972,90.12,82.679,0.744,0.165,0.909
2007,3,hardwood control,valley,8,A,C,1.09,120.6,43.14,110.642,39.578,163.74,150.22,1.216,0.435,1.651
2007,3,hardwood control,valley,8,B,X,1.12,55.32,11.88,49.393,10.607,67.2,60,0.543,0.117,0.659
2007,3,hardwood control,valley,8,B,D,1.12,59.76,9.6,53.357,8.571,69.36,61.929,0.586,0.094,0.681
