date,treatment,block,plot,subplot,subplot.t,vial.num,subfamily,genus,species,spec.code,count
2006-10-08,girdle,Valley,1,A,control,9637,Formicinae,Camponotus,pennsylvanicus,campen,1
2006-10-08,girdle,Valley,1,B,control,9640,Formicinae,Camponotus,pennsylvanicus,campen,1
2006-10-08,log,Valley,2,A,disturbance,9641,Formicinae,Formica,subsericea,forsub3,1
2006-10-08,log,Valley,2,B,disturbance,9642,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-10-08,log,Ridge,4,A,disturbance,9671,Formicinae,Camponotus,herculeanus,camher,1
2006-10-08,log,Ridge,4,B,control,9669,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-10-08,girdle,Ridge,5,A,control,9660,Formicinae,Camponotus,pennsylvanicus,campen,2
2006-10-08,girdle,Ridge,5,A,control,9663,Myrmicinae,Stenamma,schmittii,stesch,1
2006-10-08,girdle,Ridge,5,A,control,9661,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-10-08,girdle,Ridge,5,B,disturbance,9658,Formicinae,Camponotus,pennsylvanicus,campen,2
2006-10-08,hemlock control,Ridge,6,A,exclosure,9657,Myrmicinae,Stenamma,impar,steimp,1
2006-10-08,hardwood control,Ridge,7,A,control,9651,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-10-08,hardwood control,Valley,8,B,control,9648,Formicinae,Camponotus,pennsylvanicus,campen,1
2007-06-07,girdle,Valley,1,B,exclosure,1,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,log,Valley,2,A,disturbance,3,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-06-07,log,Valley,2,A,disturbance,4,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,log,Valley,2,B,exclosure,2,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Valley,3,A,disturbance,7,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Valley,3,A,control,6,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Valley,3,A,control,10,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-06-07,log,Ridge,4,A,control,16,Myrmicinae,Stenamma,impar,steimp,NA
2007-06-07,log,Ridge,4,B,exclosure,12,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,girdle,Ridge,5,A,disturbance,19,Myrmicinae,Stenamma,impar,steimp,NA
2007-06-07,girdle,Ridge,5,A,disturbance,18,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,girdle,Ridge,5,A,exclosure,22,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-06-07,girdle,Ridge,5,B,disturbance,20,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Ridge,6,A,exclosure,30,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Ridge,6,B,control,24,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hemlock control,Ridge,6,B,disturbance,25,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-06-07,hardwood control,Ridge,7,B,disturbance,37,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Ridge,7,B,control,32,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Ridge,7,B,disturbance,39,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Ridge,7,B,disturbance,38,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Ridge,7,B,control,33,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,control,19,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,control,20,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,exclosure,51,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,control,58,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,exclosure,50,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,exclosure,42,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,A,exclosure,52,Formicinae,Lasius,alienus,lasali,NA
2007-06-07,hardwood control,Valley,8,A,exclosure,49,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,B,control,53,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,B,control,45,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,B,exclosure,44,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-06-07,hardwood control,Valley,8,B,control,47,Myrmicinae,Myrmica,punctiventris,myrpun,NA
2007-08-02,girdle,Valley,1,A,disturbance,134,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,A,disturbance,133,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,A,control,120,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,B,control,127,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,B,disturbance,3,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,girdle,Valley,1,B,control,124,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,B,control,128,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,B,control,126,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Valley,1,B,control,125,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,control,9,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,control,33,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,disturbance,15,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,control,32,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,disturbance,8,Formicinae,Camponotus,novaeboracensis,camnov,NA
2007-08-02,log,Valley,2,A,control,34,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,disturbance,7,Myrmicinae,Myrmica,detritinodis,myrdet,NA
2007-08-02,log,Valley,2,A,control,35,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,disturbance,6,Formicinae,Formica,neorufibarbis,forneo2,NA
2007-08-02,log,Valley,2,A,control,11,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,A,control,10,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,B,disturbance,13,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,log,Valley,2,B,disturbance,29,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Valley,2,B,disturbance,22,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,21,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,30,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Valley,2,B,disturbance,23,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,19,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,26,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,24,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,18,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,16,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,28,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,27,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,25,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,20,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,14,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,log,Valley,2,B,disturbance,17,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,hemlock control,Valley,3,B,exclosure,117,Formicinae,Lasius,alienus,lasali,NA
2007-08-02,hemlock control,Valley,3,B,exclosure,116,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hemlock control,Valley,3,B,control,113,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hemlock control,Valley,3,B,exclosure,115,Formicinae,Lasius,alienus,lasali,NA
2007-08-02,log,Ridge,4,A,control,42,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,A,control,43,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,A,control,37,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,A,control,36,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,B,disturbance,41,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,B,disturbance,38,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,B,exclosure,44,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,log,Ridge,4,B,disturbance,39,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Ridge,5,A,control,50,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,girdle,Ridge,5,A,disturbance,47,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Ridge,5,A,disturbance,49,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,girdle,Ridge,5,A,control,51,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Ridge,5,A,disturbance,48,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Ridge,5,B,disturbance,58,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,girdle,Ridge,5,B,disturbance,57,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,girdle,Ridge,5,B,disturbance,56,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,girdle,Ridge,5,B,exclosure,60,Myrmicinae,Temnothorax,longispinosus,temlon,NA
2007-08-02,hemlock control,Ridge,6,A,control,61,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hemlock control,Ridge,6,B,disturbance,69,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,hemlock control,Ridge,6,B,disturbance,75,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,hemlock control,Ridge,6,B,disturbance,67,Myrmicinae,Stenamma,impar,steimp,NA
2007-08-02,hemlock control,Ridge,6,B,exclosure,73,Myrmicinae,Stenamma,schmittii,stesch,NA
2007-08-02,hemlock control,Ridge,6,B,disturbance,68,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hemlock control,Ridge,6,B,disturbance,74,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,hardwood control,Ridge,7,A,control,86,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Ridge,7,B,control,89,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Ridge,7,B,exclosure,85,Myrmicinae,Myrmica,punctiventris,myrpun,NA
2007-08-02,hardwood control,Ridge,7,B,control,87,Formicinae,Camponotus,pennsylvanicus,campen,NA
2007-08-02,hardwood control,Valley,8,A,control,101,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Valley,8,A,disturbance,107,Myrmicinae,Myrmica,punctiventris,myrpun,NA
2007-08-02,hardwood control,Valley,8,A,disturbance,108,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,hardwood control,Valley,8,A,disturbance,106,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Valley,8,B,control,93,Formicinae,Formica,subsericea,forsub3,NA
2007-08-02,hardwood control,Valley,8,B,disturbance,103,Formicinae,Formica,neorufibarbis,forneo2,NA
2007-08-02,hardwood control,Valley,8,B,exclosure,90,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Valley,8,B,disturbance,102,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Valley,8,B,disturbance,95,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2007-08-02,hardwood control,Valley,8,B,disturbance,96,Myrmicinae,Myrmica,punctiventris,myrpun,NA
2007-08-02,hardwood control,Valley,8,B,control,94,Myrmicinae,Aphaenogaster,picea,aphpic,NA
2008-06-11,girdle,Valley,1,A,control,101,Formicinae,Lasius,alienus,lasali,1
2008-06-11,girdle,Valley,1,A,control,101,Formicinae,Camponotus,pennsylvanicus,campen,3
2008-06-11,girdle,Valley,1,A,disturbance,102,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-06-11,girdle,Valley,1,B,control,103,Formicinae,Lasius,alienus,lasali,1
2008-06-11,girdle,Valley,1,B,disturbance,104,Formicinae,Lasius,alienus,lasali,1
2008-06-11,girdle,Valley,1,B,disturbance,104,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,girdle,Valley,1,B,control,103,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,log,Valley,2,A,control,105,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,log,Valley,2,A,disturbance,106,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,log,Valley,2,A,control,105,Formicinae,Camponotus,pennsylvanicus,campen,5
2008-06-11,log,Valley,2,A,control,105,Formicinae,Camponotus,novaeboracensis,camnov,1
2008-06-11,log,Valley,2,A,disturbance,106,Formicinae,Camponotus,pennsylvanicus,campen,4
2008-06-11,log,Valley,2,A,disturbance,106,Formicinae,Camponotus,novaeboracensis,camnov,1
2008-06-11,log,Valley,2,A,disturbance,106,Myrmicinae,Aphaenogaster,picea,aphpic,3
2008-06-11,log,Valley,2,B,control,108,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,log,Valley,2,B,control,108,Formicinae,Camponotus,novaeboracensis,camnov,1
2008-06-11,log,Valley,2,B,control,108,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,log,Valley,2,B,disturbance,107,Dolichoderniae,Tapinoma,sessile,tapses,1
2008-06-11,log,Valley,2,B,disturbance,107,Formicinae,Formica,neogagates,forneo1,3
2008-06-11,log,Valley,2,B,disturbance,107,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,log,Valley,2,B,disturbance,107,Myrmicinae,Aphaenogaster,picea,aphpic,3
2008-06-11,log,Valley,2,B,control,108,Myrmicinae,Temnothorax,longispinosus,temlon,1
2008-06-11,log,Valley,2,B,control,108,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,hemlock control,Valley,3,A,disturbance,109,Formicinae,Camponotus,pennsylvanicus,campen,3
2008-06-11,hemlock control,Valley,3,B,exclosure,112,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,hemlock control,Valley,3,B,control,111,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,log,Ridge,4,A,exclosure,113,Myrmicinae,Aphaenogaster,picea,aphpic,3
2008-06-11,log,Ridge,4,A,disturbance,114,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,log,Ridge,4,A,control,110,Myrmicinae,Aphaenogaster,picea,aphpic,4
2008-06-11,log,Ridge,4,A,disturbance,114,Myrmicinae,Aphaenogaster,picea,aphpic,9
2008-06-11,log,Ridge,4,A,control,110,Formicinae,Camponotus,pennsylvanicus,campen,4
2008-06-11,log,Ridge,4,A,control,110,Formicinae,Camponotus,novaeboracensis,camnov,1
2008-06-11,log,Ridge,4,A,control,110,Formicinae,Lasius,alienus,lasali,2
2008-06-11,log,Ridge,4,B,control,116,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,log,Ridge,4,B,control,116,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,log,Ridge,4,B,exclosure,115,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,log,Ridge,4,B,exclosure,115,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,girdle,Ridge,5,A,disturbance,118,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-06-11,girdle,Ridge,5,A,disturbance,118,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,girdle,Ridge,5,B,exclosure,119,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,girdle,Ridge,5,B,disturbance,117,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,hemlock control,Ridge,6,A,disturbance,120,Formicinae,Lasius,alienus,lasali,1
2008-06-11,hemlock control,Ridge,6,A,disturbance,120,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,hemlock control,Ridge,6,A,control,121,Myrmicinae,Aphaenogaster,picea,aphpic,3
2008-06-11,hemlock control,Ridge,6,B,control,122,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,hemlock control,Ridge,6,B,disturbance,123,Formicinae,Camponotus,pennsylvanicus,campen,3
2008-06-11,hemlock control,Ridge,6,B,disturbance,123,Myrmicinae,Aphaenogaster,picea,aphpic,4
2008-06-11,hemlock control,Ridge,6,B,control,122,Myrmicinae,Aphaenogaster,picea,aphpic,12
2008-06-11,hardwood control,Ridge,7,A,control,124,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-06-11,hardwood control,Ridge,7,A,control,124,Formicinae,Lasius,umbratus,lasumb,14
2008-06-11,hardwood control,Ridge,7,A,disturbance,125,Myrmicinae,Aphaenogaster,picea,aphpic,5
2008-06-11,hardwood control,Ridge,7,A,control,124,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-06-11,hardwood control,Ridge,7,A,disturbance,125,Formicinae,Lasius,umbratus,lasumb,1
2008-06-11,hardwood control,Ridge,7,A,disturbance,125,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-06-11,hardwood control,Ridge,7,A,disturbance,125,Formicinae,Camponotus,novaeboracensis,camnov,1
2008-06-11,hardwood control,Ridge,7,A,disturbance,125,Formicinae,Formica,subsericea,forsub3,5
2008-06-11,hardwood control,Ridge,7,B,disturbance,127,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,hardwood control,Ridge,7,B,control,128,Formicinae,Formica,subsericea,forsub3,1
2008-06-11,hardwood control,Ridge,7,B,control,128,Formicinae,Camponotus,pennsylvanicus,campen,6
2008-06-11,hardwood control,Ridge,7,B,exclosure,126,Myrmicinae,Myrmica,punctiventris,myrpun,4
2008-06-11,hardwood control,Ridge,7,B,disturbance,127,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-06-11,hardwood control,Valley,8,A,disturbance,130,Formicinae,Formica,subsericea,forsub3,2
2008-06-11,hardwood control,Valley,8,A,disturbance,130,Formicinae,Formica,aserva,forase,4
2008-06-11,hardwood control,Valley,8,A,exclosure,131,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-06-11,hardwood control,Valley,8,B,exclosure,129,Formicinae,Lasius,umbratus,lasumb,1
2008-06-11,hardwood control,Valley,8,B,control,132,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-06-11,hardwood control,Valley,8,B,exclosure,129,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Valley,1,B,control,198,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,log,Valley,2,A,disturbance,1100,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-07-11,log,Valley,2,A,disturbance,1100,Formicinae,Formica,subsericea,forsub3,1
2008-07-11,log,Valley,2,A,disturbance,1100,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,log,Valley,2,A,exclosure,199,Dolichoderniae,Tapinoma,sessile,tapses,1
2008-07-11,log,Valley,2,A,control,1101,Formicinae,Formica,subsericea,forsub3,2
2008-07-11,log,Valley,2,B,disturbance,1103,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,log,Ridge,4,A,disturbance,194,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,log,Ridge,4,A,control,1116,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,log,Ridge,4,A,disturbance,194,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,log,Ridge,4,A,control,1116,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,log,Ridge,4,A,control,1128,Formicinae,Camponotus,pennsylvanicus,campen,2
2008-07-11,girdle,Ridge,5,A,disturbance,1123,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Ridge,5,A,disturbance,1121,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Ridge,5,B,control,1113,Formicinae,Lasius,alienus,lasali,1
2008-07-11,girdle,Ridge,5,B,exclosure,1114,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Ridge,5,B,disturbance,1112,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Ridge,5,B,disturbance,1110,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,girdle,Ridge,5,B,disturbance,1112,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,girdle,Ridge,5,B,control,1113,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,girdle,Ridge,5,B,exclosure,1125,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-07-11,hemlock control,Ridge,6,A,disturbance,1115,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hemlock control,Ridge,6,A,control,1117,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hemlock control,Ridge,6,A,control,1118,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hemlock control,Ridge,6,B,exclosure,1111,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hemlock control,Ridge,6,B,disturbance,1119,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hemlock control,Ridge,6,B,control,1120,Myrmicinae,Aphaenogaster,picea,aphpic,2
2008-07-11,hardwood control,Ridge,7,A,control,1129,Myrmicinae,Myrmica,punctiventris,myrpun,4
2008-07-11,hardwood control,Ridge,7,A,control,192,Formicinae,Formica,subsericea,forsub3,2
2008-07-11,hardwood control,Ridge,7,A,exclosure,1127,Myrmicinae,Myrmica,punctiventris,myrpun,1
2008-07-11,hardwood control,Ridge,7,A,exclosure,1124,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hardwood control,Ridge,7,B,exclosure,1126,Myrmicinae,Myrmica,punctiventris,myrpun,2
2008-07-11,hardwood control,Ridge,7,B,exclosure,193,Myrmicinae,Myrmica,punctiventris,myrpun,1
2008-07-11,hardwood control,Valley,8,A,disturbance,1108,Formicinae,Formica,aserva,forase,1
2008-07-11,hardwood control,Valley,8,A,control,1106,Formicinae,Formica,aserva,forase,1
2008-07-11,hardwood control,Valley,8,A,disturbance,1105,Myrmicinae,Myrmica,punctiventris,myrpun,1
2008-07-11,hardwood control,Valley,8,A,control,1106,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hardwood control,Valley,8,B,disturbance,1104,Myrmicinae,Aphaenogaster,picea,aphpic,1
2008-07-11,hardwood control,Valley,8,B,control,196,Myrmicinae,Myrmica,punctiventris,myrpun,1
2008-07-11,hardwood control,Valley,8,B,disturbance,197,Formicinae,Camponotus,pennsylvanicus,campen,1
2008-07-11,hardwood control,Valley,8,B,control,196,Formicinae,Camponotus,pennsylvanicus,campen,1
