date,cham,subs,treat,warming,method,id,genus,species,n
2009-07-14,15,D,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,1,B,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,1,B,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,2,B,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,2,B,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,2,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,3,C,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-10-23,3,C,pre-treat,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2009-10-23,4,C,pre-treat,NA,Pitfall,IN,Coras,NA,1
2009-10-23,5,A,pre-treat,NA,Pitfall,IN,Callobius,Callobius.bennetti,1
2009-10-23,5,B,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,5,C,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-10-23,5,D,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.calcaratus,1
2009-10-23,5,D,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.hybridus,1
2009-10-23,6,B,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,6,B,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.hybridus,1
2009-10-23,7,A,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,7,B,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,7,C,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2009-10-23,8,D,pre-treat,NA,Pitfall,IN,Neoantistea,Neoantistea.magna,1
2009-10-23,9,C,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.hybridus,1
2009-10-23,9,C,pre-treat,NA,Pitfall,IN,Centromerus,Centromerus.cornupalpis,0
2009-10-23,9,D,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,9,D,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-10-23,10,A,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,10,A,pre-treat,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2009-10-23,10,A,pre-treat,NA,Pitfall,IN,Strotarchus,NA,1
2009-10-23,10,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,10,C,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,10,C,pre-treat,NA,Pitfall,IN,Xysticus,NA,1
2009-10-23,10,D,pre-treat,NA,Pitfall,IN,Coras,NA,1
2009-10-23,11,A,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,11,A,pre-treat,NA,Pitfall,IN,Centromerus,Centromerus.cornupalpis,1
2009-10-23,11,B,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,11,B,pre-treat,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,4
2009-10-23,12,C,pre-treat,NA,Pitfall,IN,Coras,NA,1
2009-10-23,12,C,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,12,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,13,C,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.hybridus,1
2009-10-23,13,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,14,D,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-10-23,15,A,pre-treat,NA,Pitfall,IN,Wadotes,NA,2
2009-10-23,15,B,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-10-23,15,C,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-11-12,1,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,1,NA,pre-treat,NA,Pitfall,IN,Centromerus,Centromerus.cornupalpis,1
2009-11-12,2,NA,pre-treat,NA,Pitfall,IN,Agelenopsis,Agelenopsis.kastoni,1
2009-11-12,2,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,2,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,3,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2009-11-12,3,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,4,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,4,NA,pre-treat,NA,Pitfall,IN,Wadotes,Wadotes.hybridus,1
2009-11-12,4,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2009-11-12,5,NA,pre-treat,NA,Pitfall,IN,Agelenopsis,Agelenopsis.kastoni,1
2009-11-12,5,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,5,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2009-11-12,6,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,6,NA,pre-treat,NA,Pitfall,IN,Agelenopsis,Agelenopsis.kastoni,1
2009-11-12,6,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,6,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,6,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2009-11-12,7,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,7,NA,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-11-12,7,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,7,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.brevis,1
2009-11-12,7,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,8,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,9,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,9,NA,pre-treat,NA,Pitfall,IN,Agelenopsis,Agelenopsis.kastoni,1
2009-11-12,9,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,5
2009-11-12,9,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,10,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.placida,1
2009-11-12,10,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,11,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,11,NA,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-11-12,11,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,11,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-11-12,12,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2009-11-12,12,NA,pre-treat,NA,Pitfall,IN,Cicurina,NA,3
2009-11-12,13,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,13,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,14,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,14,NA,pre-treat,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2009-11-12,14,NA,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2010-03-06,1,NA,heated,5.5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,1,NA,heated,5.5,Pitfall,IN,Cicurina,Cicurina.pallida,2
2010-03-06,1,NA,heated,5.5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,1,NA,heated,5.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.placida,4
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,NA,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.pallida,3
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,NA,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.placida,2
2010-03-06,3,A,heated,2,Pitfall,IN,Neoantistea,Neoantistea.magna,1
2010-03-06,3,NA,heated,2,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,3,NA,heated,2,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,3,NA,heated,2,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-03-06,3,NA,heated,2,Pitfall,IN,Cicurina,NA,1
2010-03-06,3,NA,heated,2,Pitfall,IN,Cicurina,Cicurina.pallida,2
2010-03-06,4,B,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,4,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,5,NA,heated,5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,5,NA,heated,5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,5,NA,heated,5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,5,NA,heated,5,Pitfall,IN,Macrargus,Macrargus.multesimus,1
2010-03-06,6,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2010-03-06,6,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,6,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,6,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,7,NA,heated,3,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,7,NA,heated,3,Pitfall,IN,Neoantistea,NA,1
2010-03-06,7,NA,heated,3,Pitfall,IN,Centromerus,Centromerus.cornupalpis,1
2010-03-06,7,NA,heated,3,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,2
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,Cicurina.pallida,2
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,Cicurina.brevis,3
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,NA,1
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,8,NA,heated,1.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,9,NA,heated,2.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,9,NA,heated,2.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,9,NA,heated,2.5,Pitfall,IN,Walckenaeria,Walckenaeria.communis,1
2010-03-06,9,NA,heated,2.5,Pitfall,IN,Neoantistea,NA,1
2010-03-06,9,NA,heated,2.5,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Centromerus,Centromerus.cornupalpis,2
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Pirata,NA,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.pallida,2
2010-03-06,10,NA,heated,4.5,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Neoantistea,NA,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,2
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.placida,2
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Liocranoeca,NA,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-03-06,11,NA,cham cont,NA,Pitfall,IN,Macrargus,Macrargus.multesimus,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.brevis,2
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.placida,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Cicurina,NA,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-03-06,12,NA,heated,3.5,Pitfall,IN,Neoantistea,NA,1
2010-03-06,13,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.pallida,2
2010-03-06,13,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-03-06,13,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,15,C,chamberless,NA,Pitfall,IN,Coras,NA,1
2010-03-06,15,NA,chamberless,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-03-06,15,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-03-06,15,NA,chamberless,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-03-06,15,NA,chamberless,NA,Pitfall,IN,Wadotes,NA,1
2010-04-07,1,NA,heated,5.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-04-07,1,NA,heated,5.5,Pitfall,IN,Tenuiphantes,Tenuiphantes.sabulosus,1
2010-04-07,2,NA,heated,4,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-04-07,3,NA,heated,2,Pitfall,IN,Cicurina,NA,1
2010-04-07,3,NA,heated,2,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,4,NA,cham cont,NA,Pitfall,IN,Pirata,NA,1
2010-04-07,4,NA,cham cont,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.sabulosus,1
2010-04-07,4,NA,cham cont,NA,Pitfall,IN,Xysticus,NA,1
2010-04-07,4,NA,cham cont,NA,Pitfall,IN,Phrurotimpus,NA,1
2010-04-07,4,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.brevis,1
2010-04-07,5,NA,heated,5,Pitfall,IN,Walckenaeria,Walckenaeria.communis,1
2010-04-07,5,NA,heated,5,Pitfall,IN,Callobius,Callobius.borealis,0
2010-04-07,5,NA,heated,5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-04-07,6,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,7,NA,heated,3,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-04-07,8,NA,heated,1.5,Pitfall,IN,Pirata,NA,1
2010-04-07,8,NA,heated,1.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-04-07,9,NA,heated,2.5,Pitfall,IN,Walckenaeria,Walckenaeria.minuta,1
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Callobius,Callobius.borealis,3
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Cicurina,Cicurina.robusta,2
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Cicurina,NA,1
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Neoantistea,Neoantistea.magna,1
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Neoantistea,Neoantistea.magna,1
2010-04-07,10,NA,heated,4.5,Pitfall,IN,Wadotes,NA,1
2010-04-07,11,NA,cham cont,NA,Pitfall,IN,Neoantistea,NA,1
2010-04-07,11,NA,cham cont,NA,Pitfall,IN,Gnathonaroides,Gnathonaroides.pedalis,1
2010-04-07,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,2
2010-04-07,11,NA,cham cont,NA,Pitfall,IN,Coras,NA,1
2010-04-07,11,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Callobius,NA,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Cicurina,NA,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Neoantistea,NA,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Pityohyphantes,Pityohyphantes.phrygianus,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Wadotes,NA,1
2010-04-07,12,NA,heated,3.5,Pitfall,IN,Cicurina,NA,1
2010-04-07,13,NA,chamberless,NA,Pitfall,IN,Centromerus,Centromerus.cornupalpis,1
2010-04-07,13,NA,chamberless,NA,Pitfall,IN,Neoantistea,NA,1
2010-04-07,13,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,13,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.pallida,1
2010-04-07,14,NA,chamberless,NA,Pitfall,IN,Phrurotimpus,NA,1
2010-04-07,15,NA,chamberless,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Phrurotimpus,Phrurotimpus.borealis,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Walckenaeria,Walckenaeria.communis,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,1,NA,heated,5.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,2,NA,heated,4,Pitfall,IN,Agrocea,Agrocea.ornata,2
2010-05-14,2,NA,heated,4,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,2,NA,heated,4,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,2,NA,heated,4,Pitfall,IN,Agrocea,Agrocea.ornata,4
2010-05-14,2,NA,heated,4,Pitfall,IN,Meioneta,Meioneta.sheffordiana,2
2010-05-14,3,NA,heated,2,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Centromerus,Centromerus.cornupalpis,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Meioneta,Meioneta.sheffordiana,3
2010-05-14,3,NA,heated,2,Pitfall,IN,Agrocea,Agrocea.ornata,3
2010-05-14,3,NA,heated,2,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Pirata,Pirata.zelotes,1
2010-05-14,3,NA,heated,2,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Phrurotimpus,Phrurotimpus.borealis,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Neoantistea,NA,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Xysticus,NA,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-05-14,4,NA,cham cont,NA,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,5,NA,heated,5,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,5,NA,heated,5,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,5,NA,heated,5,Pitfall,IN,Meioneta,Meioneta.sheffordiana,2
2010-05-14,5,NA,heated,5,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,5,NA,heated,5,Pitfall,IN,Phrurotimpus,Phrurotimpus.borealis,1
2010-05-14,5,NA,heated,5,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,5,NA,heated,5,Pitfall,IN,Neoantistea,Neoantistea.magna,1
2010-05-14,6,NA,cham cont,NA,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,6,NA,cham cont,NA,Pitfall,IN,Pirata,Pirata.zelotes,1
2010-05-14,6,NA,cham cont,NA,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,7,NA,heated,3,Pitfall,IN,Meioneta,Meioneta.sheffordiana,2
2010-05-14,7,NA,heated,3,Pitfall,IN,Agrocea,Agrocea.ornata,1
2010-05-14,8,NA,heated,1.5,Pitfall,IN,Lathys,Lathys.foxi,1
2010-05-14,8,NA,heated,1.5,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2010-05-14,8,NA,heated,1.5,Pitfall,IN,Phrurotimpus,Phrurotimpus.alarius,1
2010-05-14,9,NA,heated,2.5,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,9,NA,heated,2.5,Pitfall,IN,Neoantistea,NA,1
2010-05-14,9,NA,heated,2.5,Pitfall,IN,Cicurina,Cicurina.robusta,1
2010-05-14,9,NA,heated,2.5,Pitfall,IN,Xysticus,Xysticus.luctans,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,3
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Agrocea,NA,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Pirata,Pirata.zelotes,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Amaurobius,Amaurobius.borealis,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Neoantistea,NA,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Ceratinopsis,Ceratinopsis.latus,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Erigone,NA,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Neoantistea,NA,1
2010-05-14,10,NA,heated,4.5,Pitfall,IN,Xysticus,Xysticus.luctans,1
2010-05-14,11,NA,cham cont,NA,Pitfall,IN,Walckenaeria,Walckenaeria.communis,1
2010-05-14,11,NA,cham cont,NA,Pitfall,IN,Amaurobius,Amaurobius.borealis,2
2010-05-14,11,NA,cham cont,NA,Pitfall,IN,Agrocea,Agrocea.ornata,2
2010-05-14,11,NA,cham cont,NA,Pitfall,IN,Callobius,Callobius.bennetti,1
2010-05-14,11,NA,cham cont,NA,Pitfall,IN,Amaurobius,Amaurobius.borealis,0
