DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,REPSITE,SPCODE,SPECIES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,TOTAL,COMMENTS
CGR02,2,1982,7,12,004b,fl,a,27,orphulella speciosa,,,,,1,,,,,,1,
CGR02,2,1982,7,12,004b,fl,a,32,boopedon auriventr,,,1,,,,,,,,1,
CGR02,2,1982,7,12,004b,fl,b,4,hypochlora alba,,,,,,1,,,,1,2,
CGR02,2,1982,7,12,004b,fl,b,6,hesperotet speciosus,,,,,1,,,,,,1,
CGR02,2,1982,7,12,004b,fl,b,9,phoetaliot nebrascen,,,,,1,,,,,,1,
CGR02,2,1982,7,12,004b,fl,b,10,melanoplus scudderi,1,,2,,,1,,,1,,5,
CGR02,2,1982,7,12,004b,fl,b,16,melanoplus bivittatu,,,,,,,,,1,,1,
CGR02,2,1982,7,12,004b,fl,b,31,pseudopoma brachypte,,,,,,,,1,,,1,
CGR02,2,1982,7,12,004b,tu,a,4,hypochlora alba,,,1,1,,,,,,,2,
CGR02,2,1982,7,12,004b,tu,a,6,hesperotet speciosus,,,1,,,,,,,,1,
CGR02,2,1982,7,12,004b,tu,a,10,melanoplus scudderi,,,,,,,,1,,,1,
CGR02,2,1982,7,12,004b,tu,a,16,melanoplus bivittatu,,,,,,1,,,,1,2,
CGR02,2,1982,7,12,004b,tu,a,29,mermiria bivittata,,,1,,,,,,,,1,
CGR02,2,1982,7,12,004b,tu,a,31,pseudopoma brachypte,,1,,,,,,1,,,2,
CGR02,2,1982,7,12,004b,tu,a,32,boopedon auriventr,,1,,,,,,1,,,2,
CGR02,2,1982,7,12,004b,tu,b,4,hypochlora alba,,,,1,,,,,,,1,
CGR02,2,1982,7,12,004b,tu,b,6,hesperotet speciosus,,,,,1,,,,,,1,
CGR02,2,1982,7,7,000b,fl,a,6,hesperotet speciosus,,,,,,,1,,,1,2,
CGR02,2,1982,7,7,000b,fl,a,9,phoetaliot nebrascen,,,,,,,1,,,,1,
CGR02,2,1982,7,7,000b,fl,a,10,melanoplus scudderi,,,,,,,3,4,3,1,11,
CGR02,2,1982,7,7,000b,fl,a,15,melanoplus keeleri,,,,,,,2,1,1,1,5,
CGR02,2,1982,7,7,000b,fl,a,16,melanoplus bivittatu,,,,,,,,,1,,1,
CGR02,2,1982,7,7,000b,fl,a,27,orphulella speciosa,,,,,,,,,,1,1,
CGR02,2,1982,7,7,000b,fl,a,31,pseudopoma brachypte,1,,,,1,,,,,,2,
CGR02,2,1982,7,7,000b,fl,b,4,hypochlora alba,,,,,,2,,,,,2,
CGR02,2,1982,7,7,000b,fl,b,10,melanoplus scudderi,,,,,,2,1,1,,,4,
CGR02,2,1982,7,7,000b,fl,b,15,melanoplus keeleri,,,,,3,1,1,,,,5,
CGR02,2,1982,7,7,000b,fl,b,16,melanoplus bivittatu,,1,,,,,,,,,1,
CGR02,2,1982,7,7,000b,fl,b,27,orphulella speciosa,,,,,,,1,,,,1,
CGR02,2,1982,7,7,000b,fl,b,29,mermiria bivittata,,,,1,1,,,,,,2,
CGR02,2,1982,7,7,000b,fl,b,31,pseudopoma brachypte,,,,,,,,1,,,1,
CGR02,2,1982,7,8,000b,tu,a,16,melanoplus bivittatu,,,,,,,,1,,,1,
CGR02,2,1982,7,8,000b,tu,a,31,pseudopoma brachypte,,1,,,,,,,,,1,
CGR02,2,1982,7,8,000b,tu,b,16,melanoplus bivittatu,,,,,,,,,1,,1,
CGR02,2,1982,7,12,n01b,fl,a,9,phoetaliot nebrascen,,,,1,,,,,,,1,
CGR02,2,1982,7,12,n01b,fl,a,10,melanoplus scudderi,,,,,,,1,,,,1,
CGR02,2,1982,7,12,n01b,fl,a,15,melanoplus keeleri,,,,1,,,,,,,1,
CGR02,2,1982,7,12,n01b,fl,a,16,melanoplus bivittatu,,,,,,1,,,,,1,
CGR02,2,1982,7,12,n01b,fl,a,31,pseudopoma brachypte,1,,1,1,,,,1,,,4,
CGR02,2,1982,7,12,n01b,fl,b,6,hesperotet speciosus,,1,1,,,,,,,,2,
CGR02,2,1982,7,12,n01b,fl,b,9,phoetaliot nebrascen,,,,,,,,1,,,1,
CGR02,2,1982,7,12,n01b,fl,b,10,melanoplus scudderi,1,,,,,,,,,,1,
CGR02,2,1982,7,12,n01b,fl,b,31,pseudopoma brachypte,,2,,,,1,1,,,,4,
CGR02,2,1982,7,12,n01b,tu,a,4,hypochlora alba,,,2,,1,,,1,1,,5,
CGR02,2,1982,7,12,n01b,tu,a,9,phoetaliot nebrascen,2,1,,,,,,,,,3,
CGR02,2,1982,7,12,n01b,tu,a,10,melanoplus scudderi,,1,,1,2,1,,1,,1,7,
CGR02,2,1982,7,12,n01b,tu,a,12,melanoplus femurrubr,,,2,,,2,,,1,,5,
CGR02,2,1982,7,12,n01b,tu,a,31,pseudopoma brachypte,,1,,,,,,,,,1,
CGR02,2,1982,7,12,n01b,tu,b,6,hesperotet speciosus,,,,1,,1,,,,,2,
CGR02,2,1982,7,12,n01b,tu,b,9,phoetaliot nebrascen,,,,,,,,,1,,1,
CGR02,2,1982,7,12,n01b,tu,b,10,melanoplus scudderi,,,1,1,,,,,1,,3,
CGR02,2,1982,7,12,n01b,tu,b,31,pseudopoma brachypte,,,,,,,,1,,,1,
CGR02,2,1982,7,12,n04d,fl,a,4,hypochlora alba,1,2,6,,10,,3,4,4,,30,
CGR02,2,1982,7,12,n04d,fl,a,5,campylacan olivacea,,1,,,,2,,2,,,5,
CGR02,2,1982,7,12,n04d,fl,a,9,phoetaliot nebrascen,1,3,1,,2,,1,,1,1,10,
CGR02,2,1982,7,12,n04d,fl,a,10,melanoplus scudderi,,,,9,8,1,2,2,3,2,27,
CGR02,2,1982,7,12,n04d,fl,a,12,melanoplus femurrubr,,,1,,,,,,,,1,
CGR02,2,1982,7,12,n04d,fl,a,15,melanoplus keeleri,,,1,3,2,1,,1,1,4,13,
CGR02,2,1982,7,12,n04d,fl,a,16,melanoplus bivittatu,,1,,1,1,,,2,1,,6,
CGR02,2,1982,7,12,n04d,fl,a,17,melanoplus confusus,,,,,1,,,,,,1,
CGR02,2,1982,7,12,n04d,fl,a,27,orphulella speciosa,,,,,1,,,,,,1,
CGR02,2,1982,7,12,n04d,fl,b,4,hypochlora alba,,,,1,1,,,1,3,,6,
CGR02,2,1982,7,12,n04d,fl,b,6,hesperotet speciosus,,,,,,,,,3,,3,
CGR02,2,1982,7,12,n04d,fl,b,9,phoetaliot nebrascen,,,1,2,,,,,,,3,
CGR02,2,1982,7,12,n04d,fl,b,10,melanoplus scudderi,,,,4,,,1,,1,,6,
CGR02,2,1982,7,12,n04d,fl,b,12,melanoplus femurrubr,,,,1,,,,,,,1,
CGR02,2,1982,7,12,n04d,fl,b,15,melanoplus keeleri,,,,,,,,2,,1,3,
CGR02,2,1982,7,12,n04d,fl,b,16,melanoplus bivittatu,,,,,,,,1,,,1,
CGR02,2,1982,7,12,n04d,fl,b,27,orphulella speciosa,,,,2,,,,,,,2,
CGR02,2,1982,7,12,n04d,fl,b,31,pseudopoma brachypte,,,,2,1,,,,,,3,
CGR02,2,1982,7,13,n04d,tu,a,6,hesperotet speciosus,,,,,1,,,,,,1,
CGR02,2,1982,7,13,n04d,tu,a,9,phoetaliot nebrascen,,2,1,,,,2,,,,5,
CGR02,2,1982,7,13,n04d,tu,a,10,melanoplus scudderi,2,1,1,,,,3,,,2,9,
CGR02,2,1982,7,13,n04d,tu,a,15,melanoplus keeleri,1,,,,,,,,,,1,
CGR02,2,1982,7,13,n04d,tu,a,16,melanoplus bivittatu,,,1,,,,,,,,1,
CGR02,2,1982,7,13,n04d,tu,a,27,orphulella speciosa,1,,1,,,2,,,1,1,6,
CGR02,2,1982,7,13,n04d,tu,b,4,hypochlora alba,,,,,1,,,,,,1,
CGR02,2,1982,7,13,n04d,tu,b,31,pseudopoma brachypte,,,,,,,,,,1,1,
CGR02,2,1982,7,12,n00b,fl,a,4,hypochlora alba,,,,,,1,1,,,1,3,
CGR02,2,1982,7,12,n00b,fl,a,12,melanoplus femurrubr,,,,1,,,,,,,1,
CGR02,2,1982,7,12,n00b,fl,a,15,melanoplus keeleri,,,,2,,,,,1,1,4,
CGR02,2,1982,7,12,n00b,fl,a,16,melanoplus bivittatu,,,,,1,,,,,,1,
CGR02,2,1982,7,12,n00b,fl,a,27,orphulella speciosa,,1,,1,,1,,,,,3,
CGR02,2,1982,7,12,n00b,fl,a,31,pseudopoma brachypte,1,,,,,,,,,,1,
CGR02,2,1982,7,12,n00b,fl,b,2,schistocer lineata,,,,,,1,,,,,1,
CGR02,2,1982,7,12,n00b,fl,b,4,hypochlora alba,,,,,,,,1,,,1,
CGR02,2,1982,7,12,n00b,fl,b,7,hesperotet viridis,,1,,,,,,,,,1,
CGR02,2,1982,7,12,n00b,fl,b,10,melanoplus scudderi,,,,,,,,1,,,1,
CGR02,2,1982,7,12,n00b,fl,b,15,melanoplus keeleri,,1,,,,,,1,,,2,
CGR02,2,1982,7,12,n00b,fl,b,27,orphulella speciosa,1,1,,,,,,1,,,3,
CGR02,2,1982,7,13,n00b,tu,a,4,hypochlora alba,1,,,,,,3,,,1,5,
CGR02,2,1982,7,13,n00b,tu,a,9,phoetaliot nebrascen,,,,,,1,,,,,1,
CGR02,2,1982,7,13,n00b,tu,a,12,melanoplus femurrubr,,1,,,,,,,,,1,
CGR02,2,1982,7,13,n00b,tu,a,17,melanoplus confusus,,,,,,1,,,,,1,
CGR02,2,1982,7,13,n00b,tu,a,27,orphulella speciosa,1,,,,,,1,,,,2,
CGR02,2,1982,7,13,n00b,tu,a,31,pseudopoma brachypte,,2,,,,,,,,1,3,
CGR02,2,1982,7,13,n00b,tu,b,4,hypochlora alba,4,,2,,1,,4,,,,11,
CGR02,2,1982,7,13,n00b,tu,b,9,phoetaliot nebrascen,,,,,,,,,1,1,2,
CGR02,2,1982,7,13,n00b,tu,b,15,melanoplus keeleri,,1,,,,,1,,,,2,
CGR02,2,1982,7,13,n00b,tu,b,8,hesperotet species,,,,,,,,,,1,1,
CGR02,2,1982,7,13,n00b,tu,b,27,orphulella speciosa,,,,1,,1,,,1,,3,
CGR02,2,1982,8,2,001d,fl,a,9,phoetaliot nebrascen,,2,4,,1,2,,2,1,1,13,
CGR02,2,1982,8,2,001d,fl,a,15,melanoplus keeleri,,,1,,,,,,1,,2,
CGR02,2,1982,8,2,001d,fl,a,16,melanoplus bivittatu,1,,,,1,,,,,,2,
CGR02,2,1982,8,2,001d,fl,a,27,orphulella speciosa,2,2,3,,8,8,9,5,3,3,43,
CGR02,2,1982,8,2,001d,fl,a,29,mermiria bivittata,,1,,,,,,,,,1,
CGR02,2,1982,8,2,001d,fl,a,32,boopedon auriventr,,,,1,,,,,,,1,
CGR02,2,1982,8,9,001d,fl,b,9,phoetaliot nebrascen,,1,,,,,1,,,,2,
CGR02,2,1982,8,9,001d,fl,b,10,melanoplus scudderi,1,,,1,,,1,,,,3,
CGR02,2,1982,8,9,001d,fl,b,15,melanoplus keeleri,,,,,,1,,,,1,2,
CGR02,2,1982,8,9,001d,fl,b,27,orphulella speciosa,2,,11,2,1,1,3,3,3,,26,
CGR02,2,1982,8,2,000b,fl,a,7,hesperotet viridis,1,,,,,,,,,,1,
CGR02,2,1982,8,2,000b,fl,a,9,phoetaliot nebrascen,1,,3,3,1,,4,6,3,1,22,
CGR02,2,1982,8,2,000b,fl,a,10,melanoplus scudderi,,,2,,,,,2,1,1,6,
CGR02,2,1982,8,2,000b,fl,a,15,melanoplus keeleri,,,,,,,1,,2,1,4,
CGR02,2,1982,8,2,000b,fl,a,8,hesperotet species,,,1,1,,1,,2,,,5,
CGR02,2,1982,8,2,000b,fl,a,27,orphulella speciosa,1,1,1,1,,,1,,,,5,
CGR02,2,1982,8,2,000b,fl,a,31,pseudopoma brachypte,,,,,,,,1,,,1,
CGR02,2,1982,8,2,000b,fl,b,9,phoetaliot nebrascen,3,14,12,6,4,3,3,4,1,1,51,
CGR02,2,1982,8,2,000b,fl,b,15,melanoplus keeleri,1,1,8,4,1,1,2,,,,18,
CGR02,2,1982,8,2,000b,fl,b,27,orphulella speciosa,,2,1,,1,,,,,,4,
CGR02,2,1982,8,2,000b,fl,b,31,pseudopoma brachypte,1,,1,,,,,,,,2,
CGR02,2,1982,7,29,000b,tu,a,4,hypochlora alba,,,,4,,,,,,,4,
CGR02,2,1982,7,29,000b,tu,a,9,phoetaliot nebrascen,,,,1,,,,,,1,2,
CGR02,2,1982,7,29,000b,tu,a,10,melanoplus scudderi,,,,,1,1,,,,,2,
CGR02,2,1982,7,29,000b,tu,a,12,melanoplus femurrubr,,,,,,1,1,,,,2,
CGR02,2,1982,7,29,000b,tu,a,29,mermiria bivittata,1,,,,,,,,,,1,
CGR02,2,1982,7,29,000b,tu,a,31,pseudopoma brachypte,,,,,1,,,,1,,2,
CGR02,2,1982,7,29,000b,tu,b,2,schistocer lineata,,,,1,,,,,,,1,
CGR02,2,1982,7,29,000b,tu,b,7,hesperotet viridis,,1,,,,,,,,,1,
CGR02,2,1982,7,29,000b,tu,b,10,melanoplus scudderi,,1,2,1,,,,,,,4,
CGR02,2,1982,7,29,000b,tu,b,31,pseudopoma brachypte,,,,,,,1,,,,1,
CGR02,2,1982,7,28,n01b,fl,a,6,hesperotet speciosus,,,,,,,,,1,,1,
CGR02,2,1982,7,28,n01b,fl,a,9,phoetaliot nebrascen,1,1,5,3,1,6,2,,2,,21,
CGR02,2,1982,7,28,n01b,fl,a,10,melanoplus scudderi,,,1,1,,,1,1,,1,5,
CGR02,2,1982,7,28,n01b,fl,a,12,melanoplus femurrubr,,,,1,,,,2,,,3,
CGR02,2,1982,7,28,n01b,fl,a,15,melanoplus keeleri,1,,2,,,,,1,,,4,
CGR02,2,1982,7,28,n01b,fl,a,27,orphulella speciosa,1,,,1,,,,,,,2,
CGR02,2,1982,7,28,n01b,fl,a,29,mermiria bivittata,,,1,,,,,,,,1,
CGR02,2,1982,7,28,n01b,fl,b,6,hesperotet speciosus,,,,,,,1,,,,1,
CGR02,2,1982,7,28,n01b,fl,b,9,phoetaliot nebrascen,2,,,,,,,,1,3,6,
CGR02,2,1982,7,28,n01b,fl,b,10,melanoplus scudderi,,,1,,,,,,1,,2,
CGR02,2,1982,7,28,n01b,fl,b,27,orphulella speciosa,,,,,,,,,,1,1,
CGR02,2,1982,7,29,n01b,tu,a,4,hypochlora alba,,,3,,,1,,1,2,,7,
CGR02,2,1982,7,29,n01b,tu,a,7,hesperotet viridis,1,,,,,,,,,,1,
CGR02,2,1982,7,29,n01b,tu,a,9,phoetaliot nebrascen,3,5,5,3,6,6,5,8,6,5,52,
CGR02,2,1982,7,29,n01b,tu,a,10,melanoplus scudderi,3,,1,1,2,2,5,4,1,2,21,
CGR02,2,1982,7,29,n01b,tu,a,12,melanoplus femurrubr,,2,1,3,5,2,7,3,1,4,28,
CGR02,2,1982,7,29,n01b,tu,a,27,orphulella speciosa,,,,1,,,,2,,1,4,
CGR02,2,1982,7,29,n01b,tu,a,31,pseudopoma brachypte,,,,,,,,,1,,1,
CGR02,2,1982,7,29,n01b,tu,b,4,hypochlora alba,,2,1,,,1,1,,2,,7,
CGR02,2,1982,7,29,n01b,tu,b,6,hesperotet speciosus,,,,,,,1,,,,1,
CGR02,2,1982,7,29,n01b,tu,b,7,hesperotet viridis,,,,,1,,1,,,,2,
CGR02,2,1982,7,29,n01b,tu,b,9,phoetaliot nebrascen,,,1,1,5,1,1,2,,,11,
CGR02,2,1982,7,29,n01b,tu,b,10,melanoplus scudderi,1,,1,2,,1,,2,,1,8,
CGR02,2,1982,7,29,n01b,tu,b,12,melanoplus femurrubr,,1,,,,1,,,,,2,
CGR02,2,1982,7,29,n01b,tu,b,15,melanoplus keeleri,,,,,,,,1,,,1,
CGR02,2,1982,7,29,n01b,tu,b,27,orphulella speciosa,,,,,1,,,,,,1,
CGR02,2,1982,7,28,n04d,fl,a,4,hypochlora alba,,,1,,1,3,1,1,,,7,
CGR02,2,1982,7,28,n04d,fl,a,9,phoetaliot nebrascen,4,4,1,,5,,2,1,,2,19,
CGR02,2,1982,7,28,n04d,fl,a,10,melanoplus scudderi,1,1,1,,,3,,1,1,2,10,
CGR02,2,1982,7,28,n04d,fl,a,15,melanoplus keeleri,,,,,,2,1,,,,3,
CGR02,2,1982,7,28,n04d,fl,a,26,syrbula admirabil,,,,,,1,,,,,1,
CGR02,2,1982,7,28,n04d,fl,a,27,orphulella speciosa,,,,,,2,1,,,,3,
CGR02,2,1982,7,28,n04d,fl,b,4,hypochlora alba,,1,,1,,,,4,8,2,16,
CGR02,2,1982,7,28,n04d,fl,b,6,hesperotet speciosus,,,,,,,,,1,,1,
CGR02,2,1982,7,28,n04d,fl,b,9,phoetaliot nebrascen,,2,4,8,1,1,,1,1,1,19,
CGR02,2,1982,7,28,n04d,fl,b,10,melanoplus scudderi,,,,1,,,,2,2,1,6,
CGR02,2,1982,7,28,n04d,fl,b,15,melanoplus keeleri,,,1,,1,,,2,1,,5,
CGR02,2,1982,7,28,n04d,fl,b,27,orphulella speciosa,,,,1,,,,,,,1,
CGR02,2,1982,7,28,n04d,fl,b,31,pseudopoma brachypte,,,,,,,,1,,1,2,
CGR02,2,1982,7,30,n04d,tu,a,4,hypochlora alba,1,,,,,,,,,,1,
CGR02,2,1982,7,30,n04d,tu,a,7,hesperotet viridis,,,1,,1,,,,,,2,
CGR02,2,1982,7,30,n04d,tu,a,9,phoetaliot nebrascen,4,2,,2,5,3,3,3,3,2,27,
CGR02,2,1982,7,30,n04d,tu,a,10,melanoplus scudderi,3,2,,,,1,,,,1,7,
CGR02,2,1982,7,30,n04d,tu,a,12,melanoplus femurrubr,,,,,,,,1,,,1,
CGR02,2,1982,7,30,n04d,tu,a,15,melanoplus keeleri,,,,,1,,,,,,1,
CGR02,2,1982,7,30,n04d,tu,a,27,orphulella speciosa,,,,,1,,1,,,,2,
CGR02,2,1982,7,30,n04d,tu,a,47,arphia xanthopte,,,,,,,,1,,,1,
CGR02,2,1982,7,30,n04d,tu,b,4,hypochlora alba,,,,,2,,1,,2,1,6,
CGR02,2,1982,7,30,n04d,tu,b,9,phoetaliot nebrascen,,1,,,2,,,,,,3,
CGR02,2,1982,7,30,n04d,tu,b,10,melanoplus scudderi,,,,1,,,,,1,,2,
CGR02,2,1982,7,30,n04d,tu,b,12,melanoplus femurrubr,,1,1,,,,,,,,2,
CGR02,2,1982,7,28,n00b,fl,a,4,hypochlora alba,6,,,,1,4,,2,,,13,
CGR02,2,1982,7,28,n00b,fl,a,6,hesperotet speciosus,,,,1,,,,,,,1,
CGR02,2,1982,7,28,n00b,fl,a,7,hesperotet viridis,,,,,,,,,,1,1,
CGR02,2,1982,7,28,n00b,fl,a,9,phoetaliot nebrascen,5,,5,6,2,5,1,,,2,26,
CGR02,2,1982,7,28,n00b,fl,a,10,melanoplus scudderi,4,2,1,,,2,2,1,1,6,19,
CGR02,2,1982,7,28,n00b,fl,a,12,melanoplus femurrubr,,,1,,,,,,,,1,
CGR02,2,1982,7,28,n00b,fl,a,15,melanoplus keeleri,2,,6,,3,2,3,1,1,,18,
CGR02,2,1982,7,28,n00b,fl,a,27,orphulella speciosa,,,3,1,,,1,,,1,6,
CGR02,2,1982,7,28,n00b,fl,a,29,mermiria bivittata,,,,1,,,,,,,1,
CGR02,2,1982,7,28,n00b,fl,b,4,hypochlora alba,1,,,,,,,,,,1,
CGR02,2,1982,7,28,n00b,fl,b,9,phoetaliot nebrascen,1,,1,,1,,3,,,3,9,
CGR02,2,1982,7,28,n00b,fl,b,10,melanoplus scudderi,,1,,,1,,1,1,,2,6,
CGR02,2,1982,7,28,n00b,fl,b,12,melanoplus femurrubr,,,,,,,,,,1,1,
CGR02,2,1982,7,28,n00b,fl,b,15,melanoplus keeleri,2,,2,,,,,,,,4,
CGR02,2,1982,7,28,n00b,fl,b,27,orphulella speciosa,,1,2,1,,,,4,1,1,10,
CGR02,2,1982,7,28,n00b,fl,b,31,pseudopoma brachypte,,,,,,,1,,,,1,
CGR02,2,1982,7,29,n00b,tu,a,4,hypochlora alba,,,,1,,,,,1,1,3,
CGR02,2,1982,7,29,n00b,tu,a,9,phoetaliot nebrascen,3,,3,3,1,1,,1,1,1,14,
CGR02,2,1982,7,29,n00b,tu,a,10,melanoplus scudderi,,,,,,,,,,1,1,
CGR02,2,1982,7,29,n00b,tu,a,12,melanoplus femurrubr,,1,,3,,,,,,1,5,
CGR02,2,1982,7,29,n00b,tu,a,15,melanoplus keeleri,,1,,,,,,,,,1,
CGR02,2,1982,7,29,n00b,tu,a,8,hesperotet species,,,,,1,,,,,,1,
CGR02,2,1982,7,29,n00b,tu,a,27,orphulella speciosa,1,1,1,1,,,2,1,1,,8,
CGR02,2,1982,7,29,n00b,tu,a,32,boopedon auriventr,,,,,,,1,,,,1,
CGR02,2,1982,7,29,n00b,tu,b,2,schistocer lineata,,,,,1,,,,,,1,
CGR02,2,1982,7,29,n00b,tu,b,4,hypochlora alba,2,,,,1,,3,,4,2,12,
CGR02,2,1982,7,29,n00b,tu,b,9,phoetaliot nebrascen,2,1,3,4,1,1,3,1,2,1,19,
CGR02,2,1982,7,29,n00b,tu,b,10,melanoplus scudderi,,,,,,,3,,1,,4,
CGR02,2,1982,7,29,n00b,tu,b,12,melanoplus femurrubr,1,,,,,,,,,,1,
CGR02,2,1982,7,29,n00b,tu,b,17,melanoplus confusus,,,,,,,1,,,,1,
CGR02,2,1982,7,29,n00b,tu,b,8,hesperotet species,,,,,,,,,2,,2,
CGR02,2,1982,7,29,n00b,tu,b,27,orphulella speciosa,,,,1,1,,,1,3,,6,
CGR02,2,1982,7,29,n00b,tu,b,29,mermiria bivittata,,,,,1,,,,,,1,
CGR02,2,1982,7,29,n00b,tu,b,31,pseudopoma brachypte,,1,,,,,,,,1,2,
CGR02,2,1982,7,29,001d,tu,a,7,hesperotet viridis,,,,,,,,,,1,1,
CGR02,2,1982,7,29,001d,tu,a,9,phoetaliot nebrascen,4,1,2,2,,1,,,,,10,
CGR02,2,1982,7,29,001d,tu,a,12,melanoplus femurrubr,1,,,,,1,,,,,2,
CGR02,2,1982,7,29,001d,tu,a,15,melanoplus keeleri,,,,,,,,,1,,1,
CGR02,2,1982,7,29,001d,tu,a,27,orphulella speciosa,15,11,15,1,7,13,12,25,17,12,128,
CGR02,2,1982,7,29,001d,tu,b,9,phoetaliot nebrascen,1,1,,,,,2,1,1,,6,
CGR02,2,1982,7,29,001d,tu,b,16,melanoplus bivittatu,,,,,,1,,,,1,2,
CGR02,2,1982,7,29,001d,tu,b,27,orphulella speciosa,1,4,8,1,7,,7,8,2,4,42,
CGR02,2,1982,7,28,004b,fl,a,4,hypochlora alba,,,5,,2,,2,,1,,10,
CGR02,2,1982,7,28,004b,fl,a,9,phoetaliot nebrascen,,3,8,4,5,1,4,2,2,2,31,
CGR02,2,1982,7,28,004b,fl,a,10,melanoplus scudderi,,,4,,,,4,3,2,2,15,
CGR02,2,1982,7,28,004b,fl,a,15,melanoplus keeleri,1,,2,1,,,,3,1,1,9,
CGR02,2,1982,7,28,004b,fl,a,16,melanoplus bivittatu,,1,,,,,,,1,,2,
CGR02,2,1982,7,28,004b,fl,a,8,hesperotet species,,,,,,1,,,,,1,
CGR02,2,1982,7,28,004b,fl,a,27,orphulella speciosa,,,,,1,,,1,,1,3,
CGR02,2,1982,7,28,004b,fl,a,29,mermiria bivittata,,1,,,,,,,,,1,
CGR02,2,1982,7,28,004b,fl,a,32,boopedon auriventr,,,1,,,,,,,,1,
CGR02,2,1982,7,30,004b,fl,b,4,hypochlora alba,,1,1,3,2,,,1,2,2,12,
CGR02,2,1982,7,30,004b,fl,b,6,hesperotet speciosus,,,,,,,1,,,,1,
CGR02,2,1982,7,30,004b,fl,b,9,phoetaliot nebrascen,1,,2,1,,,1,,,,5,
CGR02,2,1982,7,30,004b,fl,b,10,melanoplus scudderi,,,,,1,,,2,1,4,8,
CGR02,2,1982,7,30,004b,fl,b,15,melanoplus keeleri,,,,,,,1,,,,1,
CGR02,2,1982,7,30,004b,fl,b,16,melanoplus bivittatu,,,,,1,,,,,,1,
CGR02,2,1982,7,30,004b,fl,b,27,orphulella speciosa,,,,,1,,1,,,4,6,
CGR02,2,1982,7,30,004b,fl,b,29,mermiria bivittata,,,,1,,,,1,,,2,
CGR02,2,1982,7,28,004b,tu,a,4,hypochlora alba,,,1,,,,,,,,1,
CGR02,2,1982,7,28,004b,tu,a,9,phoetaliot nebrascen,,1,,,,,,,,1,2,
CGR02,2,1982,7,28,004b,tu,a,10,melanoplus scudderi,1,1,,,1,,1,,,,4,
CGR02,2,1982,7,28,004b,tu,a,12,melanoplus femurrubr,1,1,3,4,1,,1,1,1,,13,
CGR02,2,1982,7,28,004b,tu,a,15,melanoplus keeleri,1,,,,,,,,,,1,
CGR02,2,1982,7,28,004b,tu,a,27,orphulella speciosa,,,,,,,1,,,,1,
CGR02,2,1982,7,28,004b,tu,a,29,mermiria bivittata,,,,1,,,,,,,1,
CGR02,2,1982,7,28,004b,tu,b,4,hypochlora alba,,,1,,,,,,,,1,
CGR02,2,1982,7,28,004b,tu,b,9,phoetaliot nebrascen,2,,2,,1,,,2,1,1,9,
CGR02,2,1982,7,28,004b,tu,b,10,melanoplus scudderi,1,,,,,1,,,1,,3,
