year,site,block,treatment,species,value,dataset_id,treatment_type,timepoints,design,time_since_disturbance,realm,taxon,metric,unit,comment
1982,000B,a,control,melanoplus femurrubr,0.5,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,a,control,mermiria bivittata,0.25,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,hypochlora alba,0.5,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,melanoplus scudderi,2,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,melanoplus keeleri,5.75,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,melanoplus bivittatu,0.5,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,orphulella speciosa,1.25,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,mermiria bivittata,0.5,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,pseudopoma brachypte,1,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,phoetaliot nebrascen,12.75,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,schistocer lineata,0.25,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,000B,b,control,hesperotet viridis,0.25,joern_2019,fire and grazing,T1,AC,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,phoetaliot nebrascen,8.25,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,melanoplus scudderi,0.25,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,melanoplus bivittatu,1.5,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,melanoplus confusus,0.5,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,orphulella speciosa,92,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,mermiria bivittata,0.5,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,melanoplus keeleri,0.75,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,boopedon auriventr,0.25,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,hesperotet viridis,0.25,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,a,noGrazing_fire01,melanoplus femurrubr,0.5,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,b,noGrazing_fire01,phoetaliot nebrascen,3.33333333333333,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,b,noGrazing_fire01,melanoplus keeleri,1.66666666666667,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,b,noGrazing_fire01,melanoplus bivittatu,2,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,b,noGrazing_fire01,orphulella speciosa,33.3333333333333,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,001D,b,noGrazing_fire01,melanoplus scudderi,1,joern_2019,fire and grazing,T1,AI,0,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,hypochlora alba,10,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,hesperotet speciosus,2,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,phoetaliot nebrascen,20.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,melanoplus scudderi,14,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,melanoplus keeleri,11.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,orphulella speciosa,2.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,boopedon auriventr,2,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,melanoplus bivittatu,2,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,mermiria bivittata,1.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,pseudopoma brachypte,1,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,hesperotet species,0.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,a,noGrazing_fire04,melanoplus femurrubr,6.5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,hypochlora alba,5.33333333333333,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,hesperotet speciosus,1,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,phoetaliot nebrascen,5,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,melanoplus scudderi,5.33333333333333,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,melanoplus bivittatu,0.666666666666667,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,pseudopoma brachypte,0.333333333333333,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,melanoplus keeleri,0.333333333333333,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,orphulella speciosa,2.66666666666667,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,mermiria bivittata,1.33333333333333,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,004B,b,noGrazing_fire04,melanoplus femurrubr,1.66666666666667,joern_2019,fire and grazing,T1,AI,3,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,hypochlora alba,6,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,melanoplus femurrubr,2,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,melanoplus keeleri,5.75,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,melanoplus bivittatu,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,orphulella speciosa,4.75,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,pseudopoma brachypte,1,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,phoetaliot nebrascen,10.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,melanoplus confusus,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,hesperotet speciosus,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,hesperotet viridis,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,melanoplus scudderi,5,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,mermiria bivittata,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,hesperotet species,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,a,Grazing_noFire,boopedon auriventr,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,schistocer lineata,0.5,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,hypochlora alba,6.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,hesperotet viridis,0.25,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,melanoplus scudderi,2.75,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,melanoplus keeleri,2,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
1982,N00B,b,Grazing_noFire,orphulella speciosa,5.5,joern_2019,fire and grazing,T1,AI,,terrestrial,invertebrates,count,count,"Grasshopper sampling in fields burnt at various frequencies (the number in the site names indicates the theoretical frequency). Some fields are also grazed and the site name indicates N for natural grazing by bison. Most of the type, there were several samplings in a year, they have been pooled together and divided by the number of visits (1 to 14)."
