year,site,block,plot,treatment,species,value,dataset_id,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
2009,HF,2,B,Heated_4,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,B,Heated_4,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,C,Heated_4,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,C,Heated_4,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,D,Heated_4,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,D,Heated_4,Myrmica punctiventris,0.5,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,2,D,Heated_4,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,A,Heated_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,A,Heated_2,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,A,Heated_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,A,Heated_2,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,B,Heated_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,B,Heated_2,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,B,Heated_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,B,Heated_2,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,C,Heated_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,C,Heated_2,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,C,Heated_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,C,Heated_2,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,D,Heated_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,D,Heated_2,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,D,Heated_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,3,D,Heated_2,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,,Chamber Control_0,punctiventris,1,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,A,Chamber Control_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,A,Chamber Control_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,B,Chamber Control_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,B,Chamber Control_0,Aphaenogaster rudis,3,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,C,Chamber Control_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,C,Chamber Control_0,Myrmica detritinodis,0.5,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,C,Chamber Control_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,D,Chamber Control_0,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,4,D,Chamber Control_0,NA NA,,ellison_2017a,warming,AI,T1,0,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
2009,HF,5,A,Heated_5,NA NA,,ellison_2017a,warming,BI,T1,,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being, no chamber, a chamber without warming, a chamber and warming with different warming intensities. Winkler samples are excluded. Repeated samplings in a single year are pooled. Counts are added and divided by effort. Effort is defined as the number of pitfall surveys per year (1 to 13). Maybe the time difference between first and last sampling surveys would be more appropriate? It depends if the pitfalls stayed several months and were emptied some times (then dividing by the number of sampling day would be better) or if each survey set pitfalls for a limited number of days and the number of surveys is the best proxy of effort. What's up with block/chamber 6? Its temperature changes. In site HF, both pre and post treatment samples were made in 2009."
