"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol"
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.055,33.4,28540,3060,0.157,0.017
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.012,107,247951,3607,0.298,0.004
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Synura",NA,"colonial",0.119,56,91847,22080,1.091,0.262
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.055,25.1,1524,1524,0.008,0.008
"Tuesday Lake","T",1984,148,1984-05-27,"Bacillariophyta","Asterionella","formosa",NA,0.021,134,1120,1120,0.002,0.002
"Tuesday Lake","T",1984,148,1984-05-27,"Cyanophyta","Chroococcus","dispersus",NA,0.039,7.7,239,239,0.001,0.001
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Chrysosphaerella",NA,NA,0.022,126,831340,52245,1.829,0.115
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Closteriopsis","longissima",NA,0.882,56.7,142,142,0.013,0.013
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Closteriopsis","longissima",NA,2.152,110,276,276,0.059,0.059
"Tuesday Lake","T",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",2.174,13.9,203,203,0.044,0.044
"Tuesday Lake","T",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.626,24,1514,1514,0.095,0.095
"Tuesday Lake","T",1984,148,1984-05-27,"Cyanophyta","Dactylococcopsis",NA,NA,1.541,32.7,132,132,0.02,0.02
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Diceras",NA,NA,0.231,106,153,153,0.004,0.004
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.021,23.3,407,407,0.001,0.001
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Dinobryon","cylindricum",NA,0.001,96.9,4490,722,0.001,0
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Dinobryon",NA,"cyst",0.034,37.9,1309,210,0.004,0.001
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Dinobryon","divergens",NA,0.003,69.6,3156,507,0.001,0
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Dinobryon","sociale",NA,0.181,24.3,641,89.6,0.012,0.002
"Tuesday Lake","T",1984,148,1984-05-27,"Pyrrhophyta","Glenodinium","quadridens",NA,0.042,34.4,12480,12480,0.053,0.053
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Mallomonas",NA,NA,0.386,16.6,1410,1410,0.054,0.054
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Mallomonas",NA,NA,0.076,29.3,1032,1032,0.008,0.008
"Tuesday Lake","T",1984,148,1984-05-27,"Euglenophyta","Menoidium","tortuosum",NA,7.44,13.6,1308,528,0.973,0.393
"Tuesday Lake","T",1984,148,1984-05-27,"Cyanophyta","Microcystis","aeruginosa","(<65)",0.016,47.2,13295,13295,0.021,0.021
"Tuesday Lake","T",1984,148,1984-05-27,"Cyanophyta","Microcystis","aeruginosa","(>65)",0.005,76.6,25200,25200,0.013,0.013
"Tuesday Lake","T",1984,148,1984-05-27,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",8.447,5.4,82.4,82.4,0.07,0.07
"Tuesday Lake","T",1984,148,1984-05-27,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.001,73.7,64600,64600,0.006,0.006
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Monomastix","astigmata",NA,0.609,6.25,30.3,30.3,0.002,0.002
"Tuesday Lake","T",1984,148,1984-05-27,"Pyrrhophyta","Peridinium",NA,NA,0.007,82.8,64600,64600,0.044,0.044
"Tuesday Lake","T",1984,148,1984-05-27,"Pyrrhophyta","Peridinium","umbonatum",NA,0.538,16.2,1580,1580,0.085,0.085
"Tuesday Lake","T",1984,148,1984-05-27,"Bacillariophyta","Rhizolenia",NA,NA,1.322,92.9,686,372,0.091,0.049
"Tuesday Lake","T",1984,148,1984-05-27,"Chlorophyta","Selenastrum","minutum",NA,0.318,7.34,272,272,0.009,0.009
"Tuesday Lake","T",1984,148,1984-05-27,"Chrysophyta","Synura",NA,"colonial",0.008,56,91847,22080,0.073,0.018
"Tuesday Lake","T",1984,148,1984-05-27,"Bacillariophyta","Tabellaria","fenestrata",NA,1.147,6.94,175,175,0.02,0.02
"Paul Lake","L",1984,155,1984-06-03,"Cyanophyta","Chroococcus","dispersus",NA,0.06,7.7,239,239,0.001,0.001
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Chrysosphaerella",NA,NA,0.001,126,831340,52245,0.107,0.007
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Closteriopsis","longissima",NA,0.004,56.7,142,142,0,0
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Closteriopsis","longissima",NA,0.011,110,276,276,0,0
"Paul Lake","L",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.12,13.9,203,203,0.002,0.002
"Paul Lake","L",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.12,24,1514,1514,0.018,0.018
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Dinobryon","cylindricum",NA,0.002,96.9,4490,722,0.001,0
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Dinobryon",NA,"cyst",0.053,37.9,1309,210,0.007,0.001
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Dinobryon","divergens",NA,0.005,69.6,3156,507,0.002,0
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Gloeocystis",NA,NA,0.045,44.1,63780,2255,0.287,0.01
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Mallomonas",NA,NA,0.241,29.3,1032,1032,0.025,0.025
"Paul Lake","L",1984,155,1984-06-03,"Cyanophyta","Merismopedia","tenuissima",NA,0.032,18,307,31.7,0.001,0
"Paul Lake","L",1984,155,1984-06-03,"Cyanophyta","Merismopedia","tenuissima",NA,0.037,34.5,971,100,0.004,0
"Paul Lake","L",1984,155,1984-06-03,"Cyanophyta","Merismopedia","tenuissima",NA,0.011,59,2466,254,0.003,0
"Paul Lake","L",1984,155,1984-06-03,"Cyanophyta","Merismopedia","tenuissima",NA,0.011,92.4,5867,605,0.006,0.001
"Paul Lake","L",1984,155,1984-06-03,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1.888,5.8,102,102,0.019,0.019
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Monomastix","astigmata",NA,0.09,6.25,30.3,30.3,0,0
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Oocystis",NA,"sp. 1",0.241,15.4,1490,1490,0.036,0.036
"Paul Lake","L",1984,155,1984-06-03,"Chlorophyta","Quadrigula","lacustris",NA,0.03,92.7,23195,312,0.07,0.001
"Paul Lake","L",1984,155,1984-06-03,"Chrysophyta","Synura",NA,"colonial",0.011,56,91847,22080,0.099,0.024
"Peter Lake","R",1984,155,1984-06-03,"Cyanophyta","Anabaena","circinalis",NA,0.179,35.1,1232,1232,0.022,0.022
"Peter Lake","R",1984,155,1984-06-03,"Cyanophyta","Chroococcus","dispersus",NA,0.008,7.7,239,239,0,0
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Chrysosphaerella",NA,NA,0.006,126,831340,52245,0.494,0.031
"Peter Lake","R",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.222,13.9,203,203,0.005,0.005
"Peter Lake","R",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.667,24,1514,1514,0.101,0.101
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon","cylindricum",NA,0.007,96.9,4490,722,0.003,0.001
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon",NA,"cyst",0.183,37.9,1309,210,0.024,0.004
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon","divergens",NA,0.017,69.6,3156,507,0.005,0.001
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon","divergens",NA,0.008,92.6,7494,1414,0.006,0.001
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon","divergens",NA,0.003,148,18232,3440,0.006,0.001
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Dinobryon","divergens",NA,0.003,217,34556,6520,0.009,0.002
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Mallomonaas","akrokomos",NA,0.294,17.7,131,131,0.004,0.004
"Peter Lake","R",1984,155,1984-06-03,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.4,5.8,102,102,0.004,0.004
"Peter Lake","R",1984,155,1984-06-03,"Chlorophyta","Monomastix","astigmata",NA,1.557,7.7,37.1,37.1,0.006,0.006
"Peter Lake","R",1984,155,1984-06-03,"Cyanophyta","Nostoc",NA,"single trichomes",0.194,15.9,401,401,0.008,0.008
"Peter Lake","R",1984,155,1984-06-03,"Chlorophyta","Oocystis",NA,"sp. 1",0.151,15.4,1490,1490,0.022,0.022
"Peter Lake","R",1984,155,1984-06-03,"Chrysophyta","Synura",NA,"colonial",0.083,56,91847,22080,0.766,0.184
"Tuesday Lake","T",1984,155,1984-06-03,"Cyanophyta","Anabaena","circinalis",NA,0.01,35.1,1232,1232,0.001,0.001
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.511,25.1,1524,1524,0.078,0.078
"Tuesday Lake","T",1984,155,1984-06-03,"Bacillariophyta","Asterionella","formosa",NA,0.111,134,1120,1120,0.012,0.012
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Chrysosphaerella",NA,NA,0.031,126,831340,52245,2.569,0.161
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Closteriopsis","longissima",NA,0.477,56.7,142,142,0.007,0.007
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Closteriopsis","longissima",NA,1.166,110,276,276,0.032,0.032
"Tuesday Lake","T",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",1.021,13.9,203,203,0.021,0.021
"Tuesday Lake","T",1984,155,1984-06-03,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.577,24,1514,1514,0.087,0.087
"Tuesday Lake","T",1984,155,1984-06-03,"Cyanophyta","Dactylococcopsis",NA,NA,0.377,32.7,132,132,0.005,0.005
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Diceras",NA,NA,0.289,106,153,153,0.004,0.004
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.355,23.3,407,407,0.014,0.014
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Dinobryon","sociale",NA,0.532,24.3,641,89.6,0.034,0.005
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Dinobryon",NA,NA,0.067,69.8,2442,203,0.016,0.001
"Tuesday Lake","T",1984,155,1984-06-03,"Pyrrhophyta","Glenodinium","quadridens",NA,0.007,34.4,12480,12480,0.009,0.009
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Mallomonas",NA,NA,0.51,16.6,1410,1410,0.072,0.072
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Mallomonas",NA,NA,0.533,29.3,1032,1032,0.055,0.055
"Tuesday Lake","T",1984,155,1984-06-03,"Euglenophyta","Menoidium","tortuosum",NA,7.239,13.6,1308,528,0.947,0.382
"Tuesday Lake","T",1984,155,1984-06-03,"Cyanophyta","Microcystis","aeruginosa","(<65)",0.084,47.2,13295,13295,0.112,0.112
"Tuesday Lake","T",1984,155,1984-06-03,"Cyanophyta","Microcystis","aeruginosa","(>65)",0.027,76.6,25200,25200,0.068,0.068
"Tuesday Lake","T",1984,155,1984-06-03,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",8.665,5.4,82.4,82.4,0.071,0.071
"Tuesday Lake","T",1984,155,1984-06-03,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.001,73.7,64600,64600,0.006,0.006
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Monomastix","astigmata",NA,1.066,6.25,30.3,30.3,0.003,0.003
"Tuesday Lake","T",1984,155,1984-06-03,"Cyanophyta","Nostoc",NA,"single trichomes",0.011,15.9,401,401,0,0
"Tuesday Lake","T",1984,155,1984-06-03,"Pyrrhophyta","Peridinium",NA,NA,0.007,82.8,64600,64600,0.042,0.042
"Tuesday Lake","T",1984,155,1984-06-03,"Pyrrhophyta","Peridinium","umbonatum",NA,1.199,16.2,1580,1580,0.189,0.189
"Tuesday Lake","T",1984,155,1984-06-03,"Bacillariophyta","Rhizolenia",NA,NA,1.287,92.9,686,372,0.088,0.048
"Tuesday Lake","T",1984,155,1984-06-03,"Chlorophyta","Selenastrum","minutum",NA,1.02,7.34,272,272,0.028,0.028
"Tuesday Lake","T",1984,155,1984-06-03,"Chrysophyta","Synura",NA,"colonial",0.013,56,91847,22080,0.118,0.028
"Tuesday Lake","T",1984,155,1984-06-03,"Bacillariophyta","Tabellaria","fenestrata",NA,3.864,6.94,175,175,0.068,0.068
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.003,25.1,1524,1524,0,0
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Ankistrodesmus",NA,NA,0.003,77.9,132,132,0,0
"Paul Lake","L",1984,162,1984-06-10,"Chrysophyta","Chrysosphaerella",NA,NA,0.001,126,831340,52245,0.061,0.004
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Closteriopsis","longissima",NA,0.032,56.7,142,142,0,0
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Closteriopsis","longissima",NA,0.077,110,276,276,0.002,0.002
"Paul Lake","L",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.012,13.9,203,203,0,0
"Paul Lake","L",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.012,24,1514,1514,0.002,0.002
"Paul Lake","L",1984,162,1984-06-10,"Chrysophyta","Dinobryon","divergens",NA,0.056,70.4,5743,159,0.032,0.001
"Paul Lake","L",1984,162,1984-06-10,"Chrysophyta","Dinobryon",NA,NA,0.003,69.8,2442,203,0.001,0
"Paul Lake","L",1984,162,1984-06-10,"Pyrrhophyta","Glenodinium","quadridens",NA,0.004,34.4,12480,12480,0.005,0.005
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Gloeocystis",NA,NA,0.055,44.1,63780,2255,0.351,0.012
"Paul Lake","L",1984,162,1984-06-10,"Chrysophyta","Mallomonaas","akrokomos",NA,0.124,17.7,131,131,0.002,0.002
"Paul Lake","L",1984,162,1984-06-10,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.879,5.8,102,102,0.009,0.009
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Monomastix","astigmata",NA,0.431,6.25,30.3,30.3,0.001,0.001
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Oocystis",NA,"sp. 1",0.351,15.4,1490,1490,0.052,0.052
"Paul Lake","L",1984,162,1984-06-10,"Pyrrhophyta","Peridinium","umbonatum",NA,0.055,16.2,1580,1580,0.009,0.009
"Paul Lake","L",1984,162,1984-06-10,"Euglenophyta","Phacus",NA,NA,0.097,14.1,1517,1517,0.015,0.015
"Paul Lake","L",1984,162,1984-06-10,"Chlorophyta","Staurastrum",NA,NA,0.003,81.4,4300,4300,0.001,0.001
"Paul Lake","L",1984,162,1984-06-10,"Chrysophyta","Synura",NA,"colonial",0.011,56,91847,22080,0.097,0.023
"Peter Lake","R",1984,162,1984-06-10,"Cyanophyta","Anabaena","circinalis",NA,0.085,35.1,1232,1232,0.01,0.01
"Peter Lake","R",1984,162,1984-06-10,"Chlorophyta","Ankyra","judayi",NA,0.016,66.6,153,153,0,0
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Chrysosphaerella",NA,NA,0.005,126,831340,52245,0.414,0.026
"Peter Lake","R",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.241,13.9,203,203,0.005,0.005
"Peter Lake","R",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.209,24,1514,1514,0.032,0.032
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon","cylindricum",NA,0.003,96.9,4490,722,0.001,0
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon",NA,"cyst",0.034,37.9,1309,210,0.004,0.001
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon","divergens",NA,0.008,69.6,3156,507,0.002,0
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon","divergens",NA,0.015,92.6,7494,1414,0.011,0.002
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon","divergens",NA,0.006,148,18232,3440,0.011,0.002
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Dinobryon","divergens",NA,0.005,217,34556,6520,0.017,0.003
"Peter Lake","R",1984,162,1984-06-10,"Cyanophyta","Gomphosphaeria",NA,NA,0.016,59.3,19070,5987,0.031,0.01
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Mallomonas",NA,NA,0.048,16.6,1410,1410,0.007,0.007
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Mallomonas",NA,NA,0.016,29.3,1032,1032,0.002,0.002
"Peter Lake","R",1984,162,1984-06-10,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.27,5.8,102,102,0.003,0.003
"Peter Lake","R",1984,162,1984-06-10,"Chlorophyta","Monomastix","astigmata",NA,1.657,7.7,37.1,37.1,0.006,0.006
"Peter Lake","R",1984,162,1984-06-10,"Cyanophyta","Nostoc",NA,"single trichomes",0.092,15.9,401,401,0.004,0.004
"Peter Lake","R",1984,162,1984-06-10,"Chlorophyta","Oocystis",NA,"sp. 1",0.595,15.4,1490,1490,0.089,0.089
"Peter Lake","R",1984,162,1984-06-10,"Chrysophyta","Synura",NA,"colonial",0.022,56,91847,22080,0.203,0.049
"Tuesday Lake","T",1984,162,1984-06-10,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.841,25.1,1524,1524,0.128,0.128
"Tuesday Lake","T",1984,162,1984-06-10,"Bacillariophyta","Asterionella","formosa",NA,0.025,134,1120,1120,0.003,0.003
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Chrysosphaerella",NA,NA,0.025,126,831340,52245,2.037,0.128
"Tuesday Lake","T",1984,162,1984-06-10,"Chlorophyta","Closteriopsis","longissima",NA,0.707,56.7,142,142,0.01,0.01
"Tuesday Lake","T",1984,162,1984-06-10,"Chlorophyta","Closteriopsis","longissima",NA,1.732,110,276,276,0.048,0.048
"Tuesday Lake","T",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.465,13.9,203,203,0.009,0.009
"Tuesday Lake","T",1984,162,1984-06-10,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.051,24,1514,1514,0.008,0.008
"Tuesday Lake","T",1984,162,1984-06-10,"Cyanophyta","Dactylococcopsis",NA,NA,0.896,32.7,132,132,0.012,0.012
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Diceras",NA,NA,0.153,106,153,153,0.002,0.002
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Dinobryon","sociale",NA,1.062,24.3,641,89.6,0.068,0.01
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Dinobryon",NA,NA,0.334,69.8,2442,203,0.082,0.007
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Mallomonas",NA,NA,0.306,16.6,1410,1410,0.043,0.043
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Mallomonas",NA,NA,0.051,29.3,1032,1032,0.005,0.005
"Tuesday Lake","T",1984,162,1984-06-10,"Euglenophyta","Menoidium","tortuosum",NA,7.118,13.6,1308,528,0.931,0.376
"Tuesday Lake","T",1984,162,1984-06-10,"Cyanophyta","Microcystis","aeruginosa","(<65)",0.118,47.2,13295,13295,0.157,0.157
"Tuesday Lake","T",1984,162,1984-06-10,"Cyanophyta","Microcystis","aeruginosa","(>65)",0.038,76.6,25200,25200,0.096,0.096
"Tuesday Lake","T",1984,162,1984-06-10,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",7.901,5.4,82.4,82.4,0.065,0.065
"Tuesday Lake","T",1984,162,1984-06-10,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.003,73.7,64600,64600,0.02,0.02
"Tuesday Lake","T",1984,162,1984-06-10,"Chlorophyta","Monomastix","astigmata",NA,1.114,6.25,30.3,30.3,0.003,0.003
"Tuesday Lake","T",1984,162,1984-06-10,"Pyrrhophyta","Peridinium",NA,NA,0.022,82.8,64600,64600,0.145,0.145
"Tuesday Lake","T",1984,162,1984-06-10,"Pyrrhophyta","Peridinium","umbonatum",NA,2.467,16.2,1580,1580,0.39,0.39
"Tuesday Lake","T",1984,162,1984-06-10,"Bacillariophyta","Rhizolenia",NA,NA,2.345,92.9,686,372,0.161,0.087
"Tuesday Lake","T",1984,162,1984-06-10,"Chlorophyta","Selenastrum","minutum",NA,1.564,7.34,272,272,0.043,0.043
"Tuesday Lake","T",1984,162,1984-06-10,"Chrysophyta","Synura",NA,"colonial",0.001,56,91847,22080,0.005,0.001
"Tuesday Lake","T",1984,162,1984-06-10,"Bacillariophyta","Tabellaria","fenestrata",NA,0.579,6.94,175,175,0.01,0.01
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Anabaena","circinalis",NA,0.053,35.1,1232,1232,0.007,0.007
