sampling.id,site,date,month,day,year,doy,cham,subs,treat,method,id,genus,species,n,caste,notes,pinned,warming,target.delta
4,DF,2009-09-11,9,11,2009,254,3,A,Pre-treat,Pitfall,SLP,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,3,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,3,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,3,C,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,3,D,Pre-treat,Pitfall,SLP,Temnothorax,curvispinosus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,A,Pre-treat,Pitfall,SLP,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,A,Pre-treat,Pitfall,SLP,Solenopsis,molesta,3,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,C,Pre-treat,Pitfall,SLP,Camponotus,castaneus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,4,D,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,5,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,5,A,Pre-treat,Pitfall,SLP,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,5,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,5,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,5,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,6,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,6,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,6,C,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,6,D,Pre-treat,Pitfall,SLP,Myrmecina,americana,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,7,A,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,7,B,Pre-treat,Pitfall,SLP,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,7,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,7,C,Pre-treat,Pitfall,SLP,Aphaenogaster,lamellidens,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,7,D,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,8,A,Pre-treat,Pitfall,SLP,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,8,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,8,C,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,8,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,9,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,9,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,9,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,9,D,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,10,A,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,10,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,10,B,Pre-treat,Pitfall,SLP,Stigmatomma,pallipes,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,10,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,10,D,Pre-treat,Pitfall,SLP,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,A,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,A,Pre-treat,Pitfall,SLP,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,11,D,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,A,Pre-treat,Pitfall,SLP,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,A,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,A,Pre-treat,Pitfall,SLP,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,C,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,12,D,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,B,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,C,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,13,D,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,14,A,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,14,A,Pre-treat,Pitfall,LMN,Aphaenogaster,rudis,1,Worker,changed from fulva (original ID by SLP),0,NA,NA
4,DF,2009-09-11,9,11,2009,254,14,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,14,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,14,D,Pre-treat,Pitfall,SLP,Camponotus,castaneus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,15,A,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,15,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
4,DF,2009-09-11,9,11,2009,254,15,C,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,15,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,15,D,Pre-treat,Pitfall,SLP,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,A,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,A,Pre-treat,Pitfall,KLS,Prenolepis,imparis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,B,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,C,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,C,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,C,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,D,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,1,D,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,11,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,B,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,83,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,C,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,C,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,C,Pre-treat,Pitfall,KLS,Prenolepis,imparis,23,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,D,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,D,Pre-treat,Pitfall,KLS,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,2,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,10,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,A,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,C,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,C,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,D,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,3,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,20,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,5,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,A,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,B,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,21,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,C,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,C,Pre-treat,Pitfall,KLS,Prenolepis,imparis,17,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,4,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,6,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,10,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,C,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,C,Pre-treat,Pitfall,KLS,Prenolepis,imparis,13,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,D,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,5,D,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,A,Pre-treat,Pitfall,KLS,Camponotus,castaneus,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,A,Pre-treat,Pitfall,KLS,Prenolepis,imparis,16,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,C,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,C,Pre-treat,Pitfall,KLS,Nylanderia,faisonensis,13,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,D,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,6,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,6,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,C,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,C,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,D,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,7,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,41,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,A,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,A,Pre-treat,Pitfall,KLS,Prenolepis,imparis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,C,Pre-treat,Pitfall,KLS,Myrmecina,americana,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,C,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,8,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,9,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,A,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,B,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,C,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,C,Pre-treat,Pitfall,KLS,Solenopsis,molesta,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,D,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,5,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,9,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,90,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,6,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,A,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,B,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,B,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,C,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,10,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,A,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,A,Pre-treat,Pitfall,KLS,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,B,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,5,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,B,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,2,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,B,Pre-treat,Pitfall,KLS,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,32,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,C,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,D,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,6,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,D,Pre-treat,Pitfall,KLS,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,D,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,11,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,A,Pre-treat,Pitfall,KLS,Aphaenogaster,carolinensis,5,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,A,Pre-treat,Pitfall,KLS,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,A,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,B,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,B,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,B,Pre-treat,Pitfall,KLS,Prenolepis,imparis,9,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,C,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,4,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,D,Pre-treat,Pitfall,KLS,Aphaenogaster,rudis,3,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,D,Pre-treat,Pitfall,KLS,Myrmecina,americana,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,D,Pre-treat,Pitfall,KLS,Nylanderia,faisonensis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,12,D,Pre-treat,Pitfall,KLS,Prenolepis,imparis,1,Worker,NA,0,NA,NA
5,DF,2009-10-02,10,2,2009,275,13,A,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
5,DF,2009-10-02,10,2,2009,275,13,B,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
5,DF,2009-10-02,10,2,2009,275,13,C,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
5,DF,2009-10-02,10,2,2009,275,13,D,Pre-treat,Pitfall,NA,NA,NA,0,NA,NA,NA,NA,NA
