block,plot,species,treatment,contacts,year
C,C7,Agrostis,dry,22,1994
C,C7,Anthoxanthum odoratum,dry,1,1994
C,C7,Anthyllis vulneraria,dry,2,1994
C,C7,Briza media,dry,6,1994
C,C7,Campanula rotundifolia,dry,1,1994
C,C7,Carex caryophyllea,dry,3,1994
C,C7,Carex flacca,dry,22,1994
C,C7,Carex panicea,dry,34,1994
C,C7,Centaurea nigra,dry,12,1994
C,C7,Danthonia decumbens,dry,4,1994
C,C7,Festuca ovina,dry,61,1994
C,C7,Festuca rubra,dry,1,1994
C,C7,Galium sterneri,dry,4,1994
C,C7,Helianthemum nummularium,dry,4,1994
C,C7,Helictotrichon pratense,dry,5,1994
C,C7,Hieracium spp.,dry,3,1994
C,C7,Koeleria macrantha,dry,9,1994
C,C7,Linum catharticum,dry,3,1994
C,C7,Lotus corniculatus,dry,7,1994
C,C7,Pimpinella saxifraga,dry,2,1994
C,C7,Sanguisorba minor,dry,4,1994
C,C7,Scabiosa columbaria,dry,2,1994
C,C7,Thymus polytrichus,dry,3,1994
C,C8,Agrostis,wet,32,1994
C,C8,Anthoxanthum odoratum,wet,2,1994
C,C8,Campanula rotundifolia,wet,1,1994
C,C8,Carex caryophyllea,wet,2,1994
C,C8,Carex flacca,wet,19,1994
C,C8,Carex panicea,wet,20,1994
C,C8,Carex pulicaris,wet,26,1994
C,C8,Danthonia decumbens,wet,6,1994
C,C8,Festuca ovina,wet,109,1994
C,C8,Helianthemum nummularium,wet,3,1994
C,C8,Helictotrichon pratense,wet,18,1994
C,C8,Helictotrichon pubescens,wet,7,1994
C,C8,Hypericum pulchrum,wet,2,1994
C,C8,Koeleria macrantha,wet,4,1994
C,C8,Lotus corniculatus,wet,17,1994
C,C8,Plantago lanceolata,wet,1,1994
C,C8,Potentilla erecta,wet,20,1994
C,C8,Sanguisorba minor,wet,14,1994
C,C8,Viola riviniana,wet,2,1994
D,D1,Agrostis,warm,35,1994
D,D1,Anthoxanthum odoratum,warm,4,1994
D,D1,Briza media,warm,1,1994
D,D1,Campanula rotundifolia,warm,11,1994
D,D1,Carex caryophyllea,warm,1,1994
D,D1,Carex flacca,warm,24,1994
D,D1,Carex panicea,warm,1,1994
D,D1,Carex pulicaris,warm,10,1994
D,D1,Danthonia decumbens,warm,3,1994
D,D1,Festuca ovina,warm,25,1994
D,D1,Helianthemum nummularium,warm,2,1994
D,D1,Helictotrichon pratense,warm,4,1994
D,D1,Hypericum pulchrum,warm,1,1994
D,D1,Koeleria macrantha,warm,4,1994
D,D1,Linum catharticum,warm,3,1994
D,D1,Lotus corniculatus,warm,5,1994
D,D1,Sanguisorba minor,warm,3,1994
D,D1,Scabiosa columbaria,warm,1,1994
D,D1,Viola riviniana,warm,2,1994
D,D3,Agrostis,control,30,1994
D,D3,Campanula rotundifolia,control,5,1994
D,D3,Carex caryophyllea,control,2,1994
D,D3,Carex flacca,control,20,1994
D,D3,Carex panicea,control,14,1994
D,D3,Carex pulicaris,control,1,1994
D,D3,Danthonia decumbens,control,3,1994
D,D3,Festuca ovina,control,25,1994
D,D3,Helictotrichon pratense,control,1,1994
D,D3,Hypericum pulchrum,control,5,1994
D,D3,Koeleria macrantha,control,3,1994
D,D3,Pimpinella saxifraga,control,1,1994
D,D3,Potentilla erecta,control,5,1994
D,D3,Sanguisorba minor,control,4,1994
D,D3,Viola riviniana,control,5,1994
D,D4,Agrostis,dry,59,1994
D,D4,Anthoxanthum odoratum,dry,17,1994
D,D4,Briza media,dry,2,1994
D,D4,Carex caryophyllea,dry,16,1994
D,D4,Carex flacca,dry,46,1994
D,D4,Carex panicea,dry,30,1994
D,D4,Carex pulicaris,dry,9,1994
D,D4,Dactylis glomerata,dry,11,1994
D,D4,Danthonia decumbens,dry,1,1994
D,D4,Festuca ovina,dry,79,1994
D,D4,Helictotrichon pratense,dry,5,1994
D,D4,Hypericum pulchrum,dry,6,1994
D,D4,Koeleria macrantha,dry,3,1994
D,D4,Linum catharticum,dry,4,1994
D,D4,Lotus corniculatus,dry,2,1994
D,D4,Pimpinella saxifraga,dry,1,1994
D,D4,Sanguisorba minor,dry,42,1994
D,D4,Scabiosa columbaria,dry,4,1994
D,D4,Thymus polytrichus,dry,10,1994
D,D6,Agrostis,warm wet,19,1994
D,D6,Anthoxanthum odoratum,warm wet,3,1994
D,D6,Briza media,warm wet,1,1994
D,D6,Campanula rotundifolia,warm wet,1,1994
D,D6,Carex caryophyllea,warm wet,4,1994
D,D6,Carex flacca,warm wet,11,1994
D,D6,Carex panicea,warm wet,18,1994
D,D6,Centaurea nigra,warm wet,2,1994
D,D6,Festuca ovina,warm wet,25,1994
D,D6,Helictotrichon pratense,warm wet,3,1994
D,D6,Hypericum pulchrum,warm wet,1,1994
D,D6,Lotus corniculatus,warm wet,9,1994
D,D6,Pimpinella saxifraga,warm wet,1,1994
D,D6,Potentilla erecta,warm wet,1,1994
D,D6,Sanguisorba minor,warm wet,6,1994
D,D6,Scabiosa columbaria,warm wet,3,1994
D,D7,Agrostis,wet,37,1994
D,D7,Anthoxanthum odoratum,wet,4,1994
D,D7,Briza media,wet,1,1994
D,D7,Campanula rotundifolia,wet,2,1994
D,D7,Carex flacca,wet,35,1994
D,D7,Carex hostiana,wet,3,1994
D,D7,Carex panicea,wet,27,1994
D,D7,Carex pulicaris,wet,2,1994
D,D7,Danthonia decumbens,wet,5,1994
D,D7,Festuca ovina,wet,68,1994
D,D7,Helictotrichon pratense,wet,13,1994
D,D7,Hypericum pulchrum,wet,6,1994
D,D7,Koeleria macrantha,wet,16,1994
D,D7,Linum catharticum,wet,1,1994
D,D7,Plantago lanceolata,wet,1,1994
D,D7,Potentilla erecta,wet,12,1994
D,D7,Sanguisorba minor,wet,18,1994
D,D7,Scabiosa columbaria,wet,15,1994
D,D9,Agrostis,warm dry,41,1994
D,D9,Anthoxanthum odoratum,warm dry,13,1994
D,D9,Campanula rotundifolia,warm dry,6,1994
D,D9,Carex caryophyllea,warm dry,1,1994
D,D9,Carex flacca,warm dry,26,1994
D,D9,Carex panicea,warm dry,53,1994
D,D9,Carex pulicaris,warm dry,22,1994
D,D9,Centaurea nigra,warm dry,4,1994
D,D9,Festuca ovina,warm dry,61,1994
D,D9,Festuca rubra,warm dry,2,1994
D,D9,Helictotrichon pratense,warm dry,12,1994
D,D9,Hypericum pulchrum,warm dry,1,1994
D,D9,Koeleria macrantha,warm dry,1,1994
D,D9,Linum catharticum,warm dry,1,1994
D,D9,Lotus corniculatus,warm dry,6,1994
D,D9,Luzula campestris,warm dry,2,1994
D,D9,Pimpinella saxifraga,warm dry,2,1994
D,D9,Potentilla erecta,warm dry,9,1994
D,D9,Sanguisorba minor,warm dry,6,1994
D,D9,Scabiosa columbaria,warm dry,6,1994
E,E1,Agrostis,warm wet,30,1994
E,E1,Briza media,warm wet,2,1994
E,E1,Campanula rotundifolia,warm wet,1,1994
E,E1,Carex caryophyllea,warm wet,2,1994
E,E1,Carex flacca,warm wet,29,1994
E,E1,Carex hostiana,warm wet,1,1994
E,E1,Carex panicea,warm wet,15,1994
E,E1,Carex pulicaris,warm wet,9,1994
E,E1,Centaurea nigra,warm wet,2,1994
E,E1,Danthonia decumbens,warm wet,5,1994
E,E1,Festuca ovina,warm wet,50,1994
E,E1,Helianthemum nummularium,warm wet,14,1994
E,E1,Helictotrichon pratense,warm wet,10,1994
E,E1,Hypericum pulchrum,warm wet,2,1994
E,E1,Koeleria macrantha,warm wet,3,1994
E,E1,Linum catharticum,warm wet,1,1994
E,E1,Lotus corniculatus,warm wet,1,1994
E,E1,Potentilla erecta,warm wet,2,1994
E,E1,Sanguisorba minor,warm wet,3,1994
E,E1,Succisa pratensis,warm wet,1,1994
E,E1,Viola riviniana,warm wet,3,1994
E,E3,Agrostis,dry,38,1994
E,E3,Campanula rotundifolia,dry,1,1994
E,E3,Carex flacca,dry,37,1994
E,E3,Carex panicea,dry,20,1994
E,E3,Carex pulicaris,dry,5,1994
E,E3,Centaurea nigra,dry,1,1994
E,E3,Festuca ovina,dry,64,1994
E,E3,Helianthemum nummularium,dry,23,1994
E,E3,Helictotrichon pratense,dry,5,1994
E,E3,Lotus corniculatus,dry,8,1994
E,E3,Potentilla erecta,dry,7,1994
E,E3,Sanguisorba minor,dry,6,1994
E,E3,Scabiosa columbaria,dry,5,1994
E,E3,Succisa pratensis,dry,6,1994
E,E3,Thymus polytrichus,dry,3,1994
E,E3,Viola riviniana,dry,11,1994
E,E4,Agrostis,control,49,1994
E,E4,Anthoxanthum odoratum,control,9,1994
E,E4,Briza media,control,6,1994
E,E4,Campanula rotundifolia,control,3,1994
E,E4,Carex caryophyllea,control,3,1994
E,E4,Carex flacca,control,41,1994
E,E4,Carex panicea,control,35,1994
E,E4,Carex pulicaris,control,12,1994
E,E4,Danthonia decumbens,control,4,1994
E,E4,Festuca ovina,control,65,1994
E,E4,Helictotrichon pratense,control,6,1994
E,E4,Hypericum pulchrum,control,1,1994
E,E4,Koeleria macrantha,control,2,1994
E,E4,Lotus corniculatus,control,1,1994
E,E4,Mercurialis perennis,control,1,1994
E,E4,Potentilla erecta,control,8,1994
E,E4,Sanguisorba minor,control,21,1994
E,E4,Scabiosa columbaria,control,11,1994
E,E4,Viola riviniana,control,3,1994
E,E6,Agrostis,wet,40,1994
E,E6,Anthoxanthum odoratum,wet,3,1994
E,E6,Briza media,wet,2,1994
E,E6,Carex caryophyllea,wet,2,1994
E,E6,Carex flacca,wet,27,1994
E,E6,Carex hostiana,wet,4,1994
E,E6,Carex panicea,wet,16,1994
E,E6,Carex pulicaris,wet,2,1994
E,E6,Centaurea nigra,wet,1,1994
E,E6,Cirsium palustre,wet,1,1994
E,E6,Festuca ovina,wet,40,1994
E,E6,Helictotrichon pratense,wet,5,1994
E,E6,Holcus lanatus,wet,1,1994
E,E6,Hypericum pulchrum,wet,1,1994
E,E6,Koeleria macrantha,wet,2,1994
E,E6,Linum catharticum,wet,1,1994
E,E6,Lotus corniculatus,wet,4,1994
E,E6,Potentilla erecta,wet,5,1994
E,E6,Sanguisorba minor,wet,6,1994
E,E6,Succisa pratensis,wet,1,1994
E,E7,Agrostis,warm,45,1994
E,E7,Anthoxanthum odoratum,warm,10,1994
E,E7,Briza media,warm,2,1994
E,E7,Campanula rotundifolia,warm,4,1994
E,E7,Carex caryophyllea,warm,1,1994
E,E7,Carex flacca,warm,14,1994
E,E7,Carex panicea,warm,30,1994
E,E7,Carex pulicaris,warm,1,1994
E,E7,Centaurea nigra,warm,1,1994
E,E7,Deschampsia cespitosa,warm,1,1994
E,E7,Festuca ovina,warm,59,1994
E,E7,Helictotrichon pratense,warm,6,1994
E,E7,Hypericum pulchrum,warm,2,1994
E,E7,Koeleria macrantha,warm,13,1994
E,E7,Lotus corniculatus,warm,4,1994
E,E7,Pimpinella saxifraga,warm,1,1994
E,E7,Plantago lanceolata,warm,1,1994
E,E7,Potentilla erecta,warm,5,1994
E,E7,Sanguisorba minor,warm,6,1994
E,E7,Scabiosa columbaria,warm,3,1994
E,E8,Agrostis,warm dry,50,1994
E,E8,Anthoxanthum odoratum,warm dry,11,1994
E,E8,Campanula rotundifolia,warm dry,2,1994
E,E8,Carex caryophyllea,warm dry,7,1994
E,E8,Carex flacca,warm dry,31,1994
E,E8,Carex panicea,warm dry,25,1994
E,E8,Carex pulicaris,warm dry,3,1994
E,E8,Danthonia decumbens,warm dry,2,1994
E,E8,Festuca ovina,warm dry,83,1994
E,E8,Helictotrichon pratense,warm dry,5,1994
E,E8,Koeleria macrantha,warm dry,5,1994
E,E8,Lotus corniculatus,warm dry,1,1994
E,E8,Luzula campestris,warm dry,1,1994
E,E8,Potentilla erecta,warm dry,3,1994
E,E8,Sanguisorba minor,warm dry,5,1994
E,E8,Scabiosa columbaria,warm dry,1,1994
A,A1,Agrostis,warm,11,1995
A,A1,Anthoxanthum odoratum,warm,3,1995
A,A1,Carex caryophyllea,warm,3,1995
A,A1,Carex flacca,warm,26,1995
A,A1,Festuca ovina,warm,40,1995
A,A1,Helianthemum nummularium,warm,20,1995
A,A1,Helictotrichon pratense,warm,11,1995
A,A1,Hypericum pulchrum,warm,1,1995
A,A1,Koeleria macrantha,warm,8,1995
A,A1,Lotus corniculatus,warm,7,1995
A,A1,Scabiosa columbaria,warm,3,1995
A,A3,Agrostis,control,22,1995
A,A3,Anthoxanthum odoratum,control,6,1995
A,A3,Briza media,control,1,1995
A,A3,Campanula rotundifolia,control,6,1995
A,A3,Carex flacca,control,29,1995
A,A3,Carex panicea,control,11,1995
A,A3,Carex pulicaris,control,2,1995
A,A3,Cirsium palustre,control,1,1995
A,A3,Festuca ovina,control,32,1995
A,A3,Galium sterneri,control,2,1995
A,A3,Helictotrichon pratense,control,19,1995
A,A3,Koeleria macrantha,control,5,1995
A,A3,Linum catharticum,control,2,1995
A,A3,Lotus corniculatus,control,6,1995
A,A3,Plantago lanceolata,control,2,1995
A,A3,Potentilla erecta,control,4,1995
A,A3,Sanguisorba minor,control,9,1995
A,A3,Scabiosa columbaria,control,4,1995
A,A3,Viola riviniana,control,2,1995
A,A6,Agrostis,dry,11,1995
A,A6,Carex flacca,dry,24,1995
A,A6,Carex panicea,dry,4,1995
A,A6,Carex pulicaris,dry,1,1995
A,A6,Danthonia decumbens,dry,2,1995
A,A6,Festuca ovina,dry,12,1995
A,A6,Galium sterneri,dry,3,1995
A,A6,Helianthemum nummularium,dry,13,1995
A,A6,Helictotrichon pratense,dry,7,1995
A,A6,Koeleria macrantha,dry,1,1995
A,A6,Lotus corniculatus,dry,8,1995
A,A6,Sanguisorba minor,dry,5,1995
A,A6,Scabiosa columbaria,dry,17,1995
A,A6,Thymus polytrichus,dry,1,1995
A,A6,Viola riviniana,dry,1,1995
A,A7,Agrostis,warm wet,90,1995
A,A7,Anthoxanthum odoratum,warm wet,3,1995
A,A7,Campanula rotundifolia,warm wet,2,1995
A,A7,Carex caryophyllea,warm wet,1,1995
A,A7,Carex flacca,warm wet,24,1995
A,A7,Carex panicea,warm wet,24,1995
A,A7,Danthonia decumbens,warm wet,3,1995
A,A7,Festuca ovina,warm wet,56,1995
A,A7,Festuca rubra,warm wet,1,1995
A,A7,Galium sterneri,warm wet,1,1995
A,A7,Galium verum,warm wet,2,1995
A,A7,Helianthemum nummularium,warm wet,5,1995
A,A7,Helictotrichon pratense,warm wet,3,1995
A,A7,Hypericum pulchrum,warm wet,1,1995
A,A7,Koeleria macrantha,warm wet,3,1995
A,A7,Plantago lanceolata,warm wet,1,1995
A,A7,Potentilla erecta,warm wet,27,1995
A,A7,Sanguisorba minor,warm wet,17,1995
A,A8,Agrostis,warm dry,18,1995
A,A8,Campanula rotundifolia,warm dry,3,1995
A,A8,Carex caryophyllea,warm dry,1,1995
A,A8,Carex flacca,warm dry,32,1995
A,A8,Carex panicea,warm dry,2,1995
A,A8,Carex pulicaris,warm dry,1,1995
A,A8,Cirsium palustre,warm dry,4,1995
A,A8,Danthonia decumbens,warm dry,1,1995
A,A8,Festuca ovina,warm dry,54,1995
A,A8,Galium sterneri,warm dry,3,1995
A,A8,Helictotrichon pratense,warm dry,8,1995
A,A8,Koeleria macrantha,warm dry,10,1995
A,A8,Linum catharticum,warm dry,1,1995
A,A8,Potentilla erecta,warm dry,4,1995
A,A8,Sanguisorba minor,warm dry,2,1995
A,A8,Scabiosa columbaria,warm dry,7,1995
A,A8,Thymus polytrichus,warm dry,3,1995
A,A8,Viola riviniana,warm dry,3,1995
A,A9,Agrostis,wet,16,1995
A,A9,Anthoxanthum odoratum,wet,3,1995
A,A9,Carex caryophyllea,wet,6,1995
A,A9,Carex flacca,wet,50,1995
A,A9,Carex panicea,wet,4,1995
