Period,Year,Month,Creek,Nutrient,Branch,Fish,Transect,Habitat,Rep,num Fabricia sabella,num Manayunkia aestuarina,num Nereis diversicolor,num Eteone heteropoda,num Captiella capitata,num Streblospio benedicti,num Polydora cornuta,num Pygospio elegans,num Marenzelleria viridis,num Hobsonia florida,num Orbiniidae,num Total polychaetes,num Paranais litoralis,num Tubificoides benedeni,num Tubificoides wasselli,num Tubificoides brownae,num Monopylephorus sp.,num Psammoryctides sp.,num Cernosvitoviella immota,num other_enchytraeids,num Unidentified oligochaetes,Total Oligochaetes,num amphipods,num talitrid amphipods,num Orchestia grillus,num gamarid amphipods,Total amphipods,num Littorophiloscia vittata,num Erichsonella attenuata,num Edotea triloba,num Hargeria rapax,num Ceratopogonidae,num Tabanidae,num Dolichopodidae,num Insect,Total Insect,num Isopoda,num Cyathura polita,Total Isopoda,num mussels,num Geukensia demissa,num Bivalve,Total Bivalve,num Melampus b.,num Gastropoda,num Mites,num Ostracod,num Springtail,num Psuedoscorpion,num Spider,num Turbellaria,num flatworm,total flatworm,num Nematostella vectensis,num  Actiniaria,total  Actiniaria,num Nemertea,num Oxyurostylis smithi,num unknown,num Limulus
Before,2003,August,Sweeney,Fertilized,L,Ambient,2,CW,1,2,192,0,0,1,0,0,0,0,0,0,195,34,0,0,0,0,0,23,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,3,CW,1,1,15,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,74,12,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,1,CW,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,2,CW,1,7,50,0,0,0,0,0,0,0,0,0,57,16,0,0,0,0,0,72,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,3,CW,1,3,4,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,1,CW,1,0,3,2,0,0,0,4,0,0,0,0,9,53,0,0,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,2,CW,1,1,4,0,0,0,0,1,2,0,0,0,8,123,0,0,0,0,0,42,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,3,CW,1,6,15,0,0,0,1,0,0,0,0,0,22,4,0,2,0,0,0,40,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,1,MF,1,0,3,7,1,0,4,0,0,0,0,0,15,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,2,MF,1,0,0,2,4,0,38,3,0,0,0,0,47,0,0,68,8,3,0,0,0,0,79,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,3,MF,1,0,0,4,2,0,2,3,0,0,0,0,11,0,0,0,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,1,MF,1,0,1,5,5,0,30,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,2,MF,1,0,12,0,1,0,37,0,0,0,0,0,50,0,1,38,4,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,3,MF,1,0,0,3,0,0,32,0,0,0,1,0,36,0,0,7,0,18,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,1,MF,1,4,15,3,0,0,51,0,0,0,0,0,73,10,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,2,MF,1,2,0,5,1,0,10,0,0,0,0,0,18,21,0,12,0,5,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,3,MF,1,0,24,0,0,0,0,1,0,0,0,0,25,4,0,0,0,0,0,60,18,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,1,MF,1,0,0,16,1,0,6,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,2,MF,1,0,1,19,0,0,4,2,0,0,0,0,26,0,0,0,19,1,0,1,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,3,MF,1,0,0,31,0,0,8,0,0,0,0,0,39,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,1,MF,1,0,0,26,0,0,2,18,0,0,0,0,46,1,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,2,MF,1,0,0,7,0,0,0,7,0,0,0,0,14,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,3,MF,1,0,1,5,0,0,2,10,0,0,0,0,18,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,1,MF,1,0,0,3,0,0,0,4,0,0,0,0,7,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,2,MF,1,0,1,7,0,0,3,4,0,0,0,0,15,33,0,1,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,3,MF,1,0,2,6,0,0,1,12,5,0,0,0,26,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,1,SP,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,2,SP,1,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,3,SP,1,0,11,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,1,SP,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,2,SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,3,SP,1,53,3,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,1,SP,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,2,SP,1,0,7,6,0,4,1,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,3,SP,1,1,2,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,1,SP,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,2,SP,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,3,SP,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,7,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,1,SP,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,2,SP,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,3,SP,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,1,SP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,2,SP,1,7,10,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5,8,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,3,SP,1,1,6,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,3,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,1,SSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,2,SSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,1,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,3,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,1,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,2,SSA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,3,SSA,1,0,4,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,5,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,1,SSA,1,1,0,0,0,0,0,0,0,0,0,0,1,64,0,5,0,0,0,14,20,0,103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,2,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,3,SSA,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,1,SSA,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,2,SSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,3,SSA,1,21,20,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,1,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,2,SSA,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Sweeney,Fertilized,L,Ambient,3,SSA,1,4,22,0,0,1,0,0,0,0,0,0,27,1,0,1,0,0,0,61,45,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,1,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,2,SSA,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Sweeney,Fertilized,L,Ambient,3,SSA,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,1,TSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,49,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,2,TSA,1,0,17,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,36,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,3,TSA,1,4,10,0,40,4,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,1,TSA,1,3,7,1,0,1,2,0,0,0,0,0,14,2,0,0,0,0,0,11,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,2,TSA,1,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,3,TSA,1,0,3,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,67,55,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,1,TSA,1,0,44,0,0,0,0,0,0,0,0,0,44,4,0,1,0,0,0,24,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,2,TSA,1,0,43,0,0,0,1,0,0,0,0,0,44,19,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,3,TSA,1,1,14,0,0,1,1,0,0,0,0,0,17,3,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,1,TSA,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,2,TSA,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,34,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
