Transect, Plot, Tag number, Height, Diameter, Species,Comments, Start Date
6,9,3,10,0.2,MICRAC,Same as 4,1/1/1989
6,9,4,16,0.39,MICRAC,Same as 3,1/1/1989
6,9,5,52,1.15,MICRAC,Survival,1/1/1989
6,9,6,16,0.47,FICSIN,,1/1/1989
6,9,7,32.5,0.4,MICRAC,,1/1/1989
6,9,8,20,0.55,CYRRAC,,1/1/1989
6,15,1,25,0.23,CYRRAC,,1/1/1989
6,15,2,45,0.73,CYRRAC,,1/1/1989
6,15,3,10,0.16,CYRRAC,,1/1/1989
6,15,4,28,0.41,CYRRAC,,1/1/1989
6,15,5,18,0.33,CYRRAC,,1/1/1989
6,15,6,29.5,0.31,CYRRAC,,1/1/1989
7,5,1,70,0.7,EUPPOR,Other stem: Diam. = .87,1/1/1989
7,14,1,27,0.28,MICRAC,,1/1/1989
7,14,2,28,0.42,MICRAC,,1/1/1989
7,14,3,36,0.44,MICRAC,,1/1/1989
7,14,4,42,0.5,MICRAC,,1/1/1989
7,14,5,45,0.44,CYRRAC,,1/1/1989
7,14,6,20.5,0.34,CYRRAC,,1/1/1989
3,6,1,47,0.43,CECSCH,,4/27/1989
3,6,2,19,0.2,CECSCH,,4/27/1989
3,6,3,30,0.32,MICRAC,,4/27/1989
3,6,4,21,0.21,CECSCH,,4/27/1989
3,6,5,52,0.31,MICRAC,,4/27/1989
3,6,6,20,0.34,INGLAU,,4/27/1989
3,6,7,58,0.76,INGLAU,,4/27/1989
3,6,8,0,0,CECSCH,,4/27/1989
3,6,9,0,0,CECSCH,,4/27/1989
3,6,10,41,0.32,CECSCH,,4/27/1989
3,6,11,0,0,CECSCH,,4/27/1989
3,6,12,30,0.4,MICRAC,,4/27/1989
3,6,13,35,0.3,MICRAC,,4/27/1989
3,6,14,14,0.16,HETCYM,,4/27/1989
3,6,15,32,0.38,MICRAC,,4/27/1989
3,6,16,50,0.22,MICRAC,,4/27/1989
3,6,17,125,1.71,CECSCH,,4/27/1989
6,9,1,48,0.8,CYRRAC,,4/27/1989
6,9,2,16,0.28,MICRAC,,4/27/1989
6,9,3,10.5,0.18,MICRAC,,4/27/1989
6,9,4,20.5,0.43,MICRAC,,4/27/1989
6,9,5,60,1.42,MICTET,,4/27/1989
6,9,6,17.3,0.41,FICSIN,,4/27/1989
6,9,7,36.5,0.39,MICTET,,4/27/1989
6,9,8,20,0.44,CYRRAC,,4/27/1989
6,15,1,24,0.3,CYRRAC,,4/27/1989
6,15,2,52,0.92,CYRRAC,,4/27/1989
6,15,3,11.5,0.23,CYRRAC,,4/27/1989
6,15,4,33.5,0.48,CYRRAC,,4/27/1989
6,15,5,20,0.35,CYRRAC,,4/27/1989
6,15,6,34,0.35,CYRRAC,,4/27/1989
7,5,1,75,1.75,EUPATO,,4/27/1989
7,5,2,13,0.3,MICRAC,,4/27/1989
7,5,3,27,0.81,CECSCH,,4/27/1989
7,14,1,35,0.7,MICRAC,Rocky,4/27/1989
7,14,2,35,0.68,MICRAC,Rocky,4/27/1989
7,14,3,41,0.57,MICRAC,Rocky,4/27/1989
7,14,4,42,0.5,MICRAC,Rocky,4/27/1989
7,14,5,57,0.73,CYRRAC,Rocky,4/27/1989
7,14,6,25,0.49,CYRRAC,Rocky,4/27/1989
3,12,1,42,0.4,MICRAC,Below wood,4/27/1989
3,12,2,22,0.29,CECSCH,Gully,4/27/1989
3,12,3,25,0.2,MICRAC,Gully,4/27/1989
3,12,4,27.5,0.34,MICRAC,Gully,4/27/1989
3,12,5,17,0.25,CECSCH,Gully,4/27/1989
3,12,6,51,0.9,CECSCH,Gully,4/27/1989
3,12,7,170,3.52,PHYICO,Gully,4/27/1989
3,12,8,73,1.1,CECSCH,Gully,4/27/1989
3,12,9,180,4.81,PHYICO,,4/27/1989
4,7,1,22,0.44,MICRAC,,4/27/1989
4,7,2,13,0.15,MICRAC,,4/27/1989
4,7,3,14,0.14,MICRAC,,4/27/1989
5,2,1,27,0.4,CYRRAC,,4/27/1989
5,2,2,15,0.2,MICRAC,,4/27/1989
5,2,3,15.5,0.29,MICRAC,,4/27/1989
5,2,4,74,0.86,MICRAC,,4/27/1989
5,9,1,13,0.25,CECSCH,,4/27/1989
5,9,2,24.5,0.19,MICRAC,,4/27/1989
5,9,3,27,0.24,MICRAC,,4/27/1989
5,9,4,28,0.24,MICRAC,,4/27/1989
5,9,5,21.5,0.33,MICRAC,,4/27/1989
5,9,6,20,0.2,MICRAC,,4/27/1989
5,9,7,27,0.26,MICRAC,,4/27/1989
5,9,8,100,1.14,PSYBER,,4/27/1989
5,9,9,10,0.18,CECSCH,,4/27/1989
5,9,10,50,0.4,MICRAC,,4/27/1989
5,9,11,10,0.14,MICRAC,,4/27/1989
5,9,12,10,0.16,MICRAC,,4/27/1989
5,9,13,20,0.22,MICRAC,,4/27/1989
4,21,1,0,0,PHYICO,Dead,4/27/1989
4,21,2,15,0.41,CECSCH,,4/27/1989
3,6,11,,,CECSCH,Not found;  No data,9/8/1989
3,12,1,,,MICRAC,Not found;  No data,9/8/1989
3,12,5,,,CECSCH,Not found;  No data,9/8/1989
3,12,6,,,CECSCH,Not found;  No data,9/8/1989
3,12,8,,,CECSCH,Not found;  No data,9/8/1989
3,12,9,,,PHYICO,Not found;  No data,9/8/1989
7,2,1,15,0.68,PSYBER,,9/8/1989
7,5,1,61,0.8,EUPPOR,,9/8/1989
7,5,2,17,0.42,MICRAC,,9/8/1989
7,5,3,32,0.62,CECSCH,,9/8/1989
7,14,1,40,0.37,MICRAC,,9/8/1989
7,14,2,38,0.4,MICRAC,,9/8/1989
7,14,3,40,0.5,MICRAC,,9/8/1989
7,14,4,37,0.52,MICRAC,,9/8/1989
7,14,5,70,0.59,CYRRAC,,9/8/1989
7,14,6,15,0.41,CYRRAC,,9/8/1989
6,9,1,71,0.9,CYRRAC,,9/8/1989
6,9,2,19,0.28,MICRAC,,9/8/1989
6,9,3,11,0.22,MICRAC,,9/8/1989
6,9,4,26,0.49,MICRAC,,9/8/1989
6,9,5,75,1.4,MICTET,,9/8/1989
6,9,6,20,0.4,FICSIN,,9/8/1989
6,9,7,42,0.39,MICTET,,9/8/1989
6,9,8,36,0.83,CYRRAC,,9/8/1989
6,9,9,57,0.62,MICRAC,,9/8/1989
6,15,1,18,0.25,CYRRAC,,9/8/1989
6,15,2,55,0.95,CYRRAC,,9/8/1989
6,15,3,14,0.21,CYRRAC,,9/8/1989
6,15,4,35,0.57,CYRRAC,,9/8/1989
6,15,5,20,0.35,CYRRAC,,9/8/1989
6,15,6,35,0.32,CYRRAC,,9/8/1989
5,2,1,24,0.39,CYRRAC,,9/8/1989
5,2,2,17,0.21,MICRAC,,9/8/1989
5,2,3,16,0.3,MICRAC,,9/8/1989
5,2,4,74,0.84,MICRAC,,9/8/1989
5,9,1,13,0.22,CECSCH,,9/8/1989
5,9,2,41,0.27,MICRAC,,9/8/1989
5,9,3,37,0.22,MICRAC,,9/8/1989
5,9,4,40,0.3,MICRAC,,9/8/1989
5,9,5,36,0.32,MICRAC,,9/8/1989
5,9,6,33,0.28,MICRAC,,9/8/1989
5,9,7,40,0.3,MICRAC,,9/8/1989
5,9,8,152,1.95,PSYBER,,9/8/1989
5,9,9,,,MICRAC,Dead,9/8/1989
5,9,10,54,0.47,MICRAC,,9/8/1989
5,9,11,35,0.27,MICRAC,,9/8/1989
5,9,12,26,0.19,MICRAC,,9/8/1989
5,9,13,21,0.19,MICRAC,,9/8/1989
5,9,14,25,0.27,MICRAC,,9/8/1989
5,9,15,47,0.33,MICRAC,,9/8/1989
4,21,1,26,0.44,CECSCH,,9/8/1989
4,7,1,28,0.29,MICRAC,,9/8/1989
4,7,2,13,0.2,MICRAC,,9/8/1989
4,7,3,19,0.21,MICRAC,,9/8/1989
3,6,1,43,0.42,CECSCH,,9/8/1989
3,6,2,0,0,CECSCH,Dead,9/8/1989
3,6,3,32,0.35,MICRAC,,9/8/1989
3,6,4,0,0,CECSCH,Dead,9/8/1989
3,6,5,85,0.5,MICRAC,,9/8/1989
3,6,6,19,0.2,INGLAU,,9/8/1989
3,6,7,73,0.6,INGLAU,,9/8/1989
3,6,8,,,CECSCH,Not found;  No data,9/8/1989
3,6,9,,,CECSCH,Not found;  No data,9/8/1989
3,6,10,46,0.35,CECSCH,,9/8/1989
3,6,12,67,0.7,MICRAC,,9/8/1989
3,6,13,73,0.51,MICRAC,,9/8/1989
3,6,14,19,0.15,HETCYM,,9/8/1989
3,6,15,71,0.47,MICRAC,,9/8/1989
3,6,16,66,0.32,MICRAC,,9/8/1989
3,6,17,144,2.1,CECSCH,,9/8/1989
3,12,2,26,0.27,CECSCH,,9/8/1989
3,12,3,37,0.31,MICRAC,,9/8/1989
3,12,4,38,0.4,MICRAC,,9/8/1989
3,12,7,0,0,PHYICO,Dead,9/8/1989
