DBCODE,ENTITY,WATERSHED,PLOTID,YEAR,PLOT,SPECIES,STRATUM,COVER,FREQ
TP041,4,WS10,"WS100006",1973,6,"ADBI",S,0.0,2
TP041,4,WS10,"WS100006",1973,6,"ANDE",S,0.0,2
TP041,4,WS10,"WS100006",1973,6,"BENE",S,2.0,11
TP041,4,WS10,"WS100006",1973,6,"CACH",M,10.0,0
TP041,4,WS10,"WS100006",1973,6,"CACH",S,9.0,13
TP041,4,WS10,"WS100006",1973,6,"CHME",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"CHUM",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"COLA",S,4.0,29
TP041,4,WS10,"WS100006",1973,6,"COME",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"CONU",S,8.0,9
TP041,4,WS10,"WS100006",1973,6,"GASH",S,43.0,78
TP041,4,WS10,"WS100006",1973,6,"GOOB",S,0.0,7
TP041,4,WS10,"WS100006",1973,6,"LIBO2",S,5.0,53
TP041,4,WS10,"WS100006",1973,6,"PSME",M,35.0,2
TP041,4,WS10,"WS100006",1973,6,"PYPI",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"RHMA",S,68.0,78
TP041,4,WS10,"WS100006",1973,6,"RUUR",S,0.0,2
TP041,4,WS10,"WS100006",1973,6,"THPL",M,10.0,7
TP041,4,WS10,"WS100006",1973,6,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"TSHE",M,0.0,2
TP041,4,WS10,"WS100006",1973,6,"VAHE",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"VISE",S,0.0,1
TP041,4,WS10,"WS100006",1973,6,"WHMO",S,0.0,2
TP041,4,WS10,"WS100006",1973,6,"XETE",S,3.0,4
TP041,4,WS10,"WS100007",1973,7,"ACCI",S,14.0,20
TP041,4,WS10,"WS100007",1973,7,"ACTR",S,0.0,2
TP041,4,WS10,"WS100007",1973,7,"ANDE",S,0.0,2
TP041,4,WS10,"WS100007",1973,7,"ANLY",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"BENE",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"CACH",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"CHME",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"COLA",S,3.0,27
TP041,4,WS10,"WS100007",1973,7,"COME",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"CONU",S,0.0,4
TP041,4,WS10,"WS100007",1973,7,"DIHO",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"GASH",S,24.0,49
TP041,4,WS10,"WS100007",1973,7,"GOOB",S,0.0,2
TP041,4,WS10,"WS100007",1973,7,"LIBO2",S,7.0,29
TP041,4,WS10,"WS100007",1973,7,"POMU",S,3.0,9
TP041,4,WS10,"WS100007",1973,7,"PSME",M,15.0,0
TP041,4,WS10,"WS100007",1973,7,"PYPI",S,0.0,2
TP041,4,WS10,"WS100007",1973,7,"RHMA",S,26.0,33
TP041,4,WS10,"WS100007",1973,7,"RUUR",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"SMRA",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"SYRE",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"TABR",M,0.0,2
TP041,4,WS10,"WS100007",1973,7,"THPL",M,45.0,4
TP041,4,WS10,"WS100007",1973,7,"TRLA2",S,1.0,11
TP041,4,WS10,"WS100007",1973,7,"TROV",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"TSHE",M,10.0,2
TP041,4,WS10,"WS100007",1973,7,"VISE",S,0.0,4
TP041,4,WS10,"WS100007",1973,7,"WHMO",S,0.0,1
TP041,4,WS10,"WS100007",1973,7,"XETE",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"ACCI",S,20.0,24
TP041,4,WS10,"WS100008",1973,8,"BENE",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"COLA",S,2.0,20
TP041,4,WS10,"WS100008",1973,8,"COME",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"GASH",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"GOOB",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"LIBO2",S,0.0,2
TP041,4,WS10,"WS100008",1973,8,"POMU",S,1.0,7
TP041,4,WS10,"WS100008",1973,8,"PSME",M,25.0,0
TP041,4,WS10,"WS100008",1973,8,"PYPI",S,0.0,4
TP041,4,WS10,"WS100008",1973,8,"RHMA",S,14.0,31
TP041,4,WS10,"WS100008",1973,8,"TABR",M,0.0,1
TP041,4,WS10,"WS100008",1973,8,"THPL",M,5.0,7
TP041,4,WS10,"WS100008",1973,8,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"TROV",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"TSHE",M,40.0,15
TP041,4,WS10,"WS100008",1973,8,"VAHE",S,0.0,2
TP041,4,WS10,"WS100008",1973,8,"VAPA",S,0.0,1
TP041,4,WS10,"WS100008",1973,8,"VISE",S,0.0,4
TP041,4,WS10,"WS100008",1973,8,"XETE",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"ACCI",S,15.0,27
TP041,4,WS10,"WS100009",1973,9,"ACMA",M,0.0,5
TP041,4,WS10,"WS100009",1973,9,"ACTR",S,0.0,2
TP041,4,WS10,"WS100009",1973,9,"ANDE",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"BENE",S,12.0,42
TP041,4,WS10,"WS100009",1973,9,"CACH",M,15.0,0
TP041,4,WS10,"WS100009",1973,9,"CACH",S,2.0,4
TP041,4,WS10,"WS100009",1973,9,"CHME",S,0.0,2
TP041,4,WS10,"WS100009",1973,9,"CHUM",S,0.0,4
TP041,4,WS10,"WS100009",1973,9,"COLA",S,1.0,7
TP041,4,WS10,"WS100009",1973,9,"CONU",S,36.0,44
TP041,4,WS10,"WS100009",1973,9,"DIHO",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"GASH",S,40.0,84
TP041,4,WS10,"WS100009",1973,9,"GOOB",S,0.0,7
TP041,4,WS10,"WS100009",1973,9,"HIAL",S,0.0,2
TP041,4,WS10,"WS100009",1973,9,"LIBO2",S,5.0,56
TP041,4,WS10,"WS100009",1973,9,"POMU",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"PSME",M,10.0,40
TP041,4,WS10,"WS100009",1973,9,"RHMA",S,16.0,29
TP041,4,WS10,"WS100009",1973,9,"ROGY",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"RUUR",S,1.0,2
TP041,4,WS10,"WS100009",1973,9,"TRLA2",S,0.0,9
TP041,4,WS10,"WS100009",1973,9,"TSHE",M,50.0,0
TP041,4,WS10,"WS100009",1973,9,"VAPA",S,0.0,1
TP041,4,WS10,"WS100009",1973,9,"VISE",S,0.0,9
TP041,4,WS10,"WS100009",1973,9,"XETE",S,5.0,16
TP041,4,WS10,"WS100010",1973,10,"ACCI",S,38.0,47
TP041,4,WS10,"WS100010",1973,10,"ACMA",M,3.0,0
TP041,4,WS10,"WS100010",1973,10,"ACTR",S,1.0,9
TP041,4,WS10,"WS100010",1973,10,"ADBI",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"ANDE",S,1.0,13
TP041,4,WS10,"WS100010",1973,10,"ANLY",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"BENE",S,4.0,18
TP041,4,WS10,"WS100010",1973,10,"CACH",M,5.0,0
TP041,4,WS10,"WS100010",1973,10,"CHME",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"CHUM",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"COCOC",S,1.0,4
TP041,4,WS10,"WS100010",1973,10,"COLA",S,0.0,2
TP041,4,WS10,"WS100010",1973,10,"CONU",S,4.0,13
TP041,4,WS10,"WS100010",1973,10,"DIHO",S,0.0,4
TP041,4,WS10,"WS100010",1973,10,"FEOC",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"GASH",S,64.0,96
TP041,4,WS10,"WS100010",1973,10,"GATR",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"GOOB",S,0.0,2
TP041,4,WS10,"WS100010",1973,10,"HIAL",S,0.0,7
TP041,4,WS10,"WS100010",1973,10,"LIBO2",S,6.0,78
TP041,4,WS10,"WS100010",1973,10,"PILA",M,10.0,5
TP041,4,WS10,"WS100010",1973,10,"POGL4",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"POMU",S,2.0,11
TP041,4,WS10,"WS100010",1973,10,"PSME",M,5.0,65
TP041,4,WS10,"WS100010",1973,10,"PTAQ",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"RHMA",S,12.0,18
TP041,4,WS10,"WS100010",1973,10,"ROGY",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"RUUR",S,1.0,13
TP041,4,WS10,"WS100010",1973,10,"SMRA",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"SYRE",S,6.0,73
TP041,4,WS10,"WS100010",1973,10,"TABR",M,0.0,1
TP041,4,WS10,"WS100010",1973,10,"TRLA2",S,0.0,16
TP041,4,WS10,"WS100010",1973,10,"TROV",S,0.0,2
TP041,4,WS10,"WS100010",1973,10,"VAHE",S,0.0,2
TP041,4,WS10,"WS100010",1973,10,"VAPA",S,0.0,1
TP041,4,WS10,"WS100010",1973,10,"VISE",S,2.0,33
TP041,4,WS10,"WS100010",1973,10,"XETE",S,4.0,4
TP041,4,WS10,"WS100011",1973,11,"ACCI",S,20.0,27
TP041,4,WS10,"WS100011",1973,11,"ACMA",M,15.0,0
TP041,4,WS10,"WS100011",1973,11,"ACTR",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"ANDE",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"ASCA3",S,0.0,4
TP041,4,WS10,"WS100011",1973,11,"BENE",S,6.0,24
TP041,4,WS10,"WS100011",1973,11,"CACH",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"COCOC",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"COLA",S,18.0,71
TP041,4,WS10,"WS100011",1973,11,"CONU",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"DIHO",S,0.0,11
TP041,4,WS10,"WS100011",1973,11,"GASH",S,1.0,7
TP041,4,WS10,"WS100011",1973,11,"GATR",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"LIBO2",S,1.0,16
TP041,4,WS10,"WS100011",1973,11,"OXOR",S,4.0,9
TP041,4,WS10,"WS100011",1973,11,"POMU",S,26.0,49
TP041,4,WS10,"WS100011",1973,11,"PSME",M,10.0,0
TP041,4,WS10,"WS100011",1973,11,"RHMA",S,2.0,4
TP041,4,WS10,"WS100011",1973,11,"RUPA",S,0.0,2
TP041,4,WS10,"WS100011",1973,11,"RUUR",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"SEBO",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"SMRA",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"SMST",S,0.0,2
TP041,4,WS10,"WS100011",1973,11,"SYRE",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"TABR",M,0.0,15
TP041,4,WS10,"WS100011",1973,11,"THPL",M,0.0,3
TP041,4,WS10,"WS100011",1973,11,"TIUN",S,1.0,4
TP041,4,WS10,"WS100011",1973,11,"TROV",S,0.0,4
TP041,4,WS10,"WS100011",1973,11,"TSHE",M,65.0,5
TP041,4,WS10,"WS100011",1973,11,"VAHE",S,1.0,11
TP041,4,WS10,"WS100011",1973,11,"VAPA",S,0.0,1
TP041,4,WS10,"WS100011",1973,11,"VISE",S,0.0,9
TP041,4,WS10,"WS100012",1973,12,"ACCI",S,12.0,22
TP041,4,WS10,"WS100012",1973,12,"ACTR",S,0.0,2
TP041,4,WS10,"WS100012",1973,12,"AMAL",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"BENE",S,6.0,36
TP041,4,WS10,"WS100012",1973,12,"CACH",M,30.0,0
TP041,4,WS10,"WS100012",1973,12,"CACH",S,16.0,33
TP041,4,WS10,"WS100012",1973,12,"CONU",S,13.0,16
TP041,4,WS10,"WS100012",1973,12,"GASH",S,34.0,91
TP041,4,WS10,"WS100012",1973,12,"GATR",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"GOOB",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"HIAL",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"IRTE",S,0.0,2
TP041,4,WS10,"WS100012",1973,12,"LIBO2",S,8.0,62
TP041,4,WS10,"WS100012",1973,12,"LIDE2",M,0.0,1
TP041,4,WS10,"WS100012",1973,12,"PILA",M,0.0,1
TP041,4,WS10,"WS100012",1973,12,"PSME",M,40.0,10
TP041,4,WS10,"WS100012",1973,12,"PTAQ",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"RHMA",S,32.0,53
TP041,4,WS10,"WS100012",1973,12,"ROGY",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"SMRA",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"SYRE",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"TABR",M,0.0,1
TP041,4,WS10,"WS100012",1973,12,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"TSHE",M,0.0,15
TP041,4,WS10,"WS100012",1973,12,"VAPA",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"VISE",S,1.0,13
TP041,4,WS10,"WS100012",1973,12,"WHMO",S,0.0,1
TP041,4,WS10,"WS100012",1973,12,"XETE",S,6.0,11
TP041,4,WS10,"WS100013",1973,13,"ACCI",S,18.0,27
TP041,4,WS10,"WS100013",1973,13,"ACTR",S,1.0,4
TP041,4,WS10,"WS100013",1973,13,"AMAL",S,3.0,4
TP041,4,WS10,"WS100013",1973,13,"ANDE",S,1.0,11
TP041,4,WS10,"WS100013",1973,13,"BENE",S,2.0,7
TP041,4,WS10,"WS100013",1973,13,"CACH",M,30.0,0
TP041,4,WS10,"WS100013",1973,13,"CACH",S,31.0,42
TP041,4,WS10,"WS100013",1973,13,"CONU",S,9.0,13
TP041,4,WS10,"WS100013",1973,13,"FEOC",S,0.0,2
TP041,4,WS10,"WS100013",1973,13,"GASH",S,26.0,51
TP041,4,WS10,"WS100013",1973,13,"HIAL",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"HODI",S,2.0,4
TP041,4,WS10,"WS100013",1973,13,"IRTE",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"LIBO2",S,2.0,33
TP041,4,WS10,"WS100013",1973,13,"PILA",M,0.0,10
TP041,4,WS10,"WS100013",1973,13,"POMU",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"PSME",M,7.0,15
TP041,4,WS10,"WS100013",1973,13,"PTAQ",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"RHDI",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"RHMA",S,57.0,73
TP041,4,WS10,"WS100013",1973,13,"RHPU",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"ROGY",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"RUUR",S,0.0,2
TP041,4,WS10,"WS100013",1973,13,"SMRA",S,0.0,2
TP041,4,WS10,"WS100013",1973,13,"TABR",M,0.0,1
TP041,4,WS10,"WS100013",1973,13,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"TSHE",M,0.0,1
TP041,4,WS10,"WS100013",1973,13,"VISE",S,0.0,7
TP041,4,WS10,"WS100013",1973,13,"WHMO",S,0.0,1
TP041,4,WS10,"WS100013",1973,13,"XETE",S,36.0,62
TP041,4,WS10,"WS100014",1973,14,"ACCI",S,16.0,20
TP041,4,WS10,"WS100014",1973,14,"ACTR",S,0.0,7
TP041,4,WS10,"WS100014",1973,14,"BENE",S,8.0,44
TP041,4,WS10,"WS100014",1973,14,"CACH",M,45.0,0
TP041,4,WS10,"WS100014",1973,14,"CACH",S,35.0,53
TP041,4,WS10,"WS100014",1973,14,"CONU",S,12.0,13
TP041,4,WS10,"WS100014",1973,14,"GASH",S,62.0,82
TP041,4,WS10,"WS100014",1973,14,"LIBO2",S,3.0,40
TP041,4,WS10,"WS100014",1973,14,"PILA",M,0.0,2
TP041,4,WS10,"WS100014",1973,14,"PSME",M,0.0,10
TP041,4,WS10,"WS100014",1973,14,"PTAQ",S,0.0,1
TP041,4,WS10,"WS100014",1973,14,"RHDI",S,0.0,1
TP041,4,WS10,"WS100014",1973,14,"RHMA",S,82.0,93
TP041,4,WS10,"WS100014",1973,14,"ROGY",S,0.0,2
TP041,4,WS10,"WS100014",1973,14,"RUUR",S,1.0,18
TP041,4,WS10,"WS100014",1973,14,"TABR",M,0.0,1
TP041,4,WS10,"WS100014",1973,14,"TSHE",M,0.0,7
TP041,4,WS10,"WS100014",1973,14,"WHMO",S,0.0,1
TP041,4,WS10,"WS100014",1973,14,"XETE",S,23.0,53
TP041,4,WS10,"WS100015",1973,15,"ACCI",S,14.0,22
TP041,4,WS10,"WS100015",1973,15,"ACTR",S,0.0,4
TP041,4,WS10,"WS100015",1973,15,"ANDE",S,0.0,1
TP041,4,WS10,"WS100015",1973,15,"BENE",S,1.0,7
TP041,4,WS10,"WS100015",1973,15,"CACH",M,55.0,0
TP041,4,WS10,"WS100015",1973,15,"CACH",S,3.0,7
TP041,4,WS10,"WS100015",1973,15,"CONU",S,2.0,4
TP041,4,WS10,"WS100015",1973,15,"GASH",S,89.0,91
TP041,4,WS10,"WS100015",1973,15,"LIBO2",S,5.0,36
TP041,4,WS10,"WS100015",1973,15,"PILA",M,0.0,35
TP041,4,WS10,"WS100015",1973,15,"PSME",M,5.0,30
TP041,4,WS10,"WS100015",1973,15,"RHMA",S,56.0,84
TP041,4,WS10,"WS100015",1973,15,"RUUR",S,0.0,4
TP041,4,WS10,"WS100015",1973,15,"SMRA",S,0.0,1
TP041,4,WS10,"WS100015",1973,15,"TABR",M,0.0,1
TP041,4,WS10,"WS100015",1973,15,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100015",1973,15,"TROV",S,0.0,1
TP041,4,WS10,"WS100015",1973,15,"VAPA",S,2.0,4
TP041,4,WS10,"WS100015",1973,15,"VISE",S,0.0,1
TP041,4,WS10,"WS100015",1973,15,"XETE",S,4.0,16
TP041,4,WS10,"WS100016",1973,16,"ACCI",S,9.0,13
TP041,4,WS10,"WS100016",1973,16,"ANDE",S,0.0,2
TP041,4,WS10,"WS100016",1973,16,"BENE",S,1.0,7
TP041,4,WS10,"WS100016",1973,16,"CACH",M,60.0,0
TP041,4,WS10,"WS100016",1973,16,"CACH",S,3.0,9
TP041,4,WS10,"WS100016",1973,16,"CONU",S,0.0,1
TP041,4,WS10,"WS100016",1973,16,"GASH",S,41.0,71
TP041,4,WS10,"WS100016",1973,16,"LIBO2",S,7.0,4
TP041,4,WS10,"WS100016",1973,16,"PSME",M,45.0,10
TP041,4,WS10,"WS100016",1973,16,"PTAQ",S,0.0,1
