year,site,block,plot,subplot,treatment,species,value,dataset_id,timepoints,design,time_since_disturbance,treatment_type,realm,taxon,metric,unit,comment
2003,Clubhead,CW,1,1,nutrient+fish,Captiella.capitata,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Streblospio.benedicti,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Pygospio.elegans,2.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Total.polychaetes,24.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Tubificoides.wasselli,3.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Cernosvitoviella.immota,6.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Insect,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Fabricia.sabella,8.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Manayunkia.aestuarina,17,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Captiella.capitata,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Streblospio.benedicti,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Total.polychaetes,27.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Paranais.litoralis,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Tubificoides.wasselli,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Cernosvitoviella.immota,30,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,other_enchytraeids,2.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient addition,Insect,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Fabricia.sabella,12,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Manayunkia.aestuarina,9.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Nereis.diversicolor,2.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Eteone.heteropoda,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Captiella.capitata,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Streblospio.benedicti,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Polydora.cornuta,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Pygospio.elegans,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Total.polychaetes,27.6666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Paranais.litoralis,5.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Tubificoides.wasselli,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Monopylephorus.sp.,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Cernosvitoviella.immota,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,other_enchytraeids,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Insect,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,2,1,nutrient+fish,Mites,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Fabricia.sabella,31.6666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Manayunkia.aestuarina,26.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Nereis.diversicolor,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Captiella.capitata,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Total.polychaetes,60,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Paranais.litoralis,38,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Tubificoides.wasselli,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Cernosvitoviella.immota,20.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,other_enchytraeids,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient addition,Insect,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Fabricia.sabella,13.6666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Manayunkia.aestuarina,43.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Captiella.capitata,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Streblospio.benedicti,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Pygospio.elegans,1.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Total.polychaetes,61.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Paranais.litoralis,20.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Tubificoides.brownae,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,Cernosvitoviella.immota,101.666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,3,1,nutrient+fish,other_enchytraeids,3,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Fabricia.sabella,1.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Manayunkia.aestuarina,6.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Nereis.diversicolor,5,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Eteone.heteropoda,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Streblospio.benedicti,28.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Total.polychaetes,43,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Paranais.litoralis,3.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Tubificoides.wasselli,7,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Edotea.triloba,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient addition,Mites,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Manayunkia.aestuarina,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Nereis.diversicolor,2.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Eteone.heteropoda,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Streblospio.benedicti,22,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Polydora.cornuta,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Total.polychaetes,28,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Paranais.litoralis,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Tubificoides.wasselli,4,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Tubificoides.brownae,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Monopylephorus.sp.,1.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,1,1,nutrient+fish,Bivalve,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Fabricia.sabella,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Manayunkia.aestuarina,4,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Nereis.diversicolor,2.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Eteone.heteropoda,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Streblospio.benedicti,28.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Polydora.cornuta,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Total.polychaetes,38.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Paranais.litoralis,7,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Tubificoides.benedeni,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Tubificoides.wasselli,39.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Tubificoides.brownae,4,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Monopylephorus.sp.,3.66666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Edotea.triloba,6,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient addition,Insect,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Manayunkia.aestuarina,2.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Nereis.diversicolor,3,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Eteone.heteropoda,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Captiella.capitata,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Streblospio.benedicti,9.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Polydora.cornuta,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Pygospio.elegans,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,MF,2,1,nutrient+fish,Marenzelleria.viridis,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
