lakeid,year4,sample_date,station,species_code,species,number_per_liter
"LR",1998,1998-09-14,2,63602,"TRICHOCERCA BIROSTRIS",1.50
"LR",1998,1998-09-28,2,10000,"COPEPOD NAUPLII",4.50
"LR",1998,1998-09-28,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",1998,1998-09-28,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",6.10
"LR",1998,1998-09-28,2,30402,"LEPTODIAPTOMUS MINUTUS",0.80
"LR",1998,1998-09-28,2,51105,"DAPHNIA PARVULA",2.30
"LR",1998,1998-09-28,2,60900,"CONOCHILUS",16.70
"LR",1998,1998-09-28,2,61701,"KELLICOTTIA BOSTONIENSIS",13.60
"LR",1998,1998-09-28,2,61801,"KERATELLA COCHLEARIS",12.10
"LR",1998,1998-09-28,2,61803,"KERATELLA CRASSA",54.50
"LR",1998,1998-08-03,2,10000,"COPEPOD NAUPLII",69.70
"LR",1998,1998-08-03,2,20601,"MESOCYCLOPS EDAX",20.40
"LR",1998,1998-08-03,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",12.90
"LR",1998,1998-08-03,2,50700,"BOSMINIDAE",41.70
"LR",1998,1998-08-03,2,51202,"DIAPHANOSOMA BIRGEI",6.80
"LR",1998,1998-08-03,2,60202,"ASCOMORPHA OVALIS",0.80
"LR",1998,1998-08-03,2,60800,"CONOCHILOIDES",0.80
"LR",1998,1998-08-03,2,61502,"GASTROPUS STYLIFER",13.60
"LR",1998,1998-08-03,2,61801,"KERATELLA COCHLEARIS",65.20
"LR",1998,1998-08-03,2,61803,"KERATELLA CRASSA",109.10
"LR",1998,1998-08-03,2,61808,"KERATELLA TAUROCEPHALA",28.00
"LR",1998,1998-08-03,2,63004,"POLYARTHRA REMATA",17.40
"LR",1998,1998-08-03,2,63005,"POLYARTHRA VULGARIS",44.70
"LR",1998,1998-08-03,2,88888,"UNKNOWN ROTIFER",2.30
"LR",1998,1998-08-17,2,10000,"COPEPOD NAUPLII",116.70
"LR",1998,1998-08-17,2,20601,"MESOCYCLOPS EDAX",15.90
"LR",1998,1998-08-17,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",22.80
"LR",1998,1998-08-17,2,50700,"BOSMINIDAE",18.20
"LR",1998,1998-08-17,2,51202,"DIAPHANOSOMA BIRGEI",4.50
"LR",1998,1998-08-17,2,60202,"ASCOMORPHA OVALIS",30.30
"LR",1998,1998-08-17,2,61502,"GASTROPUS STYLIFER",13.60
"LR",1998,1998-08-17,2,61701,"KELLICOTTIA BOSTONIENSIS",1.50
"LR",1998,1998-08-17,2,61801,"KERATELLA COCHLEARIS",145.50
"LR",1998,1998-08-17,2,61803,"KERATELLA CRASSA",75.80
"LR",1998,1998-08-17,2,61808,"KERATELLA TAUROCEPHALA",48.50
"LR",1998,1998-08-17,2,61904,"LECANE INERMIS",1.50
"LR",1998,1998-08-17,2,61911,"LECANE MIRA",1.50
"LR",1998,1998-08-17,2,63004,"POLYARTHRA REMATA",10.60
"LR",1998,1998-08-17,2,63005,"POLYARTHRA VULGARIS",77.30
"LR",1998,1998-08-31,2,10000,"COPEPOD NAUPLII",87.90
"LR",1998,1998-08-31,2,20601,"MESOCYCLOPS EDAX",8.30
"LR",1998,1998-08-31,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",10.70
"LR",2007,2007-06-08,2,61808,"KERATELLA TAUROCEPHALA",10.10
"LR",2007,2007-06-08,2,61810,"KERATELLA TICINENSIS",0.30
"LR",2007,2007-06-08,2,63005,"POLYARTHRA VULGARIS",0.60
"LR",2007,2007-06-08,2,88888,"UNKNOWN ROTIFER",0.80
"LR",2007,2007-07-12,2,10000,"COPEPOD NAUPLII",29.70
"LR",2007,2007-07-12,2,20601,"MESOCYCLOPS EDAX",0.30
"LR",2007,2007-07-12,2,30201,"EPISCHURA LACUSTRIS",0.30
"LR",2007,2007-07-12,2,30402,"LEPTODIAPTOMUS MINUTUS",38.10
"LR",2007,2007-07-12,2,51130,"DAPHNIA PULICARIA",3.10
"LR",2007,2007-07-12,2,51202,"DIAPHANOSOMA BIRGEI",0.30
"LR",2007,2007-07-12,2,61808,"KERATELLA TAUROCEPHALA",9.50
"LR",2007,2007-07-12,2,61810,"KERATELLA TICINENSIS",0.30
"LR",2007,2007-07-12,2,63005,"POLYARTHRA VULGARIS",0.30
"LR",2007,2007-07-12,2,63616,"TRICHOCERCA ROUSSELETI",0.30
"LR",2007,2007-07-26,2,10000,"COPEPOD NAUPLII",7.60
"LR",2007,2007-07-26,2,30402,"LEPTODIAPTOMUS MINUTUS",31.90
"LR",2007,2007-07-26,2,51130,"DAPHNIA PULICARIA",7.00
"LR",2007,2007-07-26,2,51202,"DIAPHANOSOMA BIRGEI",0.60
"LR",2007,2007-07-26,2,60201,"ASCOMORPHA ECAUDIS",4.80
"LR",2007,2007-07-26,2,60900,"CONOCHILUS",0.80
"LR",2007,2007-07-26,2,61502,"GASTROPUS STYLIFER",0.30
"LR",2007,2007-07-26,2,61702,"KELLICOTTIA LONGISPINA",0.30
"LR",2007,2007-07-26,2,61808,"KERATELLA TAUROCEPHALA",4.80
"LR",2007,2007-07-26,2,62406,"MONOSTYLA LUNARIS",0.30
"LR",2007,2007-07-26,2,63005,"POLYARTHRA VULGARIS",2.80
"LR",2007,2007-07-26,2,63600,"TRICHOCERCA",0.30
"LR",2007,2007-07-26,2,63602,"TRICHOCERCA BIROSTRIS",1.70
"LR",2007,2007-08-09,2,10000,"COPEPOD NAUPLII",6.70
"LR",2007,2007-08-09,2,20000,"CYCLOPOID",0.30
"LR",2007,2007-08-09,2,20601,"MESOCYCLOPS EDAX",2.80
"LR",2007,2007-08-09,2,30402,"LEPTODIAPTOMUS MINUTUS",32.10
"LR",2007,2007-08-09,2,51130,"DAPHNIA PULICARIA",20.70
"LR",2005,2005-06-18,2,51130,"DAPHNIA PULICARIA",6.20
"LR",2005,2005-06-18,2,61702,"KELLICOTTIA LONGISPINA",2.50
"LR",2005,2005-06-18,2,61801,"KERATELLA COCHLEARIS",0.60
"LR",2005,2005-06-18,2,61808,"KERATELLA TAUROCEPHALA",25.80
"LR",2005,2005-06-18,2,63005,"POLYARTHRA VULGARIS",3.10
"LR",2005,2005-07-05,2,10000,"COPEPOD NAUPLII",62.20
"LR",2005,2005-07-05,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.60
"LR",2005,2005-07-05,2,30201,"EPISCHURA LACUSTRIS",0.90
"LR",2005,2005-07-05,2,30402,"LEPTODIAPTOMUS MINUTUS",14.30
"LR",2005,2005-07-05,2,51130,"DAPHNIA PULICARIA",2.20
"LR",2005,2005-07-05,2,60200,"ASCOMORPHA",0.60
"LR",2005,2005-07-05,2,61702,"KELLICOTTIA LONGISPINA",6.70
"LR",2005,2005-07-05,2,61808,"KERATELLA TAUROCEPHALA",47.00
"LR",2005,2005-07-05,2,63005,"POLYARTHRA VULGARIS",56.60
"LR",2005,2005-07-05,2,63602,"TRICHOCERCA BIROSTRIS",0.60
"LR",2005,2005-07-15,2,10000,"COPEPOD NAUPLII",26.30
"LR",2005,2005-07-15,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.60
"LR",2005,2005-07-15,2,30201,"EPISCHURA LACUSTRIS",0.30
"LR",2005,2005-07-15,2,30402,"LEPTODIAPTOMUS MINUTUS",32.30
"LR",2005,2005-07-15,2,51130,"DAPHNIA PULICARIA",1.70
"LR",2005,2005-07-15,2,61702,"KELLICOTTIA LONGISPINA",1.10
"LR",2005,2005-07-15,2,61808,"KERATELLA TAUROCEPHALA",5.00
"LR",2005,2005-07-15,2,63005,"POLYARTHRA VULGARIS",1.10
"LR",2005,2005-07-15,2,63602,"TRICHOCERCA BIROSTRIS",0.30
"LR",2007,2007-06-08,2,10000,"COPEPOD NAUPLII",19.30
"LR",2007,2007-06-08,2,30402,"LEPTODIAPTOMUS MINUTUS",16.30
"LR",2007,2007-06-08,2,51130,"DAPHNIA PULICARIA",2.50
"LR",2007,2007-06-08,2,60200,"ASCOMORPHA",0.30
"LR",2007,2007-06-08,2,61701,"KELLICOTTIA BOSTONIENSIS",0.80
"LR",2007,2007-06-08,2,61702,"KELLICOTTIA LONGISPINA",0.30
"LR",2007,2007-06-08,2,61801,"KERATELLA COCHLEARIS",0.80
"LR",2000,2000-10-09,2,61803,"KERATELLA CRASSA",128.80
"LR",2000,2000-10-09,2,63004,"POLYARTHRA REMATA",283.30
"LR",2000,2000-10-09,2,63005,"POLYARTHRA VULGARIS",3.00
"LR",2000,2000-10-09,2,63400,"SYNCHAETA",24.20
"LR",2000,2000-10-09,2,63602,"TRICHOCERCA BIROSTRIS",10.60
"LR",2000,2000-10-09,2,63603,"TRICHOCERCA CYLINDRICA",19.70
"LR",2000,2000-10-09,2,63612,"TRICHOCERCA MULTICRINIS",1.50
"LR",2000,2000-10-23,2,10000,"COPEPOD NAUPLII",34.90
"LR",2000,2000-10-23,2,20000,"CYCLOPOID",1.60
"LR",2000,2000-10-23,2,20302,"DIACYCLOPS THOMASI",4.60
"LR",2000,2000-10-23,2,20601,"MESOCYCLOPS EDAX",1.60
"LR",2000,2000-10-23,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",18.20
"LR",2000,2000-10-23,2,30402,"LEPTODIAPTOMUS MINUTUS",3.90
"LR",2000,2000-10-23,2,50700,"BOSMINIDAE",29.60
"LR",2000,2000-10-23,2,60300,"ASPLANCHNA",57.60
"LR",2000,2000-10-23,2,60900,"CONOCHILUS",10.60
"LR",2000,2000-10-23,2,61501,"GASTROPUS HYPTOPUS",3.00
"LR",2000,2000-10-23,2,61502,"GASTROPUS STYLIFER",1.50
"LR",2000,2000-10-23,2,61701,"KELLICOTTIA BOSTONIENSIS",10.60
"LR",2000,2000-10-23,2,61801,"KERATELLA COCHLEARIS",45.50
"LR",2000,2000-10-23,2,61803,"KERATELLA CRASSA",542.40
"LR",2000,2000-10-23,2,61808,"KERATELLA TAUROCEPHALA",1.50
"LR",2000,2000-10-23,2,62900,"PLOESOMA",1.50
"LR",2000,2000-10-23,2,63004,"POLYARTHRA REMATA",277.30
"LR",2000,2000-10-23,2,63005,"POLYARTHRA VULGARIS",18.20
"LR",2000,2000-10-23,2,63400,"SYNCHAETA",43.90
"LR",2000,2000-10-23,2,63602,"TRICHOCERCA BIROSTRIS",3.00
"LR",2000,2000-10-23,2,63603,"TRICHOCERCA CYLINDRICA",7.60
"LR",2005,2005-06-18,2,10000,"COPEPOD NAUPLII",10.10
"LR",2005,2005-06-18,2,30000,"CALANOID",0.60
"LR",2005,2005-06-18,2,30201,"EPISCHURA LACUSTRIS",0.30
"LR",2005,2005-06-18,2,30402,"LEPTODIAPTOMUS MINUTUS",9.20
"LR",2000,2000-09-11,2,63612,"TRICHOCERCA MULTICRINIS",0.80
"LR",2000,2000-09-25,2,10000,"COPEPOD NAUPLII",28.80
"LR",2000,2000-09-25,2,20000,"CYCLOPOID",3.00
"LR",2000,2000-09-25,2,20302,"DIACYCLOPS THOMASI",2.30
"LR",2000,2000-09-25,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",2000,2000-09-25,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",16.70
"LR",2000,2000-09-25,2,50700,"BOSMINIDAE",3.80
"LR",2000,2000-09-25,2,60201,"ASCOMORPHA ECAUDIS",86.40
"LR",2000,2000-09-25,2,60300,"ASPLANCHNA",28.80
"LR",2000,2000-09-25,2,60600,"COLLOTHECA",16.70
"LR",2000,2000-09-25,2,60900,"CONOCHILUS",15.20
"LR",2000,2000-09-25,2,61502,"GASTROPUS STYLIFER",13.60
"LR",2000,2000-09-25,2,61801,"KERATELLA COCHLEARIS",7.60
"LR",2000,2000-09-25,2,61803,"KERATELLA CRASSA",66.70
"LR",2000,2000-09-25,2,63004,"POLYARTHRA REMATA",143.90
"LR",2000,2000-09-25,2,63005,"POLYARTHRA VULGARIS",6.10
"LR",2000,2000-09-25,2,63602,"TRICHOCERCA BIROSTRIS",6.10
"LR",2000,2000-09-25,2,63603,"TRICHOCERCA CYLINDRICA",10.60
"LR",2000,2000-09-25,2,63612,"TRICHOCERCA MULTICRINIS",6.10
"LR",2000,2000-10-09,2,10000,"COPEPOD NAUPLII",21.20
"LR",2000,2000-10-09,2,20000,"CYCLOPOID",2.30
"LR",2000,2000-10-09,2,20701,"ORTHOCYCLOPS MODESTUS",0.80
"LR",2000,2000-10-09,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",11.50
"LR",2000,2000-10-09,2,50700,"BOSMINIDAE",16.70
"LR",2000,2000-10-09,2,51130,"DAPHNIA PULICARIA",0.80
"LR",2000,2000-10-09,2,60201,"ASCOMORPHA ECAUDIS",24.20
"LR",2000,2000-10-09,2,60300,"ASPLANCHNA",18.20
"LR",2000,2000-10-09,2,60600,"COLLOTHECA",18.20
"LR",2000,2000-10-09,2,60800,"CONOCHILOIDES",1.50
"LR",2000,2000-10-09,2,60900,"CONOCHILUS",18.20
"LR",2000,2000-10-09,2,61502,"GASTROPUS STYLIFER",9.10
"LR",2000,2000-10-09,2,61701,"KELLICOTTIA BOSTONIENSIS",9.10
"LR",2000,2000-10-09,2,61801,"KERATELLA COCHLEARIS",24.20
"LR",2000,2000-08-29,2,30402,"LEPTODIAPTOMUS MINUTUS",0.80
"LR",2000,2000-08-29,2,50700,"BOSMINIDAE",2.40
"LR",2000,2000-08-29,2,60201,"ASCOMORPHA ECAUDIS",3.30
"LR",2000,2000-08-29,2,60202,"ASCOMORPHA OVALIS",20.40
"LR",2000,2000-08-29,2,60300,"ASPLANCHNA",13.10
"LR",2000,2000-08-29,2,60600,"COLLOTHECA",3.30
"LR",2000,2000-08-29,2,60900,"CONOCHILUS",13.90
"LR",2000,2000-08-29,2,61502,"GASTROPUS STYLIFER",0.80
"LR",2000,2000-08-29,2,61803,"KERATELLA CRASSA",8.20
"LR",2000,2000-08-29,2,61808,"KERATELLA TAUROCEPHALA",1.60
"LR",2000,2000-08-29,2,62900,"PLOESOMA",0.80
"LR",2000,2000-08-29,2,63004,"POLYARTHRA REMATA",6.50
"LR",2000,2000-08-29,2,63005,"POLYARTHRA VULGARIS",9.80
"LR",2000,2000-08-29,2,63602,"TRICHOCERCA BIROSTRIS",0.80
"LR",2000,2000-08-29,2,63603,"TRICHOCERCA CYLINDRICA",6.50
"LR",2000,2000-08-29,2,63612,"TRICHOCERCA MULTICRINIS",0.80
"LR",2000,2000-08-29,2,88888,"UNKNOWN ROTIFER",8.20
"LR",2000,2000-09-11,2,10000,"COPEPOD NAUPLII",15.90
"LR",2000,2000-09-11,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",3.80
"LR",2000,2000-09-11,2,60202,"ASCOMORPHA OVALIS",6.10
"LR",2000,2000-09-11,2,60300,"ASPLANCHNA",20.50
"LR",2000,2000-09-11,2,60600,"COLLOTHECA",4.60
"LR",2000,2000-09-11,2,60900,"CONOCHILUS",3.00
"LR",2000,2000-09-11,2,61502,"GASTROPUS STYLIFER",0.80
"LR",2000,2000-09-11,2,61701,"KELLICOTTIA BOSTONIENSIS",3.80
"LR",2000,2000-09-11,2,61801,"KERATELLA COCHLEARIS",3.80
"LR",2000,2000-09-11,2,61803,"KERATELLA CRASSA",28.80
"LR",2000,2000-09-11,2,62900,"PLOESOMA",0.80
"LR",2000,2000-09-11,2,63004,"POLYARTHRA REMATA",4.60
"LR",2000,2000-09-11,2,63005,"POLYARTHRA VULGARIS",1.50
"LR",2000,2000-09-11,2,63400,"SYNCHAETA",6.10
"LR",2000,2000-09-11,2,63602,"TRICHOCERCA BIROSTRIS",1.50
"LR",2000,2000-09-11,2,63603,"TRICHOCERCA CYLINDRICA",12.10
"LR",2000,2000-07-17,2,63004,"POLYARTHRA REMATA",1.50
"LR",2000,2000-07-17,2,63005,"POLYARTHRA VULGARIS",3.00
"LR",2000,2000-07-17,2,63603,"TRICHOCERCA CYLINDRICA",2.30
"LR",2000,2000-07-17,2,63612,"TRICHOCERCA MULTICRINIS",1.50
"LR",2000,2000-07-31,2,10000,"COPEPOD NAUPLII",19.70
"LR",2000,2000-07-31,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",2000,2000-07-31,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.80
"LR",2000,2000-07-31,2,30402,"LEPTODIAPTOMUS MINUTUS",0.80
"LR",2000,2000-07-31,2,51801,"HOLOPEDIUM GIBBERUM",5.30
"LR",2000,2000-07-31,2,60900,"CONOCHILUS",27.30
"LR",2000,2000-07-31,2,62900,"PLOESOMA",0.80
"LR",2000,2000-07-31,2,63004,"POLYARTHRA REMATA",11.40
"LR",2000,2000-07-31,2,63005,"POLYARTHRA VULGARIS",32.60
"LR",2000,2000-07-31,2,63603,"TRICHOCERCA CYLINDRICA",1.50
"LR",2000,2000-07-31,2,88888,"UNKNOWN ROTIFER",3.00
"LR",2000,2000-08-14,2,10000,"COPEPOD NAUPLII",12.10
"LR",2000,2000-08-14,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.50
"LR",2000,2000-08-14,2,30402,"LEPTODIAPTOMUS MINUTUS",1.50
"LR",2000,2000-08-14,2,51801,"HOLOPEDIUM GIBBERUM",0.80
"LR",2000,2000-08-14,2,60202,"ASCOMORPHA OVALIS",19.70
"LR",2000,2000-08-14,2,60300,"ASPLANCHNA",3.00
"LR",2000,2000-08-14,2,60900,"CONOCHILUS",13.60
"LR",2000,2000-08-14,2,61801,"KERATELLA COCHLEARIS",1.50
"LR",2000,2000-08-14,2,61803,"KERATELLA CRASSA",3.00
"LR",2000,2000-08-14,2,63004,"POLYARTHRA REMATA",233.30
"LR",2000,2000-08-14,2,63005,"POLYARTHRA VULGARIS",104.60
"LR",2000,2000-08-14,2,63602,"TRICHOCERCA BIROSTRIS",6.10
"LR",2000,2000-08-14,2,63603,"TRICHOCERCA CYLINDRICA",3.00
"LR",2000,2000-08-14,2,88888,"UNKNOWN ROTIFER",66.70
"LR",2000,2000-08-29,2,10000,"COPEPOD NAUPLII",15.50
"LR",2000,2000-08-29,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",2000,2000-08-29,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",2.40
"LR",2000,2000-06-19,2,10000,"COPEPOD NAUPLII",19.70
"LR",2000,2000-06-19,2,60202,"ASCOMORPHA OVALIS",21.20
"LR",2000,2000-06-19,2,60800,"CONOCHILOIDES",3.00
"LR",2000,2000-06-19,2,60900,"CONOCHILUS",4.60
"LR",2000,2000-06-19,2,61701,"KELLICOTTIA BOSTONIENSIS",1.50
"LR",2000,2000-06-19,2,61801,"KERATELLA COCHLEARIS",137.90
"LR",2000,2000-06-19,2,61803,"KERATELLA CRASSA",25.80
"LR",2000,2000-06-19,2,61808,"KERATELLA TAUROCEPHALA",15.20
"LR",2000,2000-06-19,2,63004,"POLYARTHRA REMATA",163.60
"LR",2000,2000-06-19,2,63005,"POLYARTHRA VULGARIS",413.60
"LR",2000,2000-06-19,2,63400,"SYNCHAETA",1.50
"LR",2000,2000-06-19,2,63602,"TRICHOCERCA BIROSTRIS",4.60
"LR",2000,2000-06-19,2,63603,"TRICHOCERCA CYLINDRICA",243.90
"LR",2000,2000-06-19,2,63612,"TRICHOCERCA MULTICRINIS",7.60
"LR",2000,2000-07-05,2,10000,"COPEPOD NAUPLII",1.50
"LR",2000,2000-07-05,2,20601,"MESOCYCLOPS EDAX",1.60
"LR",2000,2000-07-05,2,51801,"HOLOPEDIUM GIBBERUM",14.40
"LR",2000,2000-07-05,2,60201,"ASCOMORPHA ECAUDIS",15.20
