site,block,species,value,dataset_id,year,treatment,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
site_1000,2,RHYAC,1,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,RHYAC,1,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2500,2,RHYAC,1,hershey_2016,1988,impact_2500,eutrophication,AI,T4,4,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,RHYAC,2,hershey_2016,1988,control_-400,eutrophication,AC,T4,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,A,RHYAC,2,hershey_2016,1993,impact_1000,eutrophication,AI,T5,9,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2100,A,RHYAC,5,hershey_2016,1993,impact_2100,eutrophication,AI,T5,9,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2500,A,RHYAC,1,hershey_2016,1993,impact_2500,eutrophication,AI,T5,9,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,A,RHYAC,8,hershey_2016,1994,impact_2000,eutrophication,AI,T6,10,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2500,A,RHYAC,2,hershey_2016,1994,impact_2500,eutrophication,AI,T6,10,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,A,RHYAC,1,hershey_2016,1994,impact_3000,eutrophication,AI,T6,10,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,A,RHYAC,2,hershey_2016,1996,impact_3000,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2600,A,RHYAC,2,hershey_2016,1996,impact_2600,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2050,A,RHYAC,2,hershey_2016,1996,impact_2050,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2050,B,RHYAC,1,hershey_2016,1996,impact_2050,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,A,RHYAC,1,hershey_2016,1996,impact_1400,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1200,B,RHYAC,1,hershey_2016,1996,impact_1200,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,A,RHYAC,1,hershey_2016,1996,impact_3000,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2600,A,RHYAC,4,hershey_2016,1996,impact_2600,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2600,B,RHYAC,4,hershey_2016,1996,impact_2600,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2050,A,RHYAC,1,hershey_2016,1996,impact_2050,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,A,RHYAC,2,hershey_2016,1996,impact_1400,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,B,RHYAC,1,hershey_2016,1996,impact_1400,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,A,RHYAC,2,hershey_2016,1996,impact_740,eutrophication,AI,T7,12,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1200,A,RHYAC,2,hershey_2016,1998,impact_1200,eutrophication,AI,T8,14,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,A,RHYAC,2,hershey_2016,1998,impact_1400,eutrophication,AI,T8,14,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2600,A,RHYAC,3,hershey_2016,1998,impact_2600,eutrophication,AI,T8,14,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,BRACHY,12,hershey_2016,1984,control_-400,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,BRACHY,7,hershey_2016,1984,impact_140,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,BRACHY,1,hershey_2016,1984,impact_340,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,BRACHY,7,hershey_2016,1984,impact_590,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,BRACHY,39,hershey_2016,1984,impact_2000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,BRACHY,10,hershey_2016,1984,impact_3000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,BRACHY,2,hershey_2016,1984,control_-500,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,BRACHY,2,hershey_2016,1984,control_-400,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,BRACHY,4,hershey_2016,1984,impact_140,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,BRACHY,9,hershey_2016,1984,impact_340,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,BRACHY,7,hershey_2016,1984,impact_590,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,BRACHY,13,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,BRACHY,9,hershey_2016,1984,impact_2000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,BRACHY,1,hershey_2016,1984,impact_3000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,BRACHY,1,hershey_2016,1984,control_-500,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,BRACHY,10,hershey_2016,1984,control_-400,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,BRACHY,3,hershey_2016,1984,impact_140,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,BRACHY,8,hershey_2016,1984,impact_590,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,BRACHY,19,hershey_2016,1984,impact_2000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,BRACHY,7,hershey_2016,1984,impact_3000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,5,BRACHY,12,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,6,BRACHY,12,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,BRACHY,1,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,BRACHY,7,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,BRACHY,4,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,BRACHY,9,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,BRACHY,10,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,BRACHY,2,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,BRACHY,1,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,BRACHY,8,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,BRACHY,3,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,BRACHY,4,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,BRACHY,9,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,BRACHY,5,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,BRACHY,2,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,BRACHY,1,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,BRACHY,7,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,BRACHY,2,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,BRACHY,4,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,BRACHY,10,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,BRACHY,19,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,BRACHY,3,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,BRACHY,10,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,BRACHY,5,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,BRACHY,1,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,BRACHY,18,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,BRACHY,19,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,BRACHY,6,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3500,1,BRACHY,14,hershey_2016,1985,impact_3500,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,BRACHY,2,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,BRACHY,2,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,BRACHY,2,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,BRACHY,16,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,BRACHY,4,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,BRACHY,13,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,BRACHY,29,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,BRACHY,24,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,BRACHY,1,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3500,2,BRACHY,38,hershey_2016,1985,impact_3500,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,BRACHY,2,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,BRACHY,1,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,BRACHY,15,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,BRACHY,3,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,BRACHY,1,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,BRACHY,11,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,BRACHY,31,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,BRACHY,12,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,BRACHY,3,hershey_2016,1986,control_-500,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,BRACHY,7,hershey_2016,1986,control_-400,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,BRACHY,6,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,BRACHY,5,hershey_2016,1986,impact_340,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,BRACHY,6,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,BRACHY,10,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,BRACHY,30,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,BRACHY,32,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,BRACHY,8,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,BRACHY,2,hershey_2016,1986,control_-500,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,BRACHY,1,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,BRACHY,8,hershey_2016,1986,impact_340,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,BRACHY,9,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,BRACHY,45,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,BRACHY,16,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,BRACHY,16,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,BRACHY,4,hershey_2016,1986,control_-400,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,BRACHY,13,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,BRACHY,13,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,BRACHY,6,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,BRACHY,40,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,BRACHY,7,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,BRACHY,3,hershey_2016,1987,impact_140,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,BRACHY,2,hershey_2016,1987,impact_740,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,BRACHY,1,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,1,BRACHY,15,hershey_2016,1987,impact_1400,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,BRACHY,1,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,BRACHY,27,hershey_2016,1987,impact_3000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_4000,1,BRACHY,25,hershey_2016,1987,impact_4000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,BRACHY,2,hershey_2016,1987,impact_140,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,BRACHY,20,hershey_2016,1987,impact_590,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,BRACHY,1,hershey_2016,1987,impact_740,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,BRACHY,13,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,2,BRACHY,4,hershey_2016,1987,impact_1400,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,BRACHY,8,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,BRACHY,3,hershey_2016,1987,impact_3000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_4000,2,BRACHY,8,hershey_2016,1987,impact_4000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
