year,site,block,treatment,species,value,dataset_id,treatment_type,timepoints,design,realm,taxon,metric,unit,comment,time_since_disturbance
2008,AQUE,7,annual,Embiotoca jacksoni,0.00625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Girella nigricans,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Hypsurus caryi,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Heterostichus rostratus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Oxyjulis californica,0.00859375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Paralabrax clathratus,0.00546875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Phanerodon furcatus,0.00859375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Paralabrax nebulifer,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Rhacochilus toxotes,0.00546875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Sebastes atrovirens,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Unidentified YOY Sebastes,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Scorpaenichthys marmoratus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Sebastes paucispinis,0.01015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Semicossyphus pulcher,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Sebastes serranoides,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,7,control,Gibbonsia,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Rhinogobiops nicholsii,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Unidentified Cottidae,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Oxylebius pictus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Rhacochilus vacca,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Paralabrax clathratus,0.00625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Paralabrax nebulifer,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,7,control,Scorpaenichthys marmoratus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,CARP,9,annual,Rhinogobiops nicholsii,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Unidentified Cottidae,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Citharichthys stigmaeus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Leiocottus hirundo,0.003125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Brachyistius frenatus,0.0046875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Rhacochilus vacca,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Embiotoca jacksoni,0.009375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Girella nigricans,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Hypsurus caryi,0.00625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Heterodontus francisci,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Heterostichus rostratus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Oxyjulis californica,0.01875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Paralabrax clathratus,0.0203125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,CARP,9,annual,Paralabrax nebulifer,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,2,control,Gibbonsia,0.00625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Rhinogobiops nicholsii,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Oxylebius pictus,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Brachyistius frenatus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Chromis punctipinnis,0.003125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Rhacochilus vacca,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Embiotoca jacksoni,0.04140625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Girella nigricans,0.01796875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Hypsurus caryi,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Heterostichus rostratus,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Oxyjulis californica,0.00546875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Paralabrax clathratus,0.0046875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Sebastes atrovirens,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,2,control,Sebastes chrysomelas,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,MOHK,3,annual,Alloclinus holderi,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Gibbonsia,0.00546875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Rhinogobiops nicholsii,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Unidentified Cottidae,0.0046875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Oxylebius pictus,0.01328125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Cymatogaster aggregata,0.0234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Rhacochilus vacca,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Embiotoca jacksoni,0.0234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Girella nigricans,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Hypsurus caryi,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Medialuna californiensis,0.02578125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Oxyjulis californica,0.01953125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Paralabrax clathratus,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Sebastes atrovirens,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Sebastes carnatus,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Sebastes chrysomelas,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,MOHK,3,annual,Scorpaena guttata,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,NAPL,3,control,Rhinogobiops nicholsii,0.0078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Unidentified Cottidae,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Neoclinus blanchardi,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Oxylebius pictus,0.02734375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Chromis punctipinnis,0.01875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Embiotoca jacksoni,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Oxyjulis californica,0.003125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Paralabrax clathratus,0.0109375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Sebastes carnatus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Scorpaenichthys marmoratus,0.003125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,3,control,Semicossyphus pulcher,0.00859375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,NAPL,9,annual,Rhinogobiops nicholsii,0.04453125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
